SUA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
1010,26712,29292,56007,9475,5849,15326,3723,7192,10916,683,781,1465,1218,978,2193,15096,14809,29900,9553,12278,21828,8.1,6.6,7.3,56.5,50.6,53.4,52,47.2,49.5,566,603,1169,328,555,876,2512,3761,6273,1855,3256,5111,7253,3631,10886,310,642,954,488,951,1444,8053,5231,13283,24726,26340,51071,5009,5560,10566,16000,16861,32864,12631,14042,26666
1011,13359,15084,28440,6657,4397,11058,1333,3391,4731,375,484,857,526,477,1005,8895,8757,17649,3474,5251,8726,5.9,5.4,5.7,66.6,58.1,62.1,62.6,54.8,58.5,320,360,680,160,296,461,1116,2053,3172,735,1358,2087,3650,2083,5735,121,332,448,199,403,601,3967,2819,6783,12581,13686,26270,2875,3137,6014,7972,8697,16671,6620,7311,13934
1012,8405,9415,17828,1879,1222,3109,943,1718,2659,209,238,453,330,249,579,3360,3435,6791,4397,5243,9643,9.8,7.2,8.5,40,36.5,38.1,36.1,33.8,34.9,116,105,221,76,124,198,513,732,1251,537,837,1370,2426,1058,3480,90,185,272,159,336,501,2670,1581,4253,7317,8055,15367,1446,1583,3033,4830,5299,10130,3628,4061,7685
1013,9292,9443,18737,3815,2219,6028,1004,2120,3118,255,305,555,381,322,708,5452,4958,10415,3213,3724,6940,7,6.5,6.8,58.7,52.5,55.6,54.6,49.2,51.8,170,192,358,96,153,251,555,866,1417,586,993,1573,2367,1291,3657,100,176,282,141,290,437,2607,1757,4368,8177,8584,16764,1631,1713,3336,5407,5671,11077,3882,4124,8007
1014,7195,7994,15191,2322,1379,3703,812,1637,2447,167,182,354,389,338,731,3695,3534,7225,3022,3935,6961,10.5,9.6,10.1,51.4,44.2,47.6,45.9,40,42.8,89,86,170,59,95,152,393,662,1063,362,618,986,1811,1159,2966,95,174,268,133,264,390,2039,1593,3631,6741,7370,14113,1250,1344,2594,4543,4979,9517,3025,3398,6420
1015,7443,7763,15205,3613,1947,5561,725,1780,2505,200,236,428,275,201,475,4810,4160,8971,1878,2762,4638,5.7,4.8,5.3,64.6,53.6,59,61,51,55.9,125,119,242,50,105,158,499,772,1270,340,576,920,1797,846,2641,51,120,171,86,205,292,1931,1178,3110,6921,7132,14057,1353,1380,2727,4679,4848,9527,3127,3230,6353
1016,5835,6031,11870,1483,835,2322,619,1201,1816,161,165,328,259,214,480,2528,2419,4945,2735,2974,5708,10.2,8.8,9.7,43.3,40.1,41.7,38.8,36.5,37.6,38,53,91,26,57,81,214,390,604,206,414,624,1381,828,2208,98,139,237,94,199,291,1571,1169,2737,5169,5580,10745,817,924,1741,3691,3878,7567,1925,2206,4136
1017,10983,12361,23341,3868,2545,6410,1571,2973,4544,238,311,551,611,472,1086,6293,6297,12588,3768,5095,8864,9.7,7.5,8.6,57.3,50.9,53.9,51.7,47.2,49.3,258,309,560,119,288,409,1055,1705,2760,614,1082,1698,2795,1664,4457,178,275,447,206,375,585,3177,2310,5491,10012,11108,21122,2037,2142,4177,6722,7409,14136,4878,5439,10319
1018,5371,5298,10670,1770,884,2660,454,1134,1587,121,155,277,255,171,423,2602,2345,4946,2353,2515,4867,9.8,7.3,8.6,48.4,44.3,46.4,43.7,41,42.4,60,60,121,35,73,108,233,426,656,257,381,638,1480,652,2136,58,119,176,87,154,237,1621,928,2550,4676,4816,9492,697,797,1500,3352,3359,6714,1777,2008,3787
1019,9504,10181,19686,3475,1915,5391,1043,2290,3331,267,265,533,410,329,745,5197,4802,10000,3802,4894,8697,7.9,6.9,7.5,54.7,47.2,50.8,50.3,43.9,47,314,273,584,106,175,277,735,1172,1901,708,1127,1836,2869,1334,4197,93,174,264,204,396,595,3160,1902,5063,8981,9486,18466,1646,1704,3351,5922,6190,12111,4330,4602,8930
1020,4384,4751,9135,2123,1023,3142,445,1183,1630,126,141,272,154,147,297,2853,2491,5339,1157,1844,3001,5.4,5.9,5.6,65.1,52.4,58.4,61.5,49.4,55.2,49,81,136,42,78,122,342,565,907,234,424,663,1338,641,1980,60,100,162,88,119,205,1480,866,2347,4089,4346,8433,980,985,1960,2358,2496,4852,2346,2429,4775
1021,4756,4553,9305,2158,998,3155,406,1009,1415,152,144,291,287,230,519,3000,2379,5385,1459,1876,3335,9.6,9.7,9.6,63.1,52.3,57.9,57.1,47.2,52.2,64,56,120,20,52,71,214,354,566,219,317,539,1405,691,2096,60,107,174,48,119,168,1512,919,2431,4403,4306,8704,931,1034,1965,2619,2498,5116,2373,2543,4916
1022,10827,11828,22658,3576,1949,5528,1281,2739,4013,300,307,605,421,346,765,5578,5333,10913,4410,5584,9992,7.5,6.5,7,51.5,45.1,48.2,47.6,42.2,44.8,278,253,531,118,193,312,892,1263,2151,921,1309,2231,3391,1513,4904,94,201,293,252,432,683,3732,2141,5878,9736,10238,19974,1895,2074,3969,6171,6523,12695,5186,5527,10711
1023,182602,193953,376562,78333,43755,122084,22045,49725,71768,4792,6056,10846,9192,7189,16376,114362,106716,221076,58347,76570,134917,8,6.7,7.4,62.6,55,58.7,57.6,51.3,54.4,5960,6141,12099,1997,3760,5756,18514,26949,45459,13068,18793,31861,52415,24734,77146,1704,3497,5201,3047,5644,8693,57170,33879,91046,176166,183265,359430,31924,34026,65949,118858,123008,241866,80443,86287,166735
1024,14355,14585,28934,5120,2708,7822,1557,3421,4979,383,421,806,602,446,1046,7661,6991,14653,5519,6410,11930,7.9,6.4,7.1,53.4,47.9,50.6,49.2,44.9,47,249,267,510,133,285,421,879,1408,2286,1046,1440,2486,3964,2147,6109,165,308,475,227,467,697,4361,2924,7280,12801,13449,26250,2499,2706,5206,8349,8668,17012,6228,6750,12979
1025,14469,16033,30504,6610,4205,10815,1539,3674,5209,420,499,917,641,536,1174,9206,8910,18118,4258,6101,10353,7,6,6.5,63.6,55.6,59.4,59.2,52.3,55.5,470,466,943,181,371,553,1460,2314,3776,946,1609,2561,3642,2122,5767,171,281,455,232,506,737,4049,2911,6957,13809,14742,28545,3130,3315,6444,8627,9151,17776,7311,8062,15376
1026,4136,4554,8692,1792,932,2728,391,975,1370,131,150,284,187,155,342,2504,2219,4724,1243,1894,3130,7.5,7,7.2,60.5,48.7,54.3,55.9,45.2,50.4,46,57,102,39,50,88,233,408,645,190,341,526,1120,635,1759,53,113,163,63,128,196,1240,878,2114,3988,4260,8253,682,740,1423,2752,2916,5668,1681,1854,3532
1027,17585,20219,37799,6083,3940,10030,2222,4494,6714,423,466,886,668,566,1230,9391,9470,18857,7059,9536,16598,7.1,6,6.5,53.4,46.8,49.9,49.6,44,46.6,486,467,949,234,395,626,1762,2385,4149,1403,2270,3670,4765,2492,7257,169,379,544,349,716,1063,5282,3585,8868,16096,18042,34141,3377,3699,7072,9741,10928,20665,9108,10139,19244
1028,6432,6207,12640,3542,1354,4898,609,1670,2271,229,173,399,269,288,560,4646,3478,8129,1421,2358,3776,5.8,8.3,6.9,72.2,56,64.3,68.1,51.5,59.9,96,99,197,39,89,124,386,603,993,372,491,865,2149,1003,3149,72,158,227,112,188,300,2333,1348,3682,6086,6004,12092,1344,1212,2553,3992,3894,7886,3079,2943,6020
1029,7315,7984,15301,2158,1189,3347,830,1599,2425,157,234,393,277,250,525,3422,3267,6694,3375,4180,7555,8.1,7.7,7.8,46.8,40.9,43.7,43,37.9,40.3,150,168,325,71,149,221,404,681,1087,499,765,1264,2302,1049,3353,70,155,225,148,275,427,2523,1479,3998,6769,7207,13972,1238,1393,2633,4401,4538,8934,3338,3769,7111
1030,1767479,1849776,3617260,846924,535596,1382523,226487,399474,625959,46914,54037,100947,69780,65236,135012,1190107,1054338,2244442,468120,685433,1153549,5.9,6.2,6,67.3,57,62,63.4,53.5,58.3,142909,137597,280505,25576,40346,65918,332203,389272,721471,145546,192091,337637,280020,129388,409411,10664,20595,31258,28473,45839,74316,319164,195821,514983,1669966,1731442,3401408,323825,330399,654221,1078868,1127951,2206816,830693,851952,1682642
1031,15499,17093,32592,6973,4298,11276,1701,3750,5452,433,539,976,602,603,1210,9718,9191,18907,4572,6582,11155,6.2,6.6,6.4,62.7,53.8,58,58.8,50.2,54.3,304,324,632,155,310,473,1142,1983,3123,929,1589,2517,4049,2224,6274,154,389,543,242,544,786,4446,3158,7605,14214,15468,29680,3342,3496,6839,9011,9762,18773,7584,8285,15867
1032,9990,11245,21236,2829,1711,4543,1123,2204,3321,351,282,635,561,447,1010,4860,4647,9502,4409,5776,10180,11.5,9.6,10.6,48.6,41.3,44.7,43.1,37.3,40,96,114,214,70,139,208,496,778,1275,439,1029,1464,2559,1497,4055,152,254,407,228,377,607,2943,2126,5068,9547,10476,20018,1638,1774,3411,6464,7057,13514,4123,4638,8764
1033,6148,6772,12925,1712,914,2633,831,1525,2356,164,187,353,202,162,364,2916,2785,5697,2785,3436,6228,6.9,5.8,6.4,47.4,41.1,44.1,44,38.8,41.3,130,120,247,79,147,222,457,622,1076,377,668,1043,1921,771,2691,62,135,194,140,244,383,2113,1151,3271,5606,5987,11591,1093,1201,2297,3705,3913,7613,2743,3065,5813
1034,20732,22726,43454,10181,6205,16391,2315,5651,7964,593,740,1332,817,766,1583,13909,13362,27271,5539,8119,13655,5.9,5.7,5.8,67.1,58.8,62.8,63.1,55.4,59.1,674,653,1323,256,465,724,2024,3374,5395,1270,2070,3340,5643,3080,8732,250,431,682,352,647,1000,6250,4165,10416,19419,20620,40042,4543,4998,9543,12154,12888,25038,10616,11765,22374
1035,113809,119462,233270,47858,25692,73546,13497,30092,43585,3154,3560,6715,5030,4241,9264,69532,63578,133115,38083,49505,87588,7.2,6.7,7,61.1,53.2,57.1,56.7,49.7,53.1,4767,4794,9560,1402,2668,4069,12088,15946,28033,8823,12224,21042,30963,14199,45159,971,2056,3029,1986,3839,5826,33912,20098,54008,111060,114955,226015,17930,18430,36365,77472,80048,157520,46409,48388,94801
2000,284107,285568,569670,113188,54222,167406,33252,73408,106666,10170,10553,20719,8972,7212,16181,165583,145396,310977,95246,117240,212483,5.4,5,5.2,58.3,50.9,54.6,55.1,48.4,51.7,4704,6098,10794,3459,7734,11194,18842,33178,52016,18347,29597,47947,77919,32684,110603,2301,4759,7055,4202,6388,10586,84419,43826,128245,269945,269698,539642,38042,39957,78000,196636,193289,389924,97815,103912,201732
2001,7773,8307,16082,3863,1974,5846,810,2144,2954,239,273,514,300,295,597,5219,4683,9900,2116,3165,5287,5.7,6.3,6,67.1,56.4,61.6,63.2,52.9,57.9,160,196,356,89,223,311,553,953,1507,554,917,1471,2282,1035,3317,56,121,183,112,207,322,2459,1369,3821,8002,8285,16285,1111,1247,2358,5223,5316,10547,3398,3837,7237
2002,5605,6498,12101,2035,1080,3114,677,1526,2200,170,238,412,205,165,368,3086,3002,6092,1962,2805,4764,6.6,5.5,6,55.1,46.2,50.3,51.4,43.8,47.3,74,77,154,55,122,179,324,626,955,330,661,993,1537,771,2311,43,109,154,94,148,243,1679,1027,2707,5102,5716,10818,956,1105,2060,3340,3686,7027,2391,2791,5178
2003,38144,42647,80792,16260,8711,24971,4932,11426,16358,1037,1474,2513,1815,1549,3371,24057,23161,47216,11695,16846,28545,7.5,6.7,7.1,63.1,54.3,58.4,58.3,50.7,54.3,1319,1395,2708,764,1468,2236,4206,6229,10432,2820,4049,6871,9256,5093,14344,324,709,1035,496,740,1238,10084,6541,16623,35998,38917,74912,7403,8212,15622,22740,24633,47370,18663,20634,39294
2004,36093,40147,76243,15313,8301,23611,4700,10762,15457,1081,1443,2523,1593,1352,2947,22684,21850,44535,10890,15551,26442,7,6.2,6.6,62.8,54.4,58.4,58.4,51.1,54.6,885,1033,1915,640,1286,1928,3427,5472,8895,2523,3660,6189,9442,5020,14469,359,635,987,490,872,1362,10287,6525,16821,34491,36727,71217,6512,7411,13926,22158,23430,45588,16752,18829,35587
2005,4817,5219,10034,2017,962,2974,623,1378,2005,159,170,334,141,102,243,2944,2612,5554,1533,2253,3782,4.8,3.9,4.4,61.1,50,55.4,58.1,48.1,52.9,47,63,113,44,72,121,239,445,685,260,474,737,1265,682,1953,46,75,118,77,114,186,1385,872,2257,4669,4879,9549,758,819,1576,3293,3480,6776,1850,1930,3776
2006,7977,8794,16773,3322,1884,5199,880,2208,3090,266,309,581,240,188,430,4706,4590,9299,2685,3531,6214,5.1,4.1,4.6,59,52.2,55.4,56,50,52.9,79,120,198,78,199,282,545,932,1476,451,809,1262,2320,1049,3370,54,111,165,107,174,285,2481,1338,3819,7532,8091,15626,1335,1516,2854,5067,5363,10430,3421,3822,7241
2007,96484,105074,201556,41614,21764,63374,12531,28972,41503,2824,3535,6359,3911,3348,7256,60883,57610,118495,29897,41298,71200,6.4,5.8,6.1,63.1,54.8,58.8,59,51.7,55.2,3429,3435,6870,1621,3353,4978,11632,16445,28074,8163,11531,19694,23862,12264,36127,735,1344,2080,1351,2102,3450,25950,15706,41657,90919,97032,187954,17447,18973,36423,59690,63834,123522,43987,48078,92063
2008,7677,8100,15775,3964,1908,5874,944,2513,3458,236,305,538,226,226,448,5365,4946,10316,1897,2721,4624,4.2,4.6,4.3,69.9,61.1,65.4,67,58.3,62.6,339,320,652,183,376,563,1023,1523,2549,780,992,1772,2152,794,2948,37,106,144,118,231,346,2315,1128,3443,8167,8305,16466,1060,1095,2153,5764,5813,11579,3029,3208,6244
2009,6190,7000,13188,2807,1447,4257,745,1904,2654,205,249,458,238,174,411,3997,3780,7779,1820,2811,4629,6,4.6,5.3,64.6,54,59,60.7,51.4,55.9,107,132,241,68,169,241,401,832,1235,402,710,1105,1674,876,2550,67,123,193,76,145,214,1817,1142,2955,6090,6496,12581,1041,1275,2316,4154,4439,8594,2610,3019,5632
2010,1716829,1821126,3537956,802104,468899,1271003,230176,440792,670966,45454,54856,100311,76849,72108,148960,1154588,1036652,2191237,459958,677907,1137871,6.7,7,6.8,67.3,56.9,61.9,62.8,53,57.7,115689,115293,230980,32893,59237,92134,302006,362689,664700,147528,187561,335083,301285,143074,444356,10301,17635,27938,22165,34567,56731,333748,195279,529030,1611892,1683132,3295019,319053,332332,651386,1053535,1108521,2162053,797561,830539,1628098
2011,22233,23553,45789,10556,5417,15971,2302,5160,7460,699,732,1434,1191,1188,2385,14751,12499,27254,5982,9486,15467,8.1,9.5,8.8,66.3,53.1,59.5,61,48,54.3,426,415,842,156,365,524,1342,2134,3480,1547,2357,3905,5877,3331,9202,226,417,650,398,574,969,6500,4324,10826,22166,22971,45131,4174,4467,8637,13793,14020,27806,10798,11671,22460
2012,19686,20954,40649,7900,4530,12434,2126,4890,7011,584,652,1242,953,730,1689,11564,10802,22366,6291,8362,14660,8.2,6.8,7.6,58.7,51.6,55,53.9,48.1,50.9,205,273,475,177,415,586,1198,2099,3293,1100,1820,2924,4694,2505,7194,215,374,591,293,416,711,5200,3296,8499,18334,19233,37570,3434,3615,7042,12419,12868,25284,8276,8970,17247
2013,6650,7166,13818,2294,1048,3338,690,1652,2341,183,223,410,477,333,812,3639,3256,6901,2480,3401,5881,13.1,10.2,11.8,54.7,45.4,49.9,47.6,40.8,44.1,52,71,122,41,97,147,254,521,771,369,563,935,2121,1004,3123,68,129,195,112,159,265,2302,1291,3589,6299,6656,12950,881,1026,1904,4634,4820,9449,2237,2537,4774
2014,4404,4582,8988,1684,724,2403,509,1168,1683,174,184,358,196,142,340,2572,2218,4788,1482,1993,3482,7.6,6.4,7.1,58.4,48.4,53.3,53.7,45.3,49.4,42,38,82,36,94,133,224,405,632,193,421,611,1244,595,1845,40,88,125,71,96,171,1361,776,2137,4217,4290,8507,564,628,1199,3049,3038,6088,1507,1648,3150
2015,5595,6250,11842,2378,1215,3593,615,1564,2183,182,198,383,241,206,445,3412,3192,6600,1736,2595,4330,7.1,6.5,6.7,61,51.1,55.7,56.7,47.6,52,110,145,253,82,180,266,455,768,1223,427,597,1025,1536,775,2303,51,88,134,65,136,193,1648,990,2637,5285,5680,10968,1003,1166,2170,3404,3706,7111,2563,2824,5380
2016,19150,20494,39647,7959,4387,12350,2092,4820,6903,598,651,1249,874,668,1540,11520,10519,22043,5985,8253,14230,7.6,6.4,7,60.2,51.3,55.6,55.6,48.1,51.7,373,371,740,252,517,768,1276,2153,3430,1153,1877,3029,4379,2355,6733,144,309,454,219,363,581,4748,3021,7773,18288,18937,37221,3256,3537,6797,12371,12834,25201,8112,8643,16758
2017,4248,4602,8849,1848,985,2837,455,1081,1530,141,153,297,141,101,236,2582,2317,4899,1202,1805,3003,5.5,4.4,4.8,60.8,50.3,55.4,57.5,48.2,52.7,31,53,85,43,90,133,261,469,728,262,370,628,1015,518,1533,27,79,107,47,84,135,1089,678,1767,3911,4192,8100,705,717,1426,2556,2728,5283,1771,1898,3677
2018,15764,17251,33011,6417,3193,9608,1582,4178,5752,492,529,1019,979,719,1701,9462,8616,18079,4920,7074,11986,10.3,8.3,9.4,60,49.9,54.8,53.9,45.8,49.6,256,259,512,166,343,510,1060,1695,2757,972,1452,2426,4704,2225,6929,146,291,442,225,332,555,5074,2848,7929,14888,15656,30542,2478,2784,5256,10358,10823,21186,6226,6890,13118
2019,7060,8290,15346,2891,1542,4430,814,2114,2927,224,282,504,227,217,447,4166,4142,8308,2357,3436,5791,5.4,5.2,5.4,59,50,54.1,55.7,47.5,51.2,128,150,274,111,199,315,513,942,1454,489,810,1295,1884,1022,2913,72,124,192,102,183,289,2055,1329,3389,6798,7611,14410,1155,1334,2487,4722,5262,9986,2910,3347,6261
2020,13415,14752,28164,6032,2859,8891,1542,3793,5335,393,510,907,434,472,910,8406,7633,16041,4095,6103,10198,5.2,6.2,5.7,62.7,51.7,57,59.4,48.5,53.7,275,321,599,211,416,621,1019,1700,2726,921,1583,2503,3993,1975,5970,94,251,340,177,358,535,4261,2587,6844,12742,13633,26368,2448,2758,5208,8044,8621,16659,6493,7141,13634
2021,13165,14664,27830,5756,2994,8747,1849,4204,6057,440,532,979,450,415,868,8495,8153,16645,3684,5405,9087,5.3,5.1,5.2,64.5,55.6,59.8,61.1,52.7,56.7,262,311,570,196,402,601,1208,1949,3159,858,1437,2295,3309,1801,5110,109,248,352,160,287,445,3579,2330,5905,12329,13341,25672,2326,2539,4861,8296,8943,17243,5759,6375,12131
3000,311589,299357,610941,127282,67622,194904,29833,66603,96440,10668,9720,20391,14367,11293,25661,182147,155249,337396,97460,116878,214341,7.9,7.3,7.6,58.5,51.9,55.2,53.8,48.1,51,3458,4173,7628,1936,4476,6412,15037,29472,44507,15909,25778,41682,84656,36311,120964,3405,5681,9088,4893,6904,11794,92949,48893,141848,286795,275516,562313,53269,55062,108327,196311,184840,381150,125862,129100,254962
