SUA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
1029,4,0,0,0,0,0,7,58,0,21,25,15,0,3,0,0,0,0,0,0,0,0,3,67,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,7,0,28,19,8,0,0,0,0,0,0,0,0,0,0,3,65,0,35,25,3,6,5,0,0,0,0,0,0,0,0,3,77,5,3,11,37,60,52,27,12,4,3,0,0,0,0,18,232,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,7,12,6,3,0,3,0,7,3,5,58,0,6,6,3,9,7,0,0,0,0,0,0,0,0,0,40,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,14
1030,1289,1209,923,702,632,353,465,18561,287,6673,13642,8918,1459,754,1033,1056,360,578,833,901,751,353,1825,39426,10,59,105,292,728,2140,3180,1650,436,511,537,600,723,574,640,12188,3,7,23,408,3551,8532,13508,9693,1655,1866,1950,1957,2206,1600,1962,48920,49,739,2485,12984,10723,11611,7730,3595,674,564,664,673,573,304,2321,55683,38,47,599,2091,4665,6568,4542,3273,663,764,902,970,1181,851,846,28006,35,3658,3990,2079,802,281,119,80,23,3,14,5,8,0,464,11548,22,1912,1803,747,607,403,794,620,169,150,169,236,235,169,308,8334,256,436,1618,5192,11398,13621,20987,10154,2594,2831,2582,2220,2132,1239,3209,80455,0,14,22,224,645,2281,4298,4082,1145,1831,1847,2192,2267,1291,544,22688,9,19,151,1704,7539,22960,14168,10874,2367,2593,2590,2577,2570,1667,1826,73599,60,882,753,497,3181,2249,1171,695,144,185,221,239,241,113,319,10943,36,54,294,826,1373,1787,2449,1623,330,343,403,533,545,399,308,11304
1031,3,3,3,0,0,0,3,42,0,6,9,10,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,14,0,0,0,0,0,4,6,9,5,3,0,6,52,47,37,159,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,5,3,3,5,10,0,0,4,3,3,0,0,41,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,9,4,0,0,0,0,0,0,0,0,0,0,0,43,0,3,10,36,68,42,33,26,11,17,7,7,0,3,13,281,0,0,0,0,0,0,7,14,0,0,5,0,0,0,0,31,0,0,0,0,9,27,19,90,11,50,56,55,45,14,15,395,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,16,0,0,0,3,4,0,9,14,0,0,3,4,10,3,0,46
1032,0,3,0,0,0,0,0,19,0,15,4,3,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,22,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,12,0,3,6,3,5,0,0,0,0,0,0,0,0,0,0,19,0,36,28,7,3,0,4,0,0,0,0,0,0,0,0,83,0,3,9,35,54,38,35,10,0,0,3,0,3,0,8,214,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,20,28,14,25,4,10,0,3,0,3,7,114,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7
1033,0,0,0,0,0,0,0,27,0,18,41,7,4,0,0,0,0,0,0,0,0,0,10,78,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,15,14,3,3,0,0,0,0,0,0,0,0,0,0,36,3,15,13,3,5,5,0,3,0,0,0,0,0,0,0,48,4,0,3,42,52,18,20,8,7,0,0,0,3,0,8,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,5,0,3,0,3,0,3,0,46,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,7,18,3,0,0,0,0,74,0,14,15,4,0,0,0,0,0,0,0,0,0,3,3,46,0,4,0,0,0,0,9,0,4,0,0,0,0,0,0,19,0,0,0,0,5,7,9,18,3,6,0,3,12,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,9,9,15,16,8,5,4,3,6,4,3,6,99,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,42,27,10,4,0,7,0,0,0,0,0,0,0,0,96,3,3,24,48,64,51,73,37,15,13,7,15,9,6,13,376,0,0,0,0,3,3,13,19,8,9,3,8,11,0,4,92,0,0,0,0,12,25,27,53,22,40,53,86,59,17,12,400,0,4,0,0,4,3,0,3,0,5,0,0,0,0,3,26,0,0,0,0,4,0,4,7,0,0,6,0,0,0,0,29
1035,21,54,19,5,5,0,28,645,14,542,1461,647,71,36,36,24,4,19,16,10,17,7,182,3085,0,9,3,3,9,31,44,26,14,4,5,10,10,12,10,204,0,0,0,7,19,45,105,63,28,17,12,17,17,15,22,365,3,19,26,166,124,131,74,44,6,3,18,15,0,6,28,670,0,0,21,43,54,46,50,42,6,20,19,43,73,51,15,477,3,203,282,94,20,3,0,10,0,0,0,0,0,0,45,668,0,504,297,73,35,25,30,22,5,0,7,4,6,4,38,1053,13,26,84,318,583,503,614,331,94,82,84,51,33,23,132,2976,0,0,0,8,12,16,43,59,15,21,25,27,52,22,3,301,0,0,0,38,261,395,205,174,40,45,62,44,49,22,51,1381,0,61,47,34,161,82,30,15,0,5,0,3,6,0,13,469,0,3,7,21,19,10,24,32,0,3,4,7,14,8,9,164
2000,36,37,24,11,19,25,40,1113,33,973,1162,459,81,19,25,28,3,11,10,16,22,17,229,3093,0,13,12,9,16,25,57,52,11,9,3,8,14,6,27,263,0,0,0,0,3,9,35,21,8,4,16,17,27,21,27,191,0,4,8,26,23,3,10,4,0,0,3,0,3,0,28,119,10,3,61,85,76,63,75,84,21,27,34,60,64,62,91,799,3,324,329,128,31,21,13,14,0,0,3,0,0,0,67,942,3,1324,1318,303,274,96,145,81,14,27,6,5,9,8,138,3755,27,80,246,807,1640,1212,1639,873,189,191,182,118,123,66,505,7890,0,3,3,7,0,10,8,44,4,16,10,7,8,14,3,136,0,3,3,25,157,323,272,403,132,161,186,122,194,116,137,2229,0,78,67,46,92,57,18,20,0,0,0,8,7,7,27,425,3,0,16,44,26,29,46,26,5,3,11,7,13,9,23,248
2001,0,0,3,0,0,0,0,45,0,19,25,17,5,3,0,0,0,0,0,0,0,0,3,79,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,19,0,22,35,13,16,3,4,3,0,0,0,0,0,0,10,103,0,16,28,10,12,0,9,3,0,3,0,0,0,0,3,95,0,3,7,16,40,50,89,33,18,7,3,0,4,0,14,276,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,10,0,0,0,0,0,14,13,11,0,0,3,0,4,0,0,48,0,0,0,0,5,3,3,3,0,0,0,0,0,0,0,21,0,0,0,3,0,0,3,12,0,3,0,0,0,0,0,15
2002,0,0,0,0,0,0,0,17,0,30,20,0,0,0,0,0,0,0,0,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,0,0,9,0,0,0,16,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,19,29,6,4,0,0,0,0,0,0,0,0,0,3,57,0,3,8,13,26,24,30,13,3,3,0,0,0,0,12,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,17,10,9,7,6,9,10,8,3,3,88,0,3,3,0,3,3,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
2003,3,3,3,0,0,0,5,129,0,60,68,19,4,4,5,9,0,0,0,0,0,0,10,175,0,4,0,4,6,7,25,19,0,3,0,0,0,0,3,81,0,0,0,0,3,0,8,14,0,0,0,0,3,0,3,43,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,12,3,0,6,14,19,22,32,42,10,3,3,5,9,3,3,180,0,10,22,19,3,0,0,0,0,0,0,0,0,0,3,62,0,243,187,38,13,4,6,0,0,0,0,0,5,0,17,525,0,10,29,81,129,124,145,83,17,38,21,17,11,9,29,749,0,0,0,0,0,0,16,28,0,3,8,3,3,3,0,65,0,0,0,4,26,53,50,82,31,51,40,21,29,9,22,412,0,15,7,0,8,9,0,0,0,3,0,0,0,0,4,49,0,0,3,6,3,7,8,16,0,0,0,0,3,11,0,52
2004,0,6,0,3,0,0,7,118,3,27,43,24,0,4,0,6,0,0,0,0,0,0,8,121,0,0,0,0,0,0,5,7,3,0,3,0,0,0,4,30,0,0,0,0,0,3,13,10,8,3,6,0,3,4,0,51,0,0,0,0,3,5,4,3,0,0,0,0,0,0,0,17,0,0,4,14,29,22,26,24,3,7,0,4,7,8,14,150,0,6,6,6,3,0,0,0,0,0,0,0,0,0,3,26,0,78,59,12,13,3,3,3,0,3,5,0,0,0,11,183,3,3,15,60,128,105,128,83,17,14,15,0,12,0,27,610,0,0,0,0,0,0,15,27,0,3,8,0,3,0,0,61,0,0,0,3,22,58,51,72,20,9,24,17,29,17,20,354,0,11,5,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,0,6,3,3,10,4,0,0,4,0,0,3,5,50
2005,0,0,0,0,0,0,0,4,0,22,18,3,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,11,16,0,3,0,0,3,0,0,0,0,0,0,0,37,0,0,6,8,22,14,19,12,4,10,4,6,0,0,14,123,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,10,10,9,0,0,0,3,6,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2006,3,3,0,3,0,0,3,40,3,19,12,3,0,0,0,0,0,0,4,0,0,0,3,44,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,6,0,0,0,0,0,0,0,12,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,26,17,0,3,0,0,0,0,0,0,0,0,0,11,59,0,0,5,14,32,32,50,21,5,9,3,4,4,4,10,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,14,9,17,15,7,8,3,8,12,3,96,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
2007,16,33,27,14,15,0,22,592,6,428,675,282,47,19,32,21,4,8,8,5,7,12,88,1642,0,3,3,3,11,13,42,34,14,10,4,6,9,4,12,164,0,0,0,0,0,15,39,41,9,6,15,4,5,10,7,157,0,0,4,21,22,13,7,14,4,3,0,0,0,3,17,102,3,0,17,47,57,76,77,86,17,30,18,36,22,19,26,522,0,97,94,43,12,6,0,0,0,0,0,0,0,0,8,270,0,676,426,84,50,29,39,32,6,3,0,0,3,3,66,1428,8,25,44,206,400,421,553,310,90,78,50,56,33,23,118,2414,0,0,3,5,6,8,19,85,21,52,80,28,58,11,25,401,0,0,5,15,109,225,293,298,41,37,51,53,70,34,45,1283,3,85,87,30,95,62,17,10,0,7,3,0,0,0,32,430,3,3,3,31,24,35,54,65,10,3,0,9,9,4,12,261
2008,4,0,3,0,0,0,3,68,0,35,37,28,3,0,0,0,0,0,0,3,0,0,0,109,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,12,6,3,3,0,0,0,0,0,0,0,28,0,30,31,9,9,4,0,0,0,0,0,0,0,0,3,88,0,21,18,3,9,4,4,0,0,0,0,0,0,0,0,56,0,0,5,24,49,47,65,39,9,3,4,3,5,0,12,261,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,5,3,4,0,0,0,0,0,0,0,24,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,3,0,13,0,0,0,0,0,0,0,18
2009,0,0,0,3,0,0,0,13,0,20,21,4,7,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,5,15,11,24,8,0,0,5,0,4,0,3,73,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,6,0,0,0,0,8,3,4,42,7,4,3,3,6,11,0,94,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2010,928,826,549,399,425,241,314,12949,344,13258,25211,12815,1781,803,976,904,311,573,745,733,624,341,3022,62443,3,70,59,163,340,878,2080,1326,268,359,325,464,556,446,474,7812,0,0,6,58,317,898,3184,4080,759,773,796,831,871,773,663,14011,5,115,467,3133,3632,3151,2247,1475,223,245,295,272,248,111,661,16281,42,79,494,2103,5288,8407,8115,7718,1632,1953,2220,2508,3106,2376,1358,47403,37,3768,5923,3008,1128,326,210,143,21,18,11,19,16,4,584,15217,20,3583,3614,996,960,433,677,523,131,110,117,141,132,131,403,11971,176,336,997,3506,8107,9864,17379,12547,4201,4662,3834,3074,2910,1748,2754,76090,0,15,21,140,254,898,2723,4214,1360,2185,2202,2126,2038,1191,501,19867,9,22,78,581,3902,10470,7539,9287,1604,1939,2105,1993,2087,1292,1137,44041,184,1496,1661,944,3591,3051,980,479,97,108,108,118,143,58,329,13343,28,31,177,615,1001,1851,3804,2929,547,688,689,764,989,734,368,15220
2011,0,0,3,6,0,0,4,129,0,45,114,58,15,7,5,3,0,0,3,0,0,0,14,274,0,0,3,0,0,0,10,3,0,0,0,0,0,0,0,18,0,0,0,0,5,9,17,15,0,3,0,3,3,0,0,51,0,0,0,21,17,9,17,10,0,0,0,0,0,0,3,75,0,0,0,12,20,21,26,24,7,5,0,3,5,3,3,131,0,139,247,148,77,35,18,15,17,8,0,6,7,0,23,736,0,38,63,6,10,0,8,8,0,3,0,0,0,0,9,140,0,0,11,43,118,177,337,311,93,136,97,79,49,34,87,1585,0,0,0,0,4,7,32,61,5,14,14,0,5,3,3,154,0,0,0,4,57,121,143,354,32,35,43,54,62,20,21,943,0,7,6,3,50,40,11,15,0,0,3,0,0,0,6,139,0,0,0,8,5,7,23,10,0,0,0,0,5,0,0,65
2012,0,0,0,0,3,0,0,31,7,178,233,90,14,4,3,0,6,7,5,3,4,0,43,604,0,0,0,0,0,0,0,3,0,0,0,0,0,6,9,30,0,0,0,0,0,0,19,5,0,0,0,0,0,13,18,56,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,7,11,18,9,9,10,19,43,51,42,215,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,30,5,3,3,3,0,0,0,3,0,3,0,5,90,0,0,7,38,69,80,110,35,9,7,32,0,12,8,19,425,0,0,0,0,0,0,4,7,5,11,0,3,7,3,0,43,0,0,0,0,10,35,32,51,15,4,16,21,10,10,3,218,0,7,0,0,3,0,0,0,0,0,0,0,0,0,3,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5
2013,0,0,0,0,0,0,0,17,0,20,24,8,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,6,3,0,0,0,0,0,0,0,13,0,78,49,11,4,0,0,0,0,0,0,0,0,0,4,156,0,82,74,18,27,7,6,0,0,0,0,0,0,0,4,218,0,0,0,23,35,18,26,15,4,0,6,3,0,0,9,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,19,14,5,3,0,8,5,0,6,97,0,12,3,0,4,4,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,8,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,13,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,25,15,3,3,0,0,0,0,0,0,0,0,0,0,56,0,3,0,12,31,27,26,12,11,3,0,4,0,0,3,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,15,9,13,0,6,7,0,7,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
2015,6,0,0,0,0,0,0,24,0,19,16,0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,9,3,4,5,3,3,5,0,4,7,4,61,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,35,29,5,4,3,0,3,0,0,0,0,0,0,4,84,0,0,4,12,24,16,28,26,5,3,3,5,6,0,4,143,0,0,0,0,0,0,4,6,3,7,0,0,4,0,0,23,0,0,0,0,15,22,9,13,5,5,8,0,7,0,5,99,0,4,0,5,0,9,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,10,0,0,0,0,3,0,7,17
2016,9,0,0,0,3,0,0,64,13,197,241,98,16,0,3,4,0,0,0,3,3,3,37,624,0,0,0,0,0,0,6,3,0,0,0,5,0,0,3,14,0,0,0,0,0,3,0,13,3,0,0,0,0,3,0,25,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0,3,4,10,3,29,31,9,11,8,31,26,19,7,194,0,3,4,3,3,0,0,0,0,0,0,0,0,0,0,12,0,45,58,6,6,0,4,3,0,0,0,0,0,0,3,135,0,3,7,32,69,67,130,80,14,26,30,29,16,4,29,538,0,0,0,0,0,0,9,44,18,30,73,23,24,14,0,231,0,0,0,0,18,41,50,60,21,35,22,20,23,20,14,330,0,4,0,7,3,4,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,20
2017,0,3,0,0,0,0,0,8,0,42,58,12,0,0,0,0,0,0,0,0,0,0,3,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,19,18,8,7,3,62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,7,4,13,5,3,0,0,0,4,0,3,48,0,0,0,0,0,0,4,9,0,19,11,0,0,0,0,39,0,0,0,0,0,11,9,26,3,6,5,5,0,3,6,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2018,6,0,0,0,0,0,3,78,3,90,249,123,14,0,3,6,0,0,0,0,0,0,26,516,0,0,0,0,0,0,0,0,0,3,3,0,0,3,5,22,0,0,0,0,3,0,5,6,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,4,9,10,11,3,0,3,9,3,3,3,65,0,62,54,14,8,3,0,0,0,3,0,0,0,0,4,158,0,135,120,23,13,8,3,3,0,0,0,0,0,0,9,312,0,3,7,31,96,54,76,40,10,12,10,9,6,7,15,366,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,17,0,0,0,0,33,59,46,32,6,13,9,18,16,14,13,264,0,12,7,0,16,21,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,9,0,0,3,3,4,0,0,0,18
2019,0,0,0,0,0,0,0,12,11,85,100,46,0,0,3,0,0,0,0,0,0,0,12,262,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,10,0,0,0,3,0,0,0,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,32,31,5,3,0,3,0,0,0,0,0,0,0,0,82,3,5,3,13,15,15,18,12,3,3,0,0,3,0,4,106,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,8,22,7,29,0,0,3,0,3,8,3,85,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020,0,0,0,0,4,0,3,60,3,43,35,17,0,0,0,0,3,0,0,0,0,0,7,110,0,0,0,0,0,0,4,4,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,4,3,6,0,6,0,0,0,0,3,33,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,114,90,22,34,11,5,0,0,4,0,0,0,0,8,289,0,8,5,33,76,64,77,47,17,9,10,10,4,0,12,371,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,13,23,20,19,0,7,0,4,13,0,5,96,0,8,3,8,8,6,8,0,0,0,0,0,0,0,0,36,0,0,0,5,5,0,5,3,0,0,0,0,0,0,0,15
