UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL122080,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,5,0,0,0,0,0,6,0,26
UCL122081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,13,0,0,0,0,0,0,0,33
UCL122082,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,3,0,3,0,32
UCL122083,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,10
UCL122084,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,14,0,3,0,0,0,5,3,33
UCL122085,0,0,0,11,0,0,0,0,0,7,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,16,0,15,0,3,0,7,4,53
UCL122086,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,12,0,3,0,3,0,0,0,35
UCL122087,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,17,3,3,25,3,17,0,3,3,0,0,71
UCL122088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,0,0,0,0,3,21
UCL122089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,4,0,3,0,3,0,29
UCL122090,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,26,0,7,0,0,3,3,0,49
UCL122091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UCL122092,0,0,0,7,0,0,0,4,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,0,3,0,3,0,3,5,41
UCL122093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,4,0,6,0,3,0,3,4,26
UCL122094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,8,0,18
UCL122095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,7,3,25
UCL122096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,15
UCL122097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,6,0,0,0,3,3,25
UCL122098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,9,3,4,0,3,3,38
UCL122099,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,19,0,3,0,0,0,3,0,38
UCL122100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,7,0,3,0,3,0,0,3,23
UCL122101,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,3,3,0,9,9,43
UCL122102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,4,0,4,0,0,4,0,4,30
UCL122103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,3,0,6,3,26
UCL122104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,0,9,0,0,0,0,0,26
UCL122105,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,4,0,0,0,16
UCL122106,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,0,3,0,0,0,7,0,27
UCL122107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,0,13
UCL122108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,16
UCL122109,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,7,5,31
UCL122110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,17,3,3,0,6,0,6,7,39
UCL122111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,4,0,0,0,0,4,26
UCL122112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,3,0,3,0,0,3,21
UCL122113,0,0,0,14,0,0,0,4,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,4,20,5,0,20,3,9,0,3,0,10,8,74
UCL122114,0,0,0,13,0,0,0,3,0,3,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,17,0,12,0,0,0,0,4,48
UCL122115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,3,0,0,0,3,3,26
UCL122116,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,11,0,7,0,5,0,5,3,46
UCL122117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
UCL122118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122119,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,19,3,11,3,3,0,0,3,57
UCL122120,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,14,0,11,0,0,0,3,3,58
UCL122121,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,3,0,0,0,3,0,23
UCL122122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,6,0,3,0,0,0,5,0,30
UCL122123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,15
UCL122124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,4,0,0,0,0,3,20
UCL122125,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,8,0,14,0,0,0,3,4,46
UCL122126,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,29,0,14,0,3,0,4,3,65
UCL122127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,19,0,9,0,3,0,0,0,38
UCL122128,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,8,0,0,0,3,0,0,0,32
UCL122129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,23,0,6,0,0,0,4,0,51
UCL122130,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,3,8,0,0,0,0,0,27
UCL122131,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,27,6,14,0,3,3,4,3,73
UCL122132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,18
UCL122133,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,10,3,3,0,3,0,0,0,37
UCL122134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,15
UCL122135,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,12,0,4,0,0,0,3,4,45
UCL122136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,3,3,0,0,0,0,5,32
UCL122137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,3,0,17
UCL122138,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,3,5,0,4,0,3,0,32
UCL122139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,3,3,25
UCL122140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,19
UCL122141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,4,0,0,0,12,0,33
UCL122142,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,3,0,4,0,13
UCL122143,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,12,0,3,0,3,0,5,3,43
UCL122144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,8
UCL122145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11
UCL122146,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,4,0,0,0,4,0,23
UCL122147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,3,0,0,0,3,0,30
UCL122148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,3,0,7,3,23
UCL122149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,3,3,16
UCL122150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,8,0,4,0,8,0,4,4,45
UCL122151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,4,0,3,0,18
UCL122152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,11
UCL122153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,11,0,0,0,5,0,28
UCL122154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,3,0,5,3,23
UCL122155,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,3,0,19
UCL122156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8
UCL122157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,3,18
UCL122158,0,0,0,11,3,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,13,3,7,26,7,16,0,3,0,3,10,78
UCL122159,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,9,0,0,0,7,3,31
UCL122160,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,15,0,10,0,3,0,0,4,51
UCL122161,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,9,3,13,0,0,0,3,3,41
UCL122162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,7,0,20
UCL122163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,3,0,0,0,11,3,19
UCL122164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,4,0,0,0,11,0,28
UCL122165,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,9,0,3,0,0,0,4,5,35
UCL122166,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,14,3,7,0,5,0,0,3,46
UCL122167,0,0,0,16,3,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,27,3,3,26,3,16,3,0,0,0,4,81
UCL122168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,6,0,3,0,20
UCL131777,39,131,28,7024,2089,312,109,1933,181,865,107,338,104,590,3290,9915,150,23,78,133,14,70,9,16,57,82,177,817,15887,2965,739,19980,2054,9321,816,2992,785,4843,3734,64109
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL199994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL201001,341,1396,78,73968,7401,1492,519,8796,869,6007,434,2216,743,4926,23533,56952,641,110,402,975,151,494,93,149,226,684,1560,5488,103530,20189,4110,154385,16921,109554,4795,29494,6179,50175,26358,525687
UCL203001,8,10,0,1521,261,48,9,341,31,178,11,75,19,155,723,1852,16,0,5,30,3,20,3,9,13,30,52,183,2742,663,151,5744,647,3090,183,915,206,1469,815,16625
UCL211001,4,3,0,180,66,10,3,75,10,32,3,14,5,16,193,430,3,0,5,10,3,5,0,0,4,9,3,33,784,142,38,1226,150,663,37,131,46,238,209,3675
UCL211002,3,4,0,709,161,28,4,199,15,94,4,31,3,78,394,1010,16,0,7,16,5,9,0,0,0,18,20,98,1685,407,80,3394,354,1643,114,460,98,709,430,9367
UCL211003,3,9,0,562,142,28,17,183,32,85,10,31,5,70,387,981,9,0,3,12,6,12,3,6,0,13,22,80,1666,427,73,3283,368,1648,148,503,87,719,427,9345
UCL211004,3,12,0,250,99,16,6,83,6,96,3,37,16,70,235,675,12,0,5,11,0,13,3,4,5,19,35,101,1156,186,47,1502,207,1638,65,392,130,766,298,6378
UCL212001,0,0,0,148,51,9,0,61,6,32,3,10,0,34,182,393,0,0,4,0,0,3,3,0,0,10,14,39,586,101,22,946,104,502,39,178,37,337,202,3058
UCL212002,0,6,0,271,97,9,4,79,3,57,10,27,0,54,196,557,11,0,3,14,0,3,0,0,0,15,20,63,959,168,41,1423,159,797,54,271,65,590,230,4768
UCL212003,4,5,0,442,83,12,0,76,9,45,4,20,8,28,174,460,17,0,3,11,0,7,0,3,0,3,12,49,988,159,24,1607,177,871,55,209,43,286,201,4619
UCL212004,0,3,0,235,44,10,4,56,4,25,3,3,5,13,143,315,6,0,3,3,0,9,0,3,3,6,3,36,456,88,16,981,106,477,46,110,31,192,152,2643
UCL212005,0,0,0,194,56,7,3,73,3,26,3,17,3,18,138,351,4,0,4,4,0,3,0,0,4,4,6,28,533,139,29,1201,101,455,43,142,40,192,154,3046
UCL213001,0,0,0,183,41,11,3,45,0,21,0,3,4,10,77,210,3,0,0,0,0,3,0,0,0,3,3,12,451,67,19,701,72,451,11,102,26,142,83,2122
UCL213002,0,0,0,37,19,3,0,22,0,15,0,7,0,10,72,151,0,0,0,0,0,0,0,0,0,5,6,14,162,47,12,369,38,198,19,84,15,86,75,1110
UCL213003,0,0,0,45,21,3,0,25,0,10,3,7,0,0,42,107,6,0,3,6,0,0,0,0,3,3,3,19,204,43,17,471,38,165,8,55,15,69,46,1132
UCL213004,0,0,0,48,12,6,0,25,0,11,0,4,3,5,57,126,4,0,3,3,3,0,0,0,0,3,3,22,185,58,7,433,53,275,26,61,15,85,64,1258
UCL213005,0,0,0,72,26,7,0,45,0,16,0,4,4,10,58,167,5,0,0,0,0,0,0,0,0,0,0,9,216,69,13,490,43,269,24,65,15,93,66,1359
UCL213006,0,3,0,73,27,9,3,29,3,5,0,5,0,6,76,171,3,0,0,0,0,0,0,0,0,3,5,15,263,45,21,431,30,172,18,64,12,74,90,1208
UCL213007,0,0,0,70,26,3,0,49,4,14,5,3,0,3,102,208,0,0,0,5,0,0,0,0,0,0,3,14,262,66,14,593,61,247,21,68,17,83,110,1545
UCL213008,0,0,0,142,21,6,3,44,0,20,0,6,0,15,79,203,3,0,0,4,3,0,0,0,0,3,0,20,337,45,18,684,67,369,24,79,17,78,84,1804
UCL213009,0,0,0,59,20,4,0,30,3,16,0,4,0,14,53,147,4,0,3,5,0,4,0,0,0,0,3,21,251,69,18,599,63,254,28,66,8,83,58,1505
UCL213010,0,0,0,87,17,5,0,26,3,20,0,12,3,18,53,163,0,0,0,3,0,0,0,0,0,3,4,17,156,60,8,394,38,228,10,109,28,172,60,1264
UCL213011,0,3,0,44,15,3,0,20,3,12,0,7,4,21,41,128,0,0,0,3,0,3,0,0,0,4,6,15,129,30,15,284,36,207,11,68,27,184,47,1032
UCL213012,0,0,0,257,35,11,0,68,7,14,3,8,0,8,118,273,4,0,0,5,0,0,0,0,0,0,5,15,360,135,18,940,92,379,20,95,17,94,127,2281
UCL213013,0,0,0,30,12,5,0,22,0,12,3,5,0,4,64,131,0,0,0,0,0,0,0,0,0,5,8,10,139,46,10,296,27,172,13,54,14,71,75,917
UCL213014,0,0,0,113,34,3,0,24,0,11,0,3,3,5,108,191,0,0,3,0,0,0,0,0,3,0,11,14,204,42,19,419,60,290,16,64,18,95,119,1344
UCL213015,0,3,0,43,21,4,0,29,3,15,0,5,3,8,44,121,4,0,0,4,0,0,0,0,0,0,4,15,209,36,18,342,48,169,10,42,12,66,52,999
UCL213016,4,4,0,278,42,9,3,54,5,19,3,4,4,11,140,292,7,0,0,8,0,0,3,0,0,0,6,21,405,117,19,929,84,388,31,86,24,67,140,2292
UCL213017,0,0,0,66,21,10,0,36,8,11,5,8,0,17,71,180,0,0,0,3,0,0,0,0,0,3,15,23,348,81,18,635,67,263,21,84,12,129,94,1755
UCL213018,0,0,0,131,32,0,0,30,10,12,3,8,3,11,72,174,3,0,0,3,0,3,0,0,0,0,3,18,264,58,15,518,43,280,19,69,16,92,71,1456
UCL214001,0,0,0,29,18,0,0,20,3,3,3,3,0,8,34,90,3,0,0,0,0,0,0,0,0,0,0,6,125,24,3,182,24,83,18,40,7,55,30,600
UCL214002,0,0,0,29,14,0,0,17,4,6,0,3,0,3,30,86,0,0,0,0,0,0,0,0,0,0,3,3,132,22,4,223,34,131,5,34,6,77,41,701
UCL214003,0,0,0,33,23,8,0,17,3,12,0,5,0,7,41,120,3,0,0,0,0,0,0,0,0,0,3,10,130,83,11,248,28,145,21,57,8,48,51,828
UCL214004,0,0,0,25,18,0,0,14,0,4,0,3,0,10,22,74,0,0,0,3,0,0,0,0,0,0,3,7,87,11,4,143,16,74,9,25,9,51,28,458
UCL214005,0,0,0,3,3,0,0,3,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,3,26,0,3,38,4,9,0,4,3,15,6,111
UCL214006,0,0,0,195,22,0,3,27,0,15,3,3,4,6,67,157,0,0,0,3,0,0,0,0,0,0,4,10,278,44,10,563,60,276,9,56,16,43,72,1423
UCL214007,0,0,0,26,15,8,0,23,0,3,0,3,0,5,34,100,0,0,0,0,0,0,0,0,0,0,0,3,149,45,10,301,25,135,14,42,12,67,40,827
UCL214008,0,0,0,58,12,5,0,31,4,12,3,0,3,8,39,111,3,0,3,0,0,3,0,0,0,0,0,12,140,52,15,349,31,165,12,42,18,72,37,922
UCL214009,0,0,0,23,8,0,3,8,0,4,0,3,0,3,17,48,0,0,0,0,0,0,0,0,0,0,0,0,65,16,7,147,17,81,5,26,6,29,19,412
UCL214010,0,0,0,60,20,3,0,17,3,9,0,5,0,0,28,90,5,0,0,6,0,0,0,3,3,0,4,16,156,24,12,267,37,186,12,34,9,44,36,821
UCL214011,0,0,0,16,11,3,3,14,0,5,3,3,0,3,32,83,3,0,0,0,0,0,0,0,0,0,3,9,105,30,11,171,23,83,12,34,12,47,43,565
UCL214012,0,0,0,16,11,3,0,12,0,7,0,0,3,3,30,69,0,0,0,0,0,0,0,0,0,3,4,7,70,24,4,131,21,58,15,27,12,77,34,470
UCL214013,0,0,0,25,7,0,0,17,0,0,0,0,0,0,19,55,0,0,0,0,0,0,0,0,0,0,0,0,76,29,7,192,15,99,12,16,6,29,25,498
UCL214014,0,0,0,19,10,7,0,16,0,3,0,7,0,7,25,78,0,0,0,0,0,0,0,0,0,3,0,5,93,23,4,167,15,84,18,38,10,80,29,556
UCL214015,0,0,0,20,11,0,0,6,0,4,0,3,0,9,24,62,0,0,0,5,0,0,0,0,0,0,3,8,61,28,9,127,12,86,6,32,7,78,27,472
UCL214016,0,0,0,18,7,0,3,17,0,5,0,0,3,3,14,57,0,0,0,0,0,0,0,0,0,0,4,10,97,18,3,129,7,84,9,28,6,47,24,456
UCL214017,0,0,0,17,5,4,0,7,0,3,0,0,0,9,19,54,0,0,0,0,0,0,0,0,0,3,0,5,89,25,3,129,18,78,3,30,8,49,20,453
UCL214018,0,0,0,73,26,5,0,36,3,22,0,3,4,8,47,158,4,0,3,0,0,0,0,0,0,0,0,11,234,32,8,406,44,246,15,59,20,57,54,1183
UCL214019,0,3,0,12,6,3,0,21,0,3,3,3,0,7,23,89,0,3,0,0,0,0,0,0,0,0,0,3,82,53,10,226,17,94,12,46,11,85,26,668
UCL214020,0,0,0,32,17,0,0,20,0,8,0,0,0,4,30,83,3,0,0,0,0,0,0,0,0,0,0,9,131,26,6,262,24,79,12,22,10,53,33,656
UCL215001,0,0,0,12,3,0,0,8,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,42,3,18,3,3,0,0,10,92
UCL215002,0,0,0,4,3,0,0,0,0,4,0,0,0,0,15,22,0,0,0,3,0,0,0,0,0,0,0,4,39,13,5,81,7,38,3,3,3,18,15,222
UCL215003,0,0,0,22,3,0,0,8,0,4,0,3,0,3,5,31,0,0,0,0,0,0,0,0,0,0,0,3,45,25,3,90,4,43,3,12,3,15,6,249
UCL215004,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,34,5,14,4,5,0,4,7,102
UCL215005,0,0,0,16,3,0,0,5,0,5,0,0,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,33,12,0,84,5,56,4,16,0,18,10,249
UCL215006,0,0,0,26,3,0,0,10,0,3,0,0,0,3,17,32,0,0,0,0,0,0,0,0,0,0,0,3,51,14,6,107,3,31,3,12,3,16,17,270
UCL215007,0,0,0,34,9,0,0,14,0,5,0,3,0,0,33,71,0,0,0,3,0,0,0,0,0,0,0,5,126,28,10,283,47,125,17,30,11,31,37,737
UCL215008,0,0,0,11,0,0,0,4,0,0,0,0,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,64,10,3,99,9,44,10,12,6,15,16,268
UCL215009,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,34,0,5,3,4,0,0,3,68
UCL215010,0,0,0,50,10,0,0,6,0,5,3,0,0,0,16,41,0,0,0,0,0,0,0,0,0,0,0,3,67,15,5,143,10,59,3,5,3,11,24,355
UCL215011,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,23,4,14,0,3,0,7,5,76
UCL215012,0,0,0,15,9,0,0,7,0,0,0,3,0,3,14,37,0,0,0,0,0,0,0,0,0,0,0,0,62,22,0,98,13,18,3,18,0,8,20,260
UCL215013,0,0,0,14,0,0,0,3,0,3,0,0,0,4,14,25,4,0,0,0,0,3,0,0,0,0,0,11,63,3,4,91,15,68,5,11,3,23,9,294
