UCL_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
UCL112007,0,0,3,0,3,10,21,11,0,5,0,3,7,0,0,67,0,0,0,0,3,9,18,47,12,13,6,4,17,0,3,136,0,0,0,0,3,0,5,9,0,0,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,51,64,101,40,29,25,23,12,3,21,14,7,3,14,411,0,0,5,6,6,5,9,3,0,3,0,0,0,0,0,35,0,0,0,0,9,3,5,14,3,3,3,0,5,4,0,45,0,0,0,0,0,0,5,38,0,0,0,0,10,5,0,74,0,11,23,32,14,15,42,198,33,29,29,21,17,45,15,527,11,128,167,220,172,202,305,730,136,152,148,132,155,109,80,2846
UCL112008,0,0,0,0,3,4,0,11,0,0,0,0,4,0,4,27,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,12,0,0,0,0,0,3,4,11,3,0,0,3,3,0,5,35,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,57,109,154,52,41,19,32,5,4,5,3,4,0,46,537,0,0,0,8,0,3,13,13,3,0,0,0,6,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,4,0,0,0,0,9,3,0,0,0,0,3,0,23,0,17,24,46,14,19,40,91,7,14,11,10,21,11,35,357,3,126,206,304,160,172,192,317,53,48,50,83,99,59,222,2090
UCL112009,0,0,3,9,6,8,19,3,4,8,0,0,4,0,0,62,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,10,0,0,0,0,3,6,10,11,0,0,0,0,0,0,0,32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,63,135,183,59,75,51,37,10,0,4,3,3,4,19,653,0,0,0,24,7,14,20,9,3,0,7,4,3,0,0,90,0,0,0,3,0,3,0,3,8,7,0,3,0,11,0,40,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,19,0,14,21,52,34,25,49,67,4,7,18,11,20,11,14,348,27,167,251,364,283,293,328,275,63,41,67,49,67,51,73,2387
UCL112010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,4,3,0,11,0,0,0,0,3,0,0,43,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,3,0,0,0,0,11,0,13,17,21,17,16,14,23,0,0,3,6,3,0,3,127
UCL112011,0,3,3,3,7,4,15,12,0,0,0,0,4,0,3,59,0,0,0,4,0,0,3,3,0,3,10,0,0,0,0,27,0,0,0,0,0,7,6,14,0,10,3,3,7,3,7,63,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,186,333,410,93,58,91,69,4,10,16,12,0,3,70,1368,0,0,0,11,8,13,10,15,7,0,3,0,8,0,11,75,0,0,0,6,7,3,6,4,3,3,0,0,0,0,14,41,0,0,0,0,0,0,3,5,3,0,3,0,0,3,0,23,3,38,63,116,49,59,33,50,6,12,6,17,19,3,40,505,25,374,537,706,361,312,352,331,52,75,88,95,83,42,281,3702
UCL112012,0,0,0,3,10,9,32,37,3,10,3,3,0,3,4,132,0,0,0,0,0,5,3,20,0,4,13,0,0,0,0,52,0,0,0,0,0,5,8,11,0,3,4,0,0,3,0,38,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,14,13,78,139,203,49,57,65,38,3,15,26,5,0,4,29,728,0,0,3,9,4,7,14,8,0,3,3,0,3,0,5,70,0,0,0,0,3,4,5,5,3,0,0,3,6,0,3,36,0,0,0,0,3,0,27,34,11,4,22,0,0,0,0,104,3,32,33,41,37,45,107,141,31,31,11,23,17,17,23,594,22,257,300,429,275,300,463,608,135,218,152,106,98,70,130,3569
UCL112013,0,3,5,11,26,23,57,33,4,10,3,0,3,0,4,194,0,3,0,0,0,4,3,4,0,0,0,0,4,0,0,26,0,0,0,0,0,11,8,8,0,3,3,0,3,3,6,50,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,13,216,488,671,246,190,248,153,22,19,43,28,19,10,104,2473,0,3,5,25,21,14,22,30,5,0,20,9,0,11,3,159,0,0,0,0,10,3,10,10,0,3,3,3,0,0,0,49,0,0,0,4,14,7,14,11,0,3,0,0,0,0,0,49,5,46,82,133,69,61,73,61,24,18,25,16,12,3,27,654,32,516,816,1133,679,532,762,572,112,120,143,110,88,45,241,5908
UCL112014,0,0,0,4,3,0,28,15,12,8,0,0,6,5,9,92,0,0,0,0,0,6,0,12,8,4,9,4,4,0,0,45,0,0,0,0,4,8,12,10,4,0,4,3,3,3,3,44,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,104,127,32,23,30,16,14,3,4,4,5,0,30,444,0,0,3,13,6,10,18,3,0,0,3,3,0,0,3,60,0,0,0,0,0,0,9,11,0,3,3,3,16,11,10,63,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,14,0,17,17,20,13,22,32,66,20,18,28,36,69,24,50,434,12,124,180,246,158,179,231,407,97,146,154,166,257,134,177,2669
UCL112015,0,0,3,3,14,9,54,49,5,9,3,4,3,0,0,169,0,0,0,0,0,3,14,22,8,35,7,3,6,0,6,104,0,0,0,0,0,3,4,5,0,3,0,3,3,0,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,84,140,214,55,57,73,59,4,9,32,15,12,3,31,794,0,0,0,12,7,10,26,12,6,0,3,3,0,3,0,81,0,0,0,0,8,4,6,9,0,3,0,0,0,3,6,37,0,0,0,0,5,0,23,16,3,9,0,0,0,3,4,59,0,38,33,40,47,65,160,235,55,90,83,54,72,38,41,1050,16,252,307,378,257,294,643,765,197,392,341,277,261,124,195,4715
UCL113001,0,0,0,15,5,4,4,12,0,0,0,0,5,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,7,11,5,3,4,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,65,125,149,58,40,62,32,11,13,5,6,0,3,29,606,0,0,3,7,5,7,8,3,0,3,0,0,0,0,3,45,0,0,0,3,0,3,3,4,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,7,4,14,37,34,11,15,20,32,4,9,5,3,5,0,4,201,23,175,236,304,202,165,198,184,35,55,35,23,20,12,89,1757
UCL113002,0,0,0,12,10,0,10,3,0,0,0,0,0,3,0,44,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,98,173,198,64,29,23,19,0,7,4,6,0,3,40,680,0,0,3,3,5,4,7,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,21,41,56,9,15,22,18,0,3,0,5,3,4,11,214,15,205,355,391,157,120,109,87,11,25,16,16,7,15,85,1630
UCL113003,0,0,0,0,4,3,7,7,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,54,14,20,11,10,0,4,5,0,0,0,10,196,0,0,0,0,4,3,3,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,8,13,14,14,0,4,3,0,10,0,4,95,4,85,85,108,57,74,79,110,22,37,35,18,28,7,42,792
UCL113004,0,0,0,3,3,0,0,4,0,3,0,0,6,0,5,29,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,46,61,19,5,10,8,0,0,0,0,3,0,13,190,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,0,0,0,0,0,0,0,37,4,57,71,77,41,27,37,60,15,19,10,5,23,3,31,484
