UCL_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
UCL101001,21666,75949,75645,68449,207339,273872,123303,218218,23782,1088223,69,383,356,433,424,373,136,216,44,2437,36,53,77,79,176,226,74,109,10,825,1105,3408,3823,3693,11116,8272,3188,3386,285,38273,151,130,255,309,1081,1006,366,336,20,3659,607,3014,3171,2754,3715,5086,1575,2138,201,22257,861,1836,2636,2852,7883,7483,2778,2979,159,29476,3373,22749,18136,15176,17999,11999,5183,6003,1147,101765,1937,18489,14404,8846,8118,6061,3122,4452,903,66338,1105,1865,2744,3212,6646,5548,2116,2042,288,25558,916,1707,1940,1987,4879,6026,2705,3646,141,23954,3252,2439,5298,6394,15269,17648,6189,7605,448,64543,601,1881,2089,1915,3666,4663,1847,2159,151,18973,3165,8809,10456,9964,16394,21813,9028,12451,525,92602,1122,5638,6359,4822,7196,6721,2529,2884,409,37679,2891,2583,4591,5054,16443,9783,4592,3759,371,50057,4382,18121,16113,15309,19634,17750,8688,13705,957,114669,7238,19098,30716,29702,36239,31696,9211,11466,1782,177146,610,3742,2329,2099,2061,2362,996,1394,175,15761,959,6071,5272,4543,6482,4984,2305,2242,418,33271
UCL102001,280,637,409,573,2290,2459,1334,1934,193,10100,0,3,0,3,8,0,0,0,0,22,0,0,0,0,0,0,0,3,0,9,7,29,14,15,39,29,13,18,0,167,3,0,4,7,22,9,3,9,0,53,6,19,17,25,36,40,26,15,0,185,3,7,12,3,27,23,5,11,0,100,32,211,152,149,204,84,65,37,7,951,16,187,97,90,80,45,23,41,3,588,11,11,17,26,39,28,17,11,0,158,4,6,8,8,34,17,11,9,0,108,6,3,11,20,44,33,15,20,0,151,4,13,4,12,45,44,22,21,0,162,22,48,40,88,125,125,52,63,3,558,12,51,46,52,70,65,15,17,8,322,167,62,146,260,761,617,319,261,22,2617,40,121,104,140,187,131,84,122,5,941,76,142,211,311,427,231,90,107,16,1597,8,26,9,25,23,11,6,9,3,126,10,47,48,42,63,61,27,16,0,311
UCL102002,1902,5054,4067,5026,13363,16143,7662,12650,1325,67187,11,39,49,41,40,19,6,14,10,228,3,7,7,7,12,18,5,10,0,64,65,274,253,322,583,371,173,151,15,2198,6,9,35,13,62,50,12,6,0,203,46,326,244,225,210,301,77,91,22,1539,48,110,135,136,288,220,85,89,6,1113,378,2240,1626,1524,1348,709,368,330,101,8620,180,2095,1069,1008,586,356,202,268,72,5834,48,142,130,167,189,172,63,67,9,989,41,109,101,87,234,149,53,71,0,844,154,111,309,317,664,478,146,143,17,2339,41,139,160,142,300,283,92,98,9,1257,121,505,510,474,631,526,218,259,18,3268,101,644,385,348,381,332,91,107,29,2423,245,237,430,483,1199,513,243,203,27,3584,335,1023,1062,1131,1136,1039,499,895,53,7167,817,1509,3153,3528,3014,2316,677,849,163,16038,41,290,144,140,112,94,29,41,0,898,93,566,421,443,543,308,136,118,32,2656
UCL102003,337,1122,829,1219,2116,2319,1121,2260,242,11570,0,11,10,4,7,7,0,3,0,45,0,3,0,0,0,0,0,3,0,14,3,36,31,42,43,34,14,15,0,223,4,4,3,4,12,9,0,4,0,44,3,54,62,55,46,42,11,26,0,304,3,14,23,13,24,18,11,15,0,122,51,435,259,335,262,96,59,86,19,1601,56,451,239,312,178,102,52,80,27,1494,13,26,36,52,45,24,14,10,4,222,4,12,9,15,20,18,7,10,3,100,14,25,28,41,49,33,18,25,0,235,8,45,45,36,80,39,24,28,0,315,13,82,73,111,106,74,35,51,0,545,15,128,100,99,78,52,14,23,4,521,42,36,51,77,184,64,43,26,0,520,46,207,186,249,216,191,111,177,14,1395,151,328,506,806,551,338,107,155,32,2977,3,46,25,25,18,16,10,7,0,151,12,101,71,80,42,57,17,21,4,413
UCL102004,2134,6355,4413,5355,14608,17046,9258,13961,1218,74328,6,29,34,32,22,19,12,13,4,178,22,20,29,22,61,84,45,58,3,344,57,279,273,267,365,267,172,145,14,1835,20,14,51,73,124,96,28,26,4,435,55,253,247,212,266,314,102,115,10,1582,36,87,130,129,221,153,71,59,9,890,361,2334,1637,1486,1336,602,347,318,83,8502,228,2362,1138,1000,625,411,238,302,99,6415,51,165,134,146,206,168,88,87,11,1067,15,102,62,65,145,105,48,37,8,584,192,179,466,477,961,493,238,164,23,3200,22,121,116,126,260,181,95,113,3,1036,170,549,603,623,814,647,286,328,20,4033,96,524,424,386,431,330,115,136,27,2473,298,239,544,552,1422,666,321,215,24,4281,418,1490,1444,1485,1656,1258,682,1082,71,9583,1054,1888,3729,4257,3424,3236,983,1073,164,19809,27,316,135,138,80,77,32,53,3,864,90,549,429,416,534,316,170,157,21,2676
UCL102005,1771,4743,3570,4028,12309,13160,7199,10676,1116,58565,3,32,21,30,16,9,3,5,0,120,3,7,12,14,24,24,28,26,0,143,37,172,137,166,253,190,90,98,9,1147,4,7,16,40,62,31,9,3,0,177,31,166,141,142,138,176,53,60,9,918,17,84,95,90,135,123,44,48,4,644,267,1945,1330,1170,1142,495,260,259,71,6940,189,1794,861,745,452,319,148,242,52,4809,61,106,134,138,184,145,70,71,10,912,19,45,58,50,109,83,48,28,0,452,153,139,349,357,735,453,154,126,17,2483,29,102,113,106,228,164,56,67,3,866,106,379,391,350,457,399,181,206,12,2474,70,453,342,348,498,258,95,91,18,2181,241,271,514,556,1133,499,267,172,23,3681,368,1341,1230,1300,1550,1110,557,920,48,8435,702,1275,2616,2714,2408,2103,628,692,103,13233,45,258,128,98,82,54,28,46,5,751,86,448,369,350,399,243,99,107,18,2118
UCL111001,282,791,557,843,2187,2391,1465,2092,207,10817,6,11,8,6,7,9,4,6,3,61,0,0,0,0,0,0,0,0,0,4,22,68,35,54,95,79,35,39,4,429,0,3,6,6,9,7,4,0,0,24,7,48,30,34,47,31,12,17,0,228,5,9,14,23,19,17,9,10,0,118,75,409,249,273,219,105,70,51,8,1457,34,357,193,176,91,84,39,85,17,1078,17,18,29,38,50,28,14,14,3,202,3,19,16,22,28,18,12,3,0,113,10,17,35,36,69,36,29,13,0,248,7,8,13,25,48,29,11,14,3,152,15,50,45,87,111,57,34,24,0,432,7,94,70,45,54,29,8,17,3,339,43,58,96,133,239,100,84,50,10,803,62,205,217,239,256,168,134,176,13,1470,157,258,469,629,505,340,120,127,22,2620,3,37,10,18,14,10,7,5,0,102,6,68,80,69,66,49,26,25,5,397
UCL111002,484,1315,933,1080,3529,3940,2522,3888,303,17985,6,15,22,18,27,17,8,13,0,130,16,10,16,21,46,45,24,49,0,227,27,74,98,95,175,107,75,63,3,713,0,8,9,7,27,29,6,4,0,90,5,57,52,63,95,99,31,30,6,432,4,26,21,13,45,43,10,9,0,177,115,577,452,428,386,157,112,74,25,2328,53,569,274,216,144,107,71,86,22,1537,14,57,45,62,68,52,18,26,3,350,3,15,14,13,29,15,4,11,3,109,22,37,85,73,178,82,37,24,8,542,9,25,28,33,74,44,24,23,0,268,32,110,108,118,159,109,56,55,3,754,22,141,123,129,124,99,33,35,3,720,70,74,97,132,398,160,76,37,4,1047,106,258,285,308,272,266,140,263,14,1918,218,343,782,784,753,616,200,195,41,3920,3,67,19,35,17,11,7,10,0,170,23,125,99,119,135,79,27,38,9,653
UCL112001,135,486,282,342,895,676,429,693,82,4009,0,11,19,10,30,13,3,3,3,93,0,0,0,0,0,0,3,0,0,7,0,7,3,4,3,3,3,4,0,37,0,0,0,0,0,3,0,0,0,6,0,9,7,4,9,11,0,0,0,42,0,4,3,3,7,4,3,4,0,30,33,161,87,96,85,28,24,18,5,531,24,156,55,65,26,22,5,32,13,398,0,4,3,9,6,0,3,0,0,22,3,7,8,6,8,3,0,0,0,34,3,9,9,17,35,17,3,0,0,100,3,5,3,3,17,3,4,3,0,36,15,25,18,29,66,22,17,15,3,206,7,30,20,22,30,15,7,8,0,143,11,14,18,18,57,10,12,5,0,142,55,146,113,126,299,134,85,143,5,1101,52,103,146,221,185,122,35,57,7,928,0,9,0,3,3,0,0,0,0,20,6,28,16,12,26,14,11,5,0,116
UCL112002,215,615,362,448,1669,1525,854,1579,144,7421,3,16,6,10,9,3,0,6,0,53,0,5,0,0,0,0,0,3,0,11,12,49,41,50,55,69,30,23,3,331,0,3,7,9,13,19,3,0,0,53,7,23,21,21,28,16,18,12,0,147,0,7,5,12,15,8,3,3,0,57,55,270,170,161,163,64,42,45,16,978,29,252,92,89,86,40,20,46,19,672,3,15,9,8,23,14,11,10,0,92,4,15,16,6,30,11,11,12,3,112,4,11,20,25,36,19,8,12,0,134,3,9,3,8,25,20,7,13,0,84,12,45,33,57,66,34,26,26,0,298,6,68,38,34,54,30,6,11,0,253,36,18,56,68,202,93,38,29,8,555,60,162,159,166,256,184,117,158,22,1277,87,151,283,350,319,247,62,91,16,1613,4,44,16,13,10,6,0,5,0,95,0,49,37,33,47,33,16,16,0,226
UCL112003,182,608,513,646,1145,1258,713,1207,127,6403,0,3,13,4,10,7,8,0,0,38,0,0,0,0,0,0,0,3,0,5,0,28,25,12,27,19,7,14,0,144,0,0,6,4,6,0,0,3,0,23,3,21,15,12,3,16,4,6,0,92,3,9,8,11,18,6,11,3,0,67,24,154,131,116,76,54,33,37,8,639,28,205,121,118,72,56,36,53,16,706,3,15,13,19,22,15,10,4,3,98,3,22,13,8,7,14,5,11,0,83,6,7,13,22,40,25,9,4,3,128,3,14,8,15,24,18,10,15,0,103,11,77,57,68,53,59,19,38,3,389,3,65,41,32,24,16,3,3,3,204,31,33,68,63,152,69,29,31,3,491,50,174,181,148,148,132,79,188,7,1104,87,192,328,349,256,181,52,83,11,1529,6,32,33,38,19,25,4,13,0,182,8,43,35,35,25,15,8,12,0,182
UCL112004,124,431,297,364,665,887,513,1068,74,4424,0,10,9,7,3,0,3,0,0,40,0,0,0,4,3,0,0,0,0,7,4,33,16,19,15,28,9,21,4,149,0,0,3,3,0,0,0,0,0,9,4,37,19,16,12,24,3,8,0,116,0,10,8,8,12,16,10,7,0,77,14,134,92,83,66,45,25,45,9,512,19,137,78,76,37,48,20,34,8,455,3,12,10,12,10,13,4,4,0,71,0,8,11,7,14,7,3,4,0,48,5,19,19,14,15,22,3,6,0,104,3,11,15,16,25,18,11,16,0,117,7,69,43,61,41,56,12,26,3,323,3,47,43,26,31,19,8,14,4,190,13,12,12,20,40,27,13,11,0,141,17,102,98,92,85,68,62,109,4,646,51,123,187,199,164,114,39,50,6,929,3,12,10,4,5,7,6,5,0,60,3,32,31,37,23,19,7,11,3,164
UCL112005,134,288,256,299,820,817,514,747,97,3964,3,9,5,7,3,7,3,8,0,36,8,0,3,7,11,6,6,20,0,54,3,32,21,21,32,17,13,8,0,151,0,0,0,0,8,0,0,0,0,9,3,13,7,5,13,9,5,0,0,71,0,5,3,6,8,5,7,0,0,33,40,134,140,104,85,52,27,17,10,611,21,182,112,96,57,40,38,38,5,589,4,3,3,9,11,6,5,7,0,56,0,0,0,0,9,0,0,3,0,19,8,10,19,17,22,12,3,0,0,90,3,4,12,5,15,10,6,8,0,70,3,22,20,14,22,22,4,9,3,111,10,39,38,35,26,20,3,17,3,183,8,8,25,14,48,31,13,5,0,156,16,43,50,68,50,43,34,31,3,336,56,87,142,184,165,118,30,40,10,822,3,13,8,10,8,4,3,0,0,44,3,41,30,20,26,22,14,13,0,164
UCL112006,269,935,675,933,1946,1886,975,1779,200,9597,4,29,34,31,21,16,4,15,0,149,0,0,0,3,0,0,0,0,0,7,0,23,32,34,23,23,9,4,0,153,0,0,0,3,4,6,0,0,0,17,8,39,20,41,29,31,8,17,3,191,6,14,14,19,19,14,15,6,0,107,61,427,232,271,247,92,54,55,11,1448,19,387,177,188,128,65,53,71,8,1095,5,17,24,31,19,23,8,15,3,139,3,14,12,4,26,12,0,0,0,74,16,12,19,36,56,29,13,24,0,193,3,21,16,24,62,32,11,25,3,201,22,66,58,57,113,62,24,36,5,440,14,86,64,50,71,38,14,22,8,368,40,31,65,99,193,88,40,25,0,577,44,173,157,208,196,159,90,157,5,1205,115,258,463,596,589,359,111,166,17,2682,3,46,18,19,15,8,3,8,0,124,5,83,51,56,74,34,21,23,0,351
UCL112007,199,447,355,459,1836,1762,963,1699,152,7878,0,3,15,10,18,12,3,3,0,69,0,3,0,3,3,3,0,4,0,16,5,35,23,27,57,50,10,12,3,231,3,0,3,3,19,12,7,7,0,54,3,23,11,29,32,32,9,4,0,153,3,11,13,17,29,37,15,10,0,127,43,241,153,189,217,87,64,48,13,1047,22,269,101,131,104,47,39,61,20,787,0,18,8,13,29,18,17,17,0,123,0,9,9,5,18,18,4,0,0,72,3,7,23,18,43,48,16,23,0,179,3,9,7,15,29,22,4,11,0,99,4,27,36,47,107,52,27,36,0,348,7,51,43,39,58,20,6,13,3,248,43,21,37,63,229,114,50,34,0,599,47,120,122,178,199,145,112,151,10,1086,105,150,245,314,515,391,120,150,16,2006,7,26,21,20,25,17,3,7,0,121,14,52,50,39,78,23,20,24,4,303
UCL112008,145,332,281,360,1200,995,536,1000,109,4960,0,12,4,3,7,4,4,3,0,38,0,0,0,0,0,3,0,0,0,4,0,23,14,23,40,11,5,4,3,128,0,0,0,4,0,0,0,0,0,13,0,13,5,10,11,16,3,5,0,62,0,3,3,3,8,8,5,4,0,41,39,132,100,119,127,48,21,19,3,611,21,138,91,95,64,31,19,21,17,486,3,4,11,12,23,14,5,0,0,65,0,6,7,4,11,4,3,3,0,32,4,0,15,8,30,12,6,3,0,75,3,3,5,7,18,13,15,6,0,71,11,20,29,29,48,23,13,16,0,194,0,38,32,27,43,17,3,9,0,171,36,19,44,43,170,79,28,30,7,448,29,42,75,78,91,66,28,57,9,479,64,78,198,288,297,188,52,69,4,1238,3,22,3,5,9,7,0,7,0,60,3,28,27,33,34,15,8,11,0,165
UCL112009,121,540,387,590,1324,1019,558,812,109,5461,0,10,8,18,20,5,3,0,0,75,0,0,0,0,0,0,0,0,0,3,13,20,14,38,55,37,14,13,0,204,0,0,0,0,7,4,0,0,0,15,0,17,18,11,15,9,3,6,3,82,0,5,0,8,12,11,5,3,0,45,32,224,145,157,157,50,29,39,7,841,16,209,83,89,42,27,21,34,7,522,0,13,6,7,17,3,3,3,0,60,5,13,9,9,12,10,3,3,0,55,3,12,7,20,56,18,5,7,0,126,0,3,5,3,30,15,3,3,0,66,12,48,27,37,74,28,13,17,3,260,9,42,31,40,29,31,12,5,5,191,8,17,21,27,112,38,14,19,3,252,28,95,95,142,174,105,60,84,3,787,75,150,261,436,336,222,58,89,23,1657,3,16,12,11,6,5,5,3,0,51,5,41,26,39,35,27,19,10,0,195
UCL112010,12,30,27,36,85,105,78,128,14,511,0,5,4,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,4,7,6,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,15,0,0,0,0,4,0,0,0,0,8,3,14,7,15,6,3,0,4,0,59,0,17,4,10,0,4,0,3,0,38,0,0,4,0,0,3,3,0,0,10,0,0,0,0,3,0,4,0,0,9,3,0,3,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,5,4,0,5,4,3,3,0,0,0,17,0,6,3,5,5,7,0,0,0,36,0,0,3,5,10,9,4,4,0,29,9,6,8,13,12,10,8,5,0,68,5,7,15,21,27,7,7,6,0,96,0,0,0,3,0,0,0,0,0,8,0,3,3,5,9,3,0,0,0,25
UCL112011,168,464,386,435,1216,1090,861,973,150,5743,0,4,10,7,4,4,4,4,0,43,0,0,0,0,0,0,0,0,0,4,0,13,17,17,31,24,10,8,0,136,0,0,0,0,8,3,3,0,0,17,4,20,8,11,20,12,6,3,3,83,4,3,7,3,0,6,0,3,0,36,45,232,144,152,163,48,37,32,16,876,21,216,90,95,55,41,22,36,11,584,0,22,17,15,11,3,7,4,0,75,0,4,0,4,4,8,3,0,0,25,8,8,15,12,28,15,12,0,0,96,0,12,6,7,20,13,8,4,0,81,3,32,25,35,62,34,24,14,0,228,17,59,44,36,38,24,8,3,3,232,26,27,35,53,133,63,51,27,6,417,26,86,88,113,71,71,44,55,0,551,83,172,293,353,318,203,55,75,18,1563,3,16,7,7,11,0,4,4,3,59,3,41,44,26,27,22,17,11,3,192
UCL112012,235,534,389,526,1558,1599,1109,2033,161,8145,3,19,12,9,5,7,3,3,0,75,10,10,4,7,9,11,22,32,0,106,5,24,16,29,45,27,15,20,0,186,0,0,3,3,8,6,0,0,0,26,3,22,19,23,20,19,12,10,0,132,4,6,11,9,16,11,3,8,0,71,43,288,156,176,178,80,62,52,14,1054,27,196,101,119,85,48,29,46,7,662,7,15,17,20,32,19,3,14,7,120,8,3,3,9,13,12,4,7,0,61,12,10,21,32,40,38,11,15,0,179,0,3,11,11,46,24,0,8,3,108,12,47,39,53,77,56,13,22,0,323,7,66,32,37,44,37,16,8,4,259,38,33,69,80,265,118,60,37,3,693,45,112,158,184,193,137,94,148,10,1092,102,174,344,378,491,501,139,168,14,2312,3,30,6,15,9,3,3,6,0,75,13,49,44,36,65,29,20,12,0,273
UCL112013,260,799,515,875,1666,1773,889,1643,157,8578,0,7,5,3,8,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,3,42,23,13,35,14,15,11,0,152,10,0,18,22,70,76,17,13,0,222,3,33,27,26,25,28,16,22,3,173,0,19,11,16,13,16,7,5,0,83,45,310,192,208,199,87,46,35,20,1140,27,352,140,166,110,82,39,75,15,998,0,12,14,20,23,20,4,6,0,106,3,6,4,10,19,9,3,13,0,69,13,6,21,43,45,36,22,11,0,198,6,22,25,18,53,24,13,20,0,182,14,73,53,63,89,53,23,33,3,392,16,92,52,54,57,36,17,16,0,348,24,20,56,63,156,71,39,31,3,474,35,146,151,176,216,164,110,149,9,1148,108,231,408,603,465,356,106,135,20,2434,8,32,8,15,10,3,0,6,0,91,3,94,48,53,59,32,18,23,5,331
UCL112014,192,515,373,532,1590,1701,937,1305,160,7302,6,10,9,7,19,14,8,7,0,77,0,0,0,0,0,5,0,3,0,4,8,26,13,39,71,102,14,25,5,305,0,0,0,0,4,3,3,0,0,19,3,17,15,10,32,17,7,12,0,109,3,12,8,8,24,41,14,5,0,118,52,224,169,175,197,82,57,40,7,1010,13,207,109,128,79,39,29,69,12,682,3,16,16,11,37,21,13,20,3,139,3,3,9,4,22,12,11,11,0,72,9,5,20,26,61,24,6,12,0,169,9,13,19,12,32,9,8,7,0,108,5,26,34,39,77,50,25,23,7,288,11,58,32,40,45,30,12,9,4,248,13,12,27,37,151,43,26,19,0,338,30,94,102,137,169,106,71,119,8,835,87,134,254,363,408,343,109,112,20,1833,3,25,9,13,9,3,6,6,0,81,4,56,39,50,48,33,20,17,7,262
UCL112015,299,814,541,704,2562,2576,1466,2274,198,11435,7,24,12,12,8,16,5,8,0,97,0,0,0,0,0,0,0,3,0,3,16,60,35,46,83,69,33,25,4,371,0,0,0,4,15,4,3,0,0,27,5,29,22,41,46,22,21,6,0,190,4,17,17,20,30,24,23,7,0,138,51,370,249,283,262,99,79,58,19,1472,29,350,183,173,132,61,42,73,11,1039,3,20,9,28,59,23,15,19,0,186,4,11,4,6,40,12,8,3,0,93,20,8,33,30,70,48,12,19,0,246,3,7,8,26,55,33,13,14,0,161,13,38,67,71,129,56,28,31,0,432,8,90,44,62,98,40,14,25,4,388,49,20,70,63,274,142,62,62,5,742,73,172,195,270,364,270,150,192,10,1697,166,244,432,605,697,528,175,213,17,3078,8,34,18,20,4,4,4,4,3,95,3,57,61,79,61,49,26,13,0,351
UCL113001,92,292,256,347,637,546,280,521,80,3052,3,3,4,6,8,3,0,3,0,31,0,0,0,0,0,0,0,0,0,0,3,15,15,10,18,13,10,6,0,96,0,0,0,0,0,0,0,0,0,5,3,10,6,3,11,8,0,12,0,53,0,4,3,4,3,4,3,0,0,24,23,117,88,88,78,31,14,23,7,462,10,97,60,80,43,19,15,30,0,350,0,12,11,11,7,3,0,5,0,43,0,6,0,3,10,4,0,0,0,20,0,4,8,8,27,6,5,3,0,65,3,5,8,8,22,10,8,0,0,69,3,15,26,21,17,9,10,12,0,122,3,43,20,22,16,8,3,9,3,117,6,0,17,18,47,17,10,7,0,124,22,52,51,91,83,60,37,44,6,437,35,74,149,233,184,87,23,35,4,825,3,10,8,4,3,0,3,0,0,33,3,21,16,20,22,16,3,0,0,100
UCL113002,60,209,170,223,365,305,149,286,38,1812,0,3,5,0,5,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,13,3,6,4,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,9,6,7,5,7,0,3,0,31,0,3,3,6,0,0,0,0,0,17,20,102,53,59,69,13,12,17,6,343,22,79,46,47,25,17,3,21,3,259,0,3,0,3,4,0,0,4,0,18,0,0,0,0,0,4,0,0,0,12,3,0,7,0,3,4,0,3,0,26,0,3,5,6,19,6,3,4,0,46,3,5,11,4,17,7,0,5,0,48,6,24,11,24,19,7,0,7,0,94,12,8,15,21,41,14,15,12,0,123,8,24,32,27,29,18,8,19,0,162,30,44,77,98,80,37,14,23,4,416,0,5,4,3,3,0,0,3,0,23,6,20,12,15,8,5,3,7,0,73
UCL113003,148,271,183,251,692,588,387,864,96,3476,0,3,6,3,4,6,0,5,0,33,4,6,3,3,9,6,11,21,0,63,0,7,7,6,4,0,0,3,0,32,0,0,0,0,18,4,0,3,0,27,0,6,0,8,8,4,3,0,0,31,0,0,3,4,3,6,3,0,0,28,21,124,85,84,98,37,15,19,5,487,18,129,77,70,51,17,13,34,4,415,0,6,3,5,8,3,0,7,0,35,0,0,3,0,12,0,4,4,0,27,8,4,9,11,19,8,3,5,0,63,0,8,8,0,16,3,4,0,0,33,0,15,6,9,23,14,4,4,0,74,5,23,23,30,33,13,0,6,3,133,10,17,19,28,98,25,15,10,0,222,20,36,36,89,92,49,42,58,3,420,64,72,87,174,194,274,42,71,11,999,0,10,0,8,6,5,3,0,0,31,8,22,23,24,28,16,15,6,0,136
UCL113004,40,85,57,74,213,260,152,297,31,1211,4,4,0,0,3,3,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,4,4,4,18,5,3,4,0,52,0,0,0,0,4,4,0,0,0,5,0,4,7,4,0,5,4,3,0,25,0,3,0,3,0,0,3,0,0,11,8,36,17,29,15,12,8,12,0,153,6,43,34,30,29,19,5,22,0,183,0,6,3,0,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,8,0,0,0,28,0,0,0,0,3,0,0,0,0,6,4,3,10,8,13,4,3,3,0,43,3,6,0,5,9,0,3,3,0,32,0,0,5,5,10,13,3,4,0,49,9,16,16,25,31,25,13,13,0,147,17,22,54,51,40,23,16,11,5,240,0,8,3,3,4,0,0,3,0,23,0,9,9,3,5,11,0,0,0,42
