UCL_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
UCL112003,0,0,0,7,7,11,18,5,0,56,0,0,0,0,5,11,13,13,8,53,0,3,0,8,0,3,0,0,0,20,0,0,13,6,4,3,0,0,0,27,0,0,3,3,3,5,3,0,0,16,0,0,3,14,6,6,3,0,0,28,0,0,0,0,0,3,9,4,0,11,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,7,0,7,7,10,18,8,3,57,0,4,6,45,55,55,42,11,0,223,0,0,0,3,5,7,5,0,0,20,0,3,0,0,0,0,3,0,0,4,0,0,0,3,5,3,0,0,0,11,0,7,3,17,6,3,4,0,0,33,0,0,0,4,0,10,7,0,0,34,0,0,0,10,18,31,44,15,3,117,0,0,0,7,5,0,3,0,0,15,0,0,0,11,3,9,9,0,0,34
UCL112004,0,0,0,3,3,10,11,4,0,34,0,0,4,7,8,4,10,8,3,46,0,0,0,3,0,0,3,0,0,9,0,0,3,5,0,0,0,0,0,9,3,0,0,0,5,0,3,0,0,15,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,5,3,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,38,0,0,0,0,0,41,0,0,0,4,5,8,25,16,3,55,0,0,5,26,34,28,39,15,3,153,0,0,0,0,5,0,11,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,12,4,3,0,0,0,18,0,0,0,0,0,3,11,3,0,15,0,0,0,6,9,14,26,22,3,83,0,8,0,0,0,0,0,4,0,13,0,0,3,15,11,5,7,6,0,54
UCL112005,0,0,0,7,0,0,3,0,0,14,0,0,0,0,0,4,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,9,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,9,4,0,20,0,0,4,43,22,19,16,0,0,109,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,13,17,12,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,3,0,15
UCL112006,0,4,0,32,7,3,4,0,5,58,0,0,4,9,0,5,28,11,8,62,0,4,3,0,3,0,0,4,0,17,0,0,3,4,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,7,13,13,3,10,3,3,3,0,0,46,0,0,0,0,0,3,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,29,64,25,4,4,3,0,136,0,0,3,4,0,0,0,0,0,5,0,0,0,3,4,17,29,22,6,72,0,20,20,78,61,72,46,23,5,321,0,3,0,6,0,0,8,3,0,23,3,8,8,3,5,3,0,0,0,32,0,0,4,5,7,3,0,0,0,22,0,12,8,18,3,0,0,3,0,43,0,0,0,3,0,0,5,3,0,10,0,3,6,14,16,20,26,25,16,118,0,3,0,3,0,3,0,0,0,14,0,7,5,27,20,11,8,3,0,85
UCL112007,0,3,0,15,0,3,0,0,0,20,0,0,0,0,0,0,3,3,4,12,0,3,0,0,0,0,0,0,0,5,0,0,4,21,0,0,0,0,0,28,0,0,0,0,0,0,7,3,0,11,0,0,0,4,6,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,7,3,101,0,0,0,0,0,108,0,0,0,3,0,0,8,3,3,19,0,13,16,32,28,21,21,3,3,139,0,3,4,3,3,3,4,0,0,14,3,4,5,27,0,3,0,0,0,38,0,0,0,0,0,3,0,0,0,3,0,12,3,27,15,0,0,0,0,65,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,7,6,3,0,26,0,0,3,0,0,0,4,0,0,4,0,0,3,14,3,5,0,0,0,27
UCL112008,0,3,0,6,4,0,0,0,0,22,0,3,0,0,0,4,8,4,3,17,0,0,0,3,0,0,0,0,0,3,0,0,13,18,0,0,0,0,0,34,0,0,3,8,5,3,0,3,0,16,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,19,0,0,0,3,3,0,9,5,5,21,3,3,10,35,25,26,14,3,0,125,0,0,0,3,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,13,0,0,0,3,3,0,0,0,0,9,0,13,10,14,4,0,0,0,0,40,0,0,0,0,0,0,0,0,0,4,0,0,3,6,5,8,11,6,4,44,0,0,0,0,0,0,3,0,0,5,3,0,3,3,3,0,0,0,0,17
UCL112009,0,0,0,6,3,0,3,0,0,13,0,0,0,0,0,6,9,23,15,54,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,8,3,23,0,5,11,27,33,36,13,3,0,134,0,0,0,0,3,4,0,0,3,11,0,3,0,7,0,3,0,0,0,13,0,0,0,11,0,0,0,0,0,11,0,4,3,5,3,4,0,0,0,22,0,0,0,0,0,4,0,0,0,3,0,0,3,6,7,9,8,3,0,28,0,0,0,3,0,0,0,0,0,3,3,0,3,10,10,4,0,0,3,32
UCL112010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,12,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112011,0,0,0,0,3,3,3,0,0,12,0,0,0,0,3,10,12,11,3,37,0,0,0,0,0,0,0,0,0,3,0,0,3,9,4,0,0,0,0,14,0,0,0,5,3,0,0,0,0,20,0,0,0,7,3,0,0,0,0,9,0,0,0,3,0,5,9,5,0,18,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,20,0,0,0,3,4,11,28,16,0,56,0,15,25,54,33,37,32,8,4,201,0,0,0,0,0,0,6,3,0,12,3,3,0,5,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,4,0,4,6,29,0,0,0,0,0,51,0,0,0,5,0,5,3,0,0,8,0,0,0,3,10,7,23,15,5,65,0,0,0,3,3,0,0,0,0,6,0,0,0,6,3,0,3,0,0,20
UCL112012,0,7,0,8,3,0,7,4,0,31,0,0,0,0,3,6,7,14,3,46,0,0,0,0,0,0,0,0,0,3,0,0,3,20,3,3,0,0,0,26,0,0,0,0,0,3,0,0,0,8,0,0,0,3,3,6,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,4,0,3,0,43,3,0,0,0,0,53,0,0,0,4,3,3,18,7,3,34,0,11,11,48,41,30,12,5,0,164,0,0,0,0,0,0,7,3,0,5,0,3,0,17,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,4,0,15,8,17,14,3,3,0,0,62,0,0,0,0,0,4,3,0,3,11,0,6,0,7,7,3,16,7,0,46,0,0,0,3,0,0,0,0,0,8,0,7,9,19,10,4,7,4,0,66
UCL112013,0,3,3,26,7,5,19,3,3,76,0,0,0,0,0,9,18,11,0,42,0,3,0,3,0,0,0,0,0,12,0,0,3,13,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,5,0,0,0,20,0,0,0,0,0,3,6,7,0,16,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,10,0,0,0,4,3,5,30,24,9,78,0,15,13,85,49,48,64,37,8,326,0,0,0,4,5,0,7,10,0,29,0,0,0,6,0,0,0,0,0,6,0,0,0,4,3,0,0,0,0,15,0,3,9,13,7,10,3,0,0,43,0,0,0,0,3,3,0,3,5,16,0,9,0,11,14,16,46,30,11,123,0,0,0,0,0,0,4,0,0,8,0,0,8,26,16,12,20,12,5,92
UCL112014,0,3,0,3,4,7,0,0,0,22,0,0,0,0,4,3,3,3,3,12,0,0,0,0,0,0,0,0,0,3,0,0,55,58,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,4,0,0,0,8,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,24,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,3,3,4,4,13,0,4,9,37,19,24,9,3,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,16,0,0,3,0,4,3,0,0,0,15,3,27,28,84,18,0,0,0,0,165,0,0,0,3,0,3,3,0,0,8,0,3,0,0,9,7,9,3,3,26,0,0,0,3,8,0,0,0,0,24,4,4,5,17,6,4,0,0,0,41
