UCL_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL215022,0,11,0,3,14,15,3,3,0,46,3,0,6,10,7,4,5,3,5,50,65,279,201,182,321,224,154,155,24,1604
UCL215023,0,3,4,0,5,3,0,3,0,23,3,3,0,0,0,6,4,4,5,28,33,85,53,79,81,114,89,95,9,644
UCL215024,0,3,4,0,8,3,4,0,0,27,0,0,4,7,0,3,3,5,5,27,31,94,72,88,106,96,54,92,13,643
UCL215025,0,0,4,0,6,5,3,4,0,27,3,5,0,0,0,3,0,3,3,21,25,72,38,49,68,59,32,69,8,422
UCL215026,4,8,9,7,7,9,3,5,0,52,4,7,4,3,6,6,0,10,14,53,113,303,218,241,248,250,126,187,22,1707
UCL215027,3,6,8,4,13,8,3,3,0,51,0,0,4,3,10,3,4,0,17,43,57,94,112,132,196,157,77,97,27,956
UCL215028,3,12,5,3,3,8,7,9,0,42,3,10,5,3,9,9,0,3,20,60,67,238,195,245,192,203,106,189,35,1469
UCL215029,0,8,3,5,9,11,5,9,0,52,3,6,0,6,7,9,3,3,20,62,44,100,102,132,262,225,98,126,31,1120
UCL215030,3,0,0,0,5,0,0,0,0,9,3,3,3,0,0,3,0,0,6,24,23,52,46,56,87,82,35,52,13,459
UCL215031,0,4,3,0,0,11,0,0,0,17,0,0,0,0,4,0,3,0,3,15,24,65,59,65,72,82,52,73,11,492
UCL215032,3,3,6,5,13,8,3,6,0,45,6,6,4,5,8,9,0,3,5,45,55,150,123,148,194,157,97,142,23,1089
UCL215033,0,4,5,3,3,14,5,5,0,40,0,0,0,3,15,11,4,3,5,49,66,108,105,126,265,324,166,216,13,1391
UCL215034,0,4,0,0,5,5,0,3,0,23,0,3,0,0,5,3,0,0,4,19,20,69,43,54,46,56,21,49,15,373
UCL215035,0,3,3,4,11,3,3,6,0,37,0,3,3,7,0,6,0,0,11,36,21,68,76,65,87,96,54,86,20,579
UCL215036,0,3,3,3,0,3,6,6,0,25,0,3,0,4,4,3,9,5,4,31,35,66,58,66,91,98,42,71,17,551
UCL215037,0,0,0,0,5,3,0,5,0,16,0,3,0,0,3,3,0,3,10,18,32,65,58,56,86,86,23,80,14,500
UCL215038,0,0,7,4,3,0,3,0,0,17,0,4,0,0,4,13,5,4,3,35,25,66,58,56,96,109,66,78,13,558
UCL215039,0,3,0,0,0,7,0,0,0,12,9,4,0,3,7,4,4,3,3,35,26,65,40,73,100,74,47,57,7,481
UCL215040,3,10,4,7,6,11,5,14,0,65,0,13,11,5,6,6,0,14,7,59,64,195,155,171,227,216,129,208,22,1387
UCL215041,7,5,0,0,5,11,9,10,0,48,3,8,8,6,5,8,0,6,10,59,40,109,105,108,197,197,91,142,25,1022
UCL215042,0,5,5,3,6,3,0,11,0,39,6,3,3,3,3,0,0,0,6,31,37,108,88,92,117,109,69,90,16,729
UCL215043,0,9,3,8,17,20,6,14,0,73,0,12,3,4,3,6,0,5,18,62,69,198,151,178,214,214,120,183,38,1371
UCL215044,0,14,4,7,13,13,9,17,0,78,0,11,3,3,10,5,10,8,21,82,80,250,236,277,308,355,176,263,46,1992
UCL215045,3,0,0,5,9,3,4,12,0,37,0,0,3,4,4,7,5,3,6,39,31,73,67,83,121,125,72,82,19,664
UCL215046,0,4,3,3,3,3,3,5,0,25,0,0,0,0,8,4,4,5,7,34,17,54,56,60,96,88,60,77,8,511
UCL215047,0,9,4,3,5,8,0,4,0,34,0,3,0,3,0,3,3,3,0,23,23,71,64,68,129,85,67,86,10,605
UCL215048,0,3,0,0,3,0,0,0,0,4,0,3,3,3,0,4,0,3,3,17,26,59,52,70,63,68,31,76,4,453
UCL215049,0,3,3,3,9,7,3,11,0,34,8,10,5,3,5,11,3,11,13,68,63,183,145,127,165,235,124,243,27,1305
UCL215050,10,9,8,9,15,16,7,14,0,85,3,10,3,6,9,11,4,10,17,68,111,235,191,198,278,265,173,228,36,1712
UCL215051,0,3,3,3,3,0,0,0,0,18,0,5,0,0,0,3,0,0,5,13,11,73,75,66,70,70,37,69,10,482
UCL215052,3,21,11,14,6,9,3,11,0,69,5,5,3,4,7,5,3,5,15,64,59,217,163,196,226,250,151,259,36,1560
UCL215053,0,0,0,4,11,8,3,0,0,27,0,6,3,3,8,5,3,5,3,33,33,83,68,90,151,97,66,75,17,694
UCL215054,0,8,5,0,11,5,0,6,0,34,0,8,3,5,4,4,3,0,7,34,24,70,80,79,124,120,47,40,15,594
UCL215055,0,0,4,3,3,3,0,0,0,19,0,3,5,0,3,0,0,4,4,30,23,96,96,90,100,80,67,92,14,660
UCL215056,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,4,19,15,40,50,54,58,74,26,57,9,380
UCL215057,0,0,0,5,4,0,0,5,0,14,0,0,0,3,3,0,3,0,0,9,30,96,86,99,120,80,65,109,12,693
UCL215058,3,4,3,3,9,6,7,13,0,45,8,10,3,3,9,7,4,6,8,57,54,147,120,122,244,156,83,125,36,1080
UCL215059,0,0,0,3,0,3,0,0,0,10,0,3,3,3,5,3,3,3,3,26,32,81,62,93,151,128,60,105,11,714
UCL215060,0,7,3,0,5,9,0,6,0,27,3,4,0,3,0,3,4,8,10,37,27,83,48,64,81,107,49,89,18,571
UCL215061,0,3,3,0,4,10,3,6,0,28,0,6,0,0,3,6,0,0,9,30,29,78,61,79,155,160,60,80,13,714
UCL215062,0,16,3,3,9,10,4,8,4,60,0,0,6,4,10,16,3,6,11,58,66,178,155,148,269,252,134,174,27,1401
UCL215063,3,7,3,0,8,7,0,0,0,27,3,0,4,0,5,3,4,0,10,28,27,96,61,89,95,78,38,65,26,573
UCL215064,0,9,0,0,4,3,3,0,0,16,0,3,0,0,0,3,0,0,0,10,19,52,42,41,51,79,37,72,6,398
UCL215065,0,4,8,3,3,10,3,0,0,33,0,0,9,3,11,3,0,9,8,54,50,142,125,139,161,155,83,131,33,1021
UCL215066,0,12,3,3,4,8,3,3,0,40,0,5,4,3,4,5,3,10,9,48,65,254,154,188,163,217,109,177,23,1346
UCL215067,0,9,3,4,3,3,3,0,0,30,0,8,3,3,4,10,3,4,6,40,83,150,140,159,177,202,98,163,19,1193
UCL215068,4,7,0,3,5,3,6,3,0,37,7,0,3,9,9,12,4,3,23,61,40,125,86,136,192,178,90,102,35,987
UCL215069,0,5,11,8,11,16,3,16,0,73,0,5,3,5,6,20,3,6,5,60,70,189,203,190,273,321,155,236,24,1653
UCL215070,0,3,0,0,3,4,3,0,0,14,6,3,5,3,7,8,3,7,20,62,27,54,57,64,163,135,70,76,38,681
UCL215071,0,6,5,6,5,8,4,7,0,36,3,0,6,0,3,6,0,9,17,44,47,120,107,116,146,157,98,170,28,999
UCL215072,3,10,6,3,17,16,12,14,0,84,3,8,7,3,15,13,6,4,10,67,77,209,184,210,311,357,189,237,29,1806
UCL215073,0,0,0,3,3,5,4,6,0,26,3,0,0,0,3,3,4,4,9,26,33,50,44,49,100,75,58,81,15,492
UCL215074,0,6,0,8,12,9,0,7,0,42,0,0,0,0,4,8,3,5,5,30,54,110,82,115,143,190,85,125,12,926
UCL215075,3,3,0,0,6,3,0,3,0,19,3,0,0,3,0,0,0,0,5,10,33,77,58,66,74,76,34,64,13,489
UCL215076,3,5,3,9,12,16,11,11,0,61,4,5,4,0,6,11,3,7,11,62,28,116,108,101,156,214,96,124,30,980
UCL215077,0,7,3,6,12,4,0,8,0,40,0,11,0,4,12,4,0,3,12,45,40,110,93,101,160,97,65,107,23,793
UCL215078,4,4,0,4,3,9,0,3,0,33,3,3,6,3,3,7,3,3,6,34,48,105,81,84,140,135,67,114,11,786
UCL215079,7,17,6,4,10,10,3,12,0,73,4,4,0,3,9,13,3,4,19,69,100,190,159,182,283,303,166,205,43,1637
UCL215080,0,4,3,3,7,3,0,6,0,30,5,5,3,4,3,3,3,3,11,33,29,104,87,71,106,125,99,120,24,766
UCL215081,4,0,4,4,6,3,0,0,0,24,4,3,0,0,3,3,0,3,0,19,23,55,55,93,85,87,61,52,11,508
UCL215082,0,0,0,0,0,4,3,3,0,10,3,3,0,3,5,4,0,4,7,30,26,60,39,55,92,83,60,83,13,500
UCL215083,8,5,9,6,6,10,4,13,0,55,9,6,3,6,11,13,3,8,11,62,84,188,187,165,272,210,136,205,21,1466
UCL215084,0,5,3,3,5,8,3,5,0,31,0,5,3,3,7,13,0,3,4,44,30,84,79,104,142,164,88,119,14,815
UCL215085,0,3,5,0,5,6,3,4,0,28,4,9,3,3,12,3,0,3,11,50,23,106,77,108,128,114,58,93,22,731
UCL215086,0,8,3,3,10,9,9,0,0,46,3,0,0,3,6,7,3,3,7,25,43,101,107,111,144,153,72,99,14,841
UCL215087,5,7,3,3,24,21,14,8,0,74,7,8,5,12,16,23,3,17,19,100,50,190,164,220,294,320,147,208,46,1649
UCL215088,0,0,3,0,7,4,3,3,0,22,3,4,3,0,7,3,0,0,11,30,40,79,82,72,97,80,59,89,14,605
UCL215089,0,8,0,4,10,11,3,18,0,48,0,3,6,3,6,9,3,9,3,50,26,147,99,112,82,177,85,158,7,892
UCL215090,3,7,7,9,8,9,3,6,0,59,3,3,3,6,14,15,3,8,12,71,71,223,192,196,244,309,152,254,24,1666
UCL215091,0,15,11,7,23,27,16,15,3,129,0,14,10,6,24,22,6,13,20,118,74,224,202,245,394,391,189,241,47,2008
UCL215092,3,3,0,0,4,0,0,0,0,18,0,4,4,0,4,0,0,3,4,16,21,56,44,51,78,68,34,40,10,401
UCL215093,3,6,8,4,6,14,12,7,0,61,3,11,4,8,8,15,0,5,18,70,45,164,113,100,191,241,104,133,31,1121
UCL215094,3,8,15,5,11,10,9,4,0,68,3,8,6,8,10,12,4,5,13,82,60,161,140,179,210,219,115,170,26,1277
UCL215095,0,7,4,3,4,3,4,0,0,22,4,3,0,0,0,0,3,0,4,17,18,57,46,65,82,85,41,64,15,486
UCL215096,0,5,0,8,6,5,3,4,0,28,0,0,0,9,5,0,3,4,6,22,18,77,65,101,91,79,46,63,17,553
UCL215097,0,0,3,0,3,4,0,0,0,13,0,3,5,0,6,9,0,0,4,27,21,49,50,56,68,86,32,44,16,423
UCL221001,0,4,3,3,5,0,0,4,0,17,3,0,3,3,3,3,4,3,6,19,20,38,38,53,68,74,25,61,11,390
UCL221002,0,3,3,3,0,0,0,0,0,9,3,0,0,0,0,3,0,3,8,22,24,52,34,48,50,59,36,60,11,377
UCL221003,0,3,0,0,0,0,3,0,0,13,0,0,0,0,3,3,3,0,8,18,16,43,33,34,44,57,13,51,12,310
UCL221004,0,4,0,0,3,4,3,0,0,13,3,0,0,0,0,0,0,3,3,18,9,25,27,39,46,46,20,34,15,265
UCL221005,0,4,0,0,3,0,3,4,0,16,0,0,3,0,3,3,0,3,5,19,19,63,50,47,51,56,27,61,13,391
UCL221006,0,0,4,3,3,0,0,0,0,12,0,0,0,0,3,0,0,0,0,4,6,39,25,38,24,40,29,55,3,274
UCL221007,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,11,15,26,28,34,35,44,20,37,0,241
UCL221008,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,3,6,15,33,23,36,34,18,25,37,3,225
UCL221009,0,5,0,0,0,4,0,0,0,15,0,0,0,0,0,3,0,0,7,13,15,35,22,38,22,53,22,34,14,255
UCL221010,0,0,0,0,10,4,0,5,0,13,0,0,5,3,0,8,0,0,3,21,9,28,35,27,56,45,20,28,6,254
UCL221011,0,0,0,0,0,3,0,0,0,7,0,0,3,0,0,0,0,0,10,14,11,25,22,26,32,34,18,29,13,215
UCL221012,0,0,3,4,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,6,8,43,30,39,35,42,29,52,9,279
UCL221013,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,3,0,3,3,11,13,27,20,30,35,34,17,56,4,245
UCL221014,0,0,0,4,0,0,0,0,0,6,0,3,3,3,0,5,0,3,4,19,3,32,24,41,59,49,30,36,13,291
UCL221015,0,0,3,3,0,0,0,0,0,13,0,0,0,0,5,3,3,0,0,10,25,55,45,40,40,57,31,30,3,329
UCL221016,0,3,0,3,0,0,0,3,0,13,0,0,0,0,0,0,3,0,0,3,10,21,27,22,41,45,42,32,4,242
UCL221017,0,0,0,0,0,3,0,4,0,12,3,0,0,0,0,0,3,0,3,15,6,62,30,50,73,52,31,47,9,351
UCL221018,0,0,3,0,5,3,4,4,0,19,5,3,0,3,4,3,0,0,3,25,15,44,46,47,51,63,26,57,9,353
UCL221019,0,3,0,0,7,7,0,0,0,19,3,3,4,0,4,3,0,3,5,23,31,78,58,79,80,53,30,59,17,486
UCL221020,0,0,0,3,0,3,0,4,0,11,0,0,0,0,3,3,0,0,3,8,12,34,45,45,43,42,21,42,7,298
UCL221021,0,0,0,0,0,3,0,0,0,10,0,4,0,0,4,3,0,0,0,10,14,45,21,27,39,44,17,36,7,256
UCL221022,0,3,3,0,0,3,0,0,0,14,0,0,8,0,0,3,0,0,3,15,11,33,26,26,45,33,17,25,4,221
UCL221023,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,8,28,33,26,28,33,23,35,3,211
UCL221024,0,0,0,0,3,0,3,0,0,5,0,3,0,0,3,3,3,0,3,15,3,23,19,19,27,30,12,15,6,155
UCL221025,0,0,0,0,0,3,0,0,0,8,0,0,3,0,0,0,0,0,3,7,28,37,42,47,49,54,25,41,4,315
UCL221026,0,0,0,3,10,3,5,4,0,22,3,3,0,3,3,5,0,3,6,24,27,56,42,59,77,53,30,43,5,387
UCL221027,0,0,0,3,3,0,0,0,0,7,3,0,0,0,0,3,0,0,3,6,12,26,17,35,42,30,20,49,9,236
UCL221028,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,3,3,0,9,10,26,36,24,49,39,16,39,5,243
UCL221029,0,8,0,0,0,0,0,3,0,10,0,0,0,0,0,5,0,0,0,11,12,37,29,30,37,41,19,43,5,242
UCL221030,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,10,6,49,36,32,26,33,26,39,6,264
UCL221031,0,0,0,3,4,3,3,0,0,11,0,0,0,0,0,3,0,0,0,5,14,31,45,38,72,60,30,38,0,328
UCL221032,0,0,0,0,0,8,0,3,0,13,0,0,3,0,3,0,3,7,6,19,11,39,43,40,49,65,28,43,6,310
UCL221033,0,3,0,3,0,3,0,0,0,10,0,0,0,0,0,3,0,0,0,9,16,45,22,24,51,57,22,43,3,288
UCL221034,0,0,3,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,3,5,25,35,27,43,44,23,28,0,233
UCL221035,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,17,23,18,19,22,49,18,30,3,203
UCL221036,0,3,3,0,0,5,0,4,0,18,0,0,0,0,3,3,0,0,3,16,15,56,36,32,71,74,31,85,4,393
UCL221037,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,8,4,32,19,35,26,38,17,31,3,202
UCL221038,3,0,3,0,0,0,0,3,0,10,0,3,0,0,3,3,3,0,3,19,18,54,35,45,60,64,25,46,11,358
UCL221039,0,0,0,3,3,4,0,3,0,16,3,6,0,0,0,0,3,0,0,14,11,36,18,45,32,47,24,55,3,271
UCL221040,0,4,0,3,6,5,4,8,0,32,4,4,0,0,4,8,3,0,9,34,16,66,58,56,100,99,51,79,13,552
UCL221041,0,3,3,0,0,3,0,3,0,18,3,0,0,4,3,12,0,3,0,24,22,40,44,27,68,87,27,63,3,388
UCL221042,0,0,0,0,3,0,3,9,0,18,3,0,0,3,0,0,0,0,3,9,18,36,27,36,58,53,33,46,7,312
UCL221043,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,15,29,29,31,32,29,18,27,6,213
UCL221044,0,0,5,0,6,0,3,0,0,11,0,0,0,0,0,0,0,0,0,11,15,30,36,31,61,45,19,37,3,274
UCL221045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,32,17,22,20,14,6,12,9,132
UCL221046,0,3,0,3,0,0,0,0,0,8,0,4,0,0,0,0,0,3,0,13,29,70,55,46,38,40,25,39,7,338
UCL221047,0,4,0,0,0,0,0,0,0,7,0,0,0,4,0,3,0,0,0,13,3,59,42,50,52,53,30,37,3,324
UCL221048,0,0,0,0,0,5,5,0,0,16,0,0,0,0,8,3,0,0,6,17,13,37,44,39,86,80,56,67,4,435
UCL221049,0,3,0,0,0,0,0,9,0,19,0,3,3,0,4,3,4,0,3,20,13,32,42,38,43,54,28,51,5,296
UCL221050,0,0,3,0,6,3,0,0,0,10,3,0,3,3,3,3,0,0,3,18,25,62,57,64,72,77,30,48,5,444
UCL221051,0,0,3,0,3,3,0,3,0,15,0,0,3,0,0,0,0,3,0,10,17,56,42,52,55,55,25,44,5,357
UCL221052,0,4,0,4,0,3,0,0,0,12,0,3,0,0,0,0,0,3,3,17,16,31,30,33,46,38,24,39,3,255
UCL221053,3,0,0,0,0,3,0,0,0,12,0,3,0,0,3,5,0,3,5,16,16,42,33,30,37,67,20,21,8,275
UCL221054,0,0,0,0,4,8,0,3,0,12,0,0,0,3,3,7,3,3,3,23,11,35,36,41,51,67,18,40,9,304
UCL221055,0,0,0,0,0,4,5,3,0,14,0,3,0,0,3,3,0,0,0,13,17,48,34,42,48,55,34,59,3,337
UCL221056,0,3,0,0,0,3,0,3,0,14,0,0,0,0,0,0,0,3,0,10,17,22,28,21,32,38,22,18,0,194
UCL221057,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,5,27,35,37,37,35,17,28,3,220
UCL221058,0,5,0,3,0,3,3,3,0,17,0,0,0,0,6,4,0,3,3,15,11,33,20,39,53,64,24,51,10,298
UCL221059,0,3,0,0,0,3,0,0,0,13,0,3,3,0,0,3,0,0,3,13,6,38,39,47,47,37,36,45,14,306
UCL221060,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,9,9,21,19,37,15,18,9,16,0,140
UCL221061,0,0,0,3,3,0,0,0,0,13,0,0,0,4,10,3,0,3,7,35,19,41,34,41,78,62,19,45,17,348
UCL221062,0,0,0,0,3,6,4,3,0,17,0,3,0,3,6,0,0,0,3,14,15,48,39,27,50,42,30,36,10,296
UCL221063,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,3,0,0,0,3,6,28,21,14,34,40,13,23,3,184
UCL221064,0,0,4,0,0,3,5,0,0,14,0,0,0,0,0,3,0,0,3,19,19,36,44,42,58,63,40,43,7,345
UCL221065,0,3,3,0,0,3,0,0,0,15,0,0,0,3,4,4,0,4,0,14,16,25,29,38,52,44,19,30,5,256
UCL221066,0,0,0,0,5,0,4,0,0,11,0,0,0,0,0,4,0,3,0,13,18,21,12,33,41,42,34,29,3,230
UCL221067,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,5,19,39,44,55,45,49,28,40,9,328
UCL221068,0,0,0,0,0,4,4,3,0,13,3,0,0,3,3,0,0,3,3,13,33,38,41,48,59,44,28,58,13,363
UCL221069,0,3,0,3,13,12,0,6,0,37,3,0,0,3,8,9,3,3,6,29,28,99,82,111,160,144,62,118,13,806
UCL221070,3,3,3,0,0,6,0,3,0,21,0,0,0,0,3,0,0,3,0,15,27,56,34,40,45,54,26,38,3,329
UCL221071,0,0,0,0,0,3,0,3,0,13,0,0,0,0,0,0,0,0,0,5,18,29,38,16,37,39,28,37,0,243
UCL221072,0,0,0,3,0,3,0,0,0,5,0,0,0,0,3,8,0,0,3,19,15,47,40,44,41,46,18,36,6,292
UCL221073,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,4,17,18,41,43,40,38,39,7,33,9,262
UCL221074,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,3,0,12,12,45,28,26,27,31,21,24,0,215
UCL221075,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,12,46,17,29,34,42,19,22,0,230
UCL221076,0,0,0,3,0,4,0,3,0,11,0,0,0,0,4,0,0,0,4,12,8,27,22,24,61,52,19,29,6,243
UCL221077,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,4,10,11,29,18,19,29,21,6,25,4,163
UCL221078,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,10,14,22,28,31,47,42,19,34,3,242
UCL221079,0,0,4,5,0,7,0,0,0,16,0,3,0,0,3,0,0,3,3,10,15,65,41,45,75,73,37,64,8,426
UCL221080,0,4,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,4,8,7,29,20,29,21,29,7,47,3,194
UCL221081,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,19,65,53,44,75,73,41,54,3,429
UCL221082,0,0,0,0,0,3,3,0,0,7,0,0,3,0,0,0,0,0,0,9,19,26,31,35,53,39,22,42,7,265
UCL222001,0,3,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,6,0,20,17,21,23,32,8,30,3,156
UCL222002,0,0,0,0,0,0,0,4,0,8,0,4,0,0,0,0,0,0,0,6,8,29,28,23,21,28,11,32,0,178
UCL222003,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,8,19,17,19,16,20,12,12,3,127
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,15
UCL222005,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,3,8,13,10,16,10,4,18,0,87
UCL222006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,5,9,19,14,19,31,43,12,25,8,177
UCL222007,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,3,8,5,11,14,8,10,14,17,16,0,89
UCL222008,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,3,0,7,10,20,9,19,21,25,7,18,3,125
UCL222009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,11,12,12,17,28,13,28,3,123
UCL222010,0,3,0,0,4,0,3,0,0,12,0,0,0,0,0,0,0,3,0,11,5,21,16,19,34,37,11,27,8,176
UCL222011,0,0,0,3,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,7,25,26,17,25,25,18,21,5,175
UCL222012,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,0,0,0,3,10,12,17,18,15,13,29,16,28,4,147
UCL222013,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,12,13,7,15,14,10,19,0,98
UCL222014,0,3,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,7,7,30,20,22,17,31,18,22,5,187
UCL222015,0,0,0,5,0,0,0,0,0,9,0,0,0,0,3,0,0,0,6,16,14,27,11,30,56,38,24,41,8,247
UCL222016,0,0,0,0,7,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,11,18,13,15,40,41,21,30,9,199
UCL222017,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,3,0,0,3,12,15,28,19,23,40,30,27,21,3,218
UCL222018,0,0,0,0,3,3,0,0,0,11,0,0,0,0,4,3,0,0,0,6,4,20,25,22,36,25,9,32,0,177
UCL222019,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,3,7,6,10,13,15,12,17,0,84
UCL222020,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,14,11,4,4,8,8,13,8,72
UCL222021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,4,15,10,17,10,18,3,95
UCL222022,0,4,0,0,0,3,0,0,0,8,0,0,0,0,6,4,0,3,3,15,10,25,17,36,30,29,11,25,3,188
UCL222023,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,7,7,12,14,24,18,8,12,0,109
UCL222024,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,15,15,3,16,25,10,17,0,105
UCL222025,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,4,24,23,33,37,33,19,19,3,199
UCL222026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,5,5,17,28,19,19,54,3,151
UCL222027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,13,18,8,6,7,4,14,6,76
UCL222028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,23,19,20,25,25,13,20,0,152
UCL222029,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,4,19,19,13,29,21,17,21,3,147
UCL222030,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,7,10,9,18,9,12,18,13,12,10,7,110
UCL222031,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,6,6,18,15,17,18,18,6,26,0,118
UCL222032,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,3,0,0,0,11,8,19,26,19,31,33,20,30,8,196
UCL222033,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,8,4,9,13,6,3,18,3,70
UCL222034,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,10,13,9,8,14,8,8,3,75
UCL222035,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,6,13,14,10,11,16,7,18,8,104
UCL222036,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,11,20,12,20,25,22,7,41,0,162
UCL222037,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,3,0,3,8,22,13,14,8,19,15,26,3,122
UCL222038,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,8,4,16,15,23,12,9,4,0,84
UCL222039,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,19,10,8,19,10,3,8,0,77
UCL222040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,16,11,3,5,12,4,5,10,70
UCL222041,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,0,0,6,5,17,4,18,18,21,12,11,0,109
UCL222042,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,3,3,14,17,14,14,22,8,21,0,111
UCL222043,0,0,0,0,0,0,0,0,0,10,0,0,0,3,3,3,0,0,0,10,14,11,14,24,30,34,17,26,0,156
UCL222044,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,15,17,16,17,27,15,16,0,133
UCL222045,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,9,18,12,21,21,13,7,23,9,125
UCL222046,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,7,11,13,15,19,9,18,0,93
UCL222047,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,9,26,15,26,41,39,15,30,0,200
UCL222048,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,5,12,9,17,15,22,15,20,8,18,3,137
