UCL_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL113019,3,19,16,6,3,11,57,0,25,0,10,0,0,40,29,164,30,12,5,0,236,202,118,59,47,21,0,446,161,52,54,11,13,5,293,385,46,99,7,11,4,545,517,33,76,3,6,4,640,125,9,26,12,6,0,176,14,0,3,0,0,0,14,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,5,17,30,17,16,0,6,86,1452,484,374,127,65,34,2534
UCL113020,0,3,16,0,0,20,44,0,4,0,0,0,0,8,3,3,12,0,4,0,30,19,76,33,30,3,0,161,25,22,38,6,4,0,96,99,25,57,4,3,0,194,319,23,99,8,6,4,456,213,7,52,0,5,3,283,23,0,3,0,0,0,27,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,7,8,0,7,3,29,700,178,327,53,32,28,1322
UCL114001,0,3,7,0,0,6,15,0,0,0,3,0,0,5,3,14,0,8,0,0,21,7,5,4,3,5,0,31,13,3,6,3,0,0,22,28,4,14,3,0,0,59,104,9,29,0,0,0,145,116,0,28,0,0,0,147,22,0,0,0,0,0,26,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,12,304,42,101,22,4,9,484
UCL114002,0,0,3,0,4,6,15,0,0,0,0,0,0,3,0,0,4,0,3,0,8,0,3,3,0,0,0,12,6,0,11,0,0,0,25,14,0,9,0,6,0,28,61,0,17,0,3,0,85,123,0,22,0,3,0,151,48,0,6,0,0,0,46,11,0,0,0,0,0,12,5,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,5,0,12,270,5,85,3,25,4,397
UCL114003,0,0,12,0,3,15,36,0,3,0,3,0,0,6,0,8,4,0,12,0,18,4,44,11,17,3,0,79,0,9,13,0,0,0,24,9,9,22,3,3,0,40,13,7,35,4,7,0,68,72,9,62,3,6,0,156,111,0,63,0,0,0,182,144,0,61,0,0,0,204,82,0,46,0,0,0,128,39,0,17,0,0,0,54,27,0,12,0,4,0,43,23,0,4,0,0,0,31,13,3,16,3,3,5,44,541,94,369,31,47,24,1112
UCL114004,0,5,7,3,6,9,31,0,0,0,4,0,0,13,7,31,12,3,8,0,50,20,3,23,3,37,4,89,28,4,10,5,8,0,56,80,0,23,0,6,0,119,148,0,30,0,4,0,187,151,0,17,0,8,0,169,18,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,0,3,19,458,46,137,23,72,17,756
UCL114005,3,10,10,4,0,9,34,0,4,0,3,0,0,11,17,67,18,6,17,3,127,112,55,46,31,6,5,257,78,26,40,7,4,3,166,227,28,81,7,7,0,355,274,4,71,4,17,0,370,27,0,13,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,9,3,0,44,765,210,299,70,56,19,1421
UCL114006,4,3,12,0,5,11,35,3,3,4,3,0,0,21,47,20,13,6,3,0,95,81,15,27,7,6,3,137,52,10,33,6,11,0,107,142,17,42,3,3,0,211,103,3,19,0,7,0,133,34,0,4,0,0,0,39,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,6,15,0,3,0,24,480,78,182,26,31,20,810
UCL114007,3,13,10,4,3,6,34,3,9,0,0,0,0,12,36,58,22,0,4,0,117,53,43,30,0,4,0,135,44,17,21,0,0,0,87,100,8,38,0,4,0,149,43,0,18,0,3,0,65,7,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,0,15,293,154,145,4,18,5,622
UCL114008,3,0,7,0,0,8,23,8,3,3,3,0,0,12,41,13,11,0,0,0,65,90,8,41,8,4,0,152,39,0,36,4,3,0,85,95,0,22,0,4,3,125,55,0,9,0,4,0,61,6,0,3,0,0,0,8,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,3,0,16,333,28,144,16,14,13,553
UCL114009,0,9,12,10,3,9,43,0,3,3,4,0,0,20,48,81,24,12,3,3,162,152,40,80,0,10,3,295,100,20,35,0,3,0,167,169,9,32,3,0,0,218,44,0,14,0,0,0,64,9,0,3,0,0,0,13,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3,7,10,3,3,0,29,536,179,220,39,29,21,1014
UCL114010,5,3,13,0,3,6,30,4,6,3,3,5,0,20,93,22,26,3,5,8,158,95,52,38,5,3,6,203,76,15,12,0,3,0,119,93,3,26,0,4,0,131,82,0,16,0,0,0,100,26,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,6,8,0,4,0,29,495,110,152,17,32,22,823
UCL114011,0,9,13,0,8,10,43,0,14,10,0,3,0,31,57,54,25,7,5,3,148,106,30,53,3,8,3,205,89,19,38,0,0,3,145,94,4,38,0,0,0,139,39,4,12,0,0,0,56,10,0,9,0,0,0,14,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,4,5,5,30,393,138,201,15,37,22,806
UCL114012,0,0,5,0,0,10,23,7,0,3,0,0,0,12,60,13,12,16,0,3,113,85,17,36,6,0,0,153,69,8,36,0,4,0,114,136,16,23,3,0,0,175,42,3,15,0,0,0,60,4,0,3,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,4,3,3,6,0,23,416,69,139,30,17,19,686
UCL114013,3,0,15,0,10,9,37,0,3,5,3,0,0,12,18,19,20,12,3,3,76,84,39,24,10,5,0,163,76,24,31,12,3,5,144,123,22,37,7,10,0,193,195,4,45,0,3,3,250,162,0,18,0,0,0,182,37,0,3,0,5,0,47,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,15,9,3,4,0,3,30,708,126,192,41,38,30,1135
UCL114014,0,0,0,0,0,3,10,0,3,0,0,0,0,3,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,7,0,0,0,5,3,0,5,0,0,0,12,30,5,11,0,0,0,43,74,6,14,0,0,0,90,48,0,0,0,0,0,50,8,0,0,0,0,0,13,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,12,183,29,42,0,0,0,255
UCL114015,7,11,13,25,3,19,83,3,6,4,3,3,0,24,32,61,32,13,12,0,147,144,37,36,11,16,0,248,93,24,47,3,9,0,185,230,28,41,10,7,9,322,278,9,42,3,0,0,335,52,3,7,0,0,0,66,0,0,4,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,5,4,0,3,40,863,190,246,75,44,32,1454
UCL114016,0,4,10,3,3,6,30,8,4,0,0,3,0,14,48,38,24,0,3,0,114,131,32,55,3,5,4,228,75,5,37,0,4,0,121,117,14,50,0,4,0,187,93,0,25,0,4,3,127,19,0,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,3,0,0,20,502,99,208,6,33,16,873
UCL114017,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,7,0,0,3,0,0,0,3,0,0,4,0,0,0,12,23,0,25,0,0,0,42,114,0,38,0,0,0,149,113,0,30,0,0,0,137,68,0,10,0,3,0,83,40,0,10,0,0,0,49,9,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,3,0,0,0,12,371,0,134,3,7,3,520
UCL114018,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,5,3,0,12,0,3,0,20,19,6,12,0,123,0,155,71,0,18,0,39,0,124,212,0,28,0,12,0,250,72,0,5,0,0,0,82,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,11,394,10,84,0,175,6,669
UCL114019,0,3,13,0,0,9,26,0,0,0,0,4,0,8,3,9,14,13,3,0,42,50,12,23,7,0,0,89,41,5,29,0,0,0,78,92,3,28,0,5,0,130,98,0,39,0,6,0,148,144,0,29,0,0,3,188,12,0,7,0,0,0,21,3,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,12,3,13,0,3,0,28,469,35,203,28,22,15,769
UCL114020,0,8,11,11,8,13,55,4,25,0,8,13,0,49,30,61,18,0,9,0,112,164,90,35,43,17,4,352,66,31,18,0,4,3,131,108,16,28,6,8,0,161,114,7,23,0,4,0,149,68,0,5,0,0,0,77,24,0,3,0,3,0,33,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,11,26,6,3,5,3,51,592,271,152,72,68,23,1178
UCL114021,0,7,13,0,6,12,32,0,3,0,3,0,0,10,4,6,3,0,4,0,15,10,53,11,28,0,0,104,3,18,13,3,4,0,47,48,12,12,3,0,0,77,96,43,40,12,0,4,193,179,9,37,3,0,3,232,76,0,12,0,0,0,89,15,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,13,3,5,0,0,33,442,174,143,53,24,14,848
UCL114022,3,0,10,0,5,13,34,0,0,3,0,0,0,3,4,63,0,3,3,0,80,29,32,41,10,15,3,117,38,15,32,3,5,0,88,85,15,37,3,0,0,139,133,9,75,0,5,4,223,195,0,74,0,3,0,275,51,0,14,0,3,0,64,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,0,6,3,31,549,144,285,14,38,26,1061
UCL114023,0,4,4,0,3,8,19,4,3,0,4,0,0,5,8,88,21,12,19,0,145,71,38,19,28,12,3,173,61,17,14,6,5,0,105,108,11,36,6,5,0,164,171,8,18,0,5,0,206,79,0,18,0,0,0,101,10,0,3,0,0,0,20,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,9,3,0,0,0,29,527,180,140,60,55,18,973
UCL114024,3,5,8,0,5,9,38,0,3,0,4,0,0,15,23,34,21,4,4,3,90,63,26,23,14,13,0,147,37,21,24,5,3,0,83,29,15,31,8,3,0,93,50,3,50,0,8,3,108,103,4,41,0,4,0,154,12,0,3,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,8,0,3,0,28,331,122,209,37,51,17,773
UCL114025,0,12,15,6,6,16,49,0,9,3,0,0,0,14,54,84,27,4,6,0,179,122,42,60,7,15,3,251,84,10,71,5,3,0,174,142,13,73,3,5,5,242,160,3,60,0,5,0,233,16,0,22,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,12,7,7,0,43,589,197,336,34,45,28,1232
UCL114026,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,12,3,0,0,0,15,0,4,6,0,0,0,6,10,0,12,0,0,0,18,12,3,12,0,0,0,24,66,3,18,3,0,0,91,187,0,40,0,5,0,238,111,0,23,0,3,0,134,35,0,0,0,0,0,36,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,13,431,20,116,5,8,15,601
UCL114027,0,3,8,0,3,3,22,0,0,0,7,0,0,5,0,18,4,3,10,0,33,4,0,8,3,0,0,16,4,0,13,0,8,0,23,24,0,18,0,18,0,59,78,5,29,0,0,0,108,136,0,24,0,0,0,166,62,0,11,0,0,0,70,7,0,3,0,0,0,14,3,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,0,0,12,331,29,111,24,39,10,544
UCL114028,0,0,7,0,0,6,16,0,0,0,0,0,0,3,6,0,6,0,0,0,19,28,12,11,3,0,0,55,34,3,10,0,0,0,50,89,0,20,0,0,0,111,128,3,22,3,0,0,155,87,0,15,0,0,0,101,13,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,15,394,17,106,5,10,10,541
UCL114029,0,0,11,0,0,4,15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,10,0,0,0,10,8,0,10,0,0,0,15,19,0,19,0,0,0,36,94,0,32,0,3,0,132,124,0,19,0,0,0,149,32,0,8,0,3,0,42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,18,294,0,117,0,6,6,427
UCL114030,0,9,7,8,6,6,40,0,8,4,0,3,0,17,17,39,15,3,7,4,81,87,39,25,0,10,0,157,65,25,28,0,4,0,124,94,4,25,0,4,0,128,92,3,19,0,0,0,113,25,4,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,19,388,124,134,18,28,13,708
UCL114031,0,0,15,0,0,10,22,0,0,0,0,0,0,10,7,41,10,0,0,0,56,20,37,10,0,0,0,70,19,24,12,10,0,0,66,54,17,28,3,3,0,104,165,15,47,0,3,3,237,156,0,34,0,0,0,193,13,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,0,15,434,146,161,18,9,9,788
UCL114032,0,0,7,0,6,5,22,0,0,0,0,0,0,0,3,0,8,3,8,0,19,11,9,17,13,5,3,58,23,4,16,0,0,0,52,71,3,25,8,3,0,103,182,0,50,3,5,3,231,157,0,17,0,3,0,178,40,0,5,0,0,0,42,11,0,0,0,0,0,10,8,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0,0,3,20,505,22,150,28,24,14,745
UCL114033,0,0,7,0,3,0,13,0,0,0,0,3,0,3,9,0,14,0,0,0,20,11,0,12,0,0,0,21,16,0,10,0,0,0,29,27,0,9,0,3,0,38,32,0,5,0,0,0,34,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,101,0,62,0,15,0,173
UCL114034,0,0,8,0,6,6,22,0,0,0,16,3,0,17,3,0,7,4,0,0,25,9,21,11,6,0,0,44,9,3,3,0,3,0,20,22,16,15,0,0,0,58,109,19,50,0,5,0,183,93,0,32,0,4,0,129,10,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,14,266,70,132,31,17,13,526
UCL114035,0,5,12,0,3,5,32,3,8,0,0,0,0,13,26,26,19,7,3,3,85,121,30,25,9,3,7,199,104,30,39,3,7,3,181,246,13,41,3,5,0,309,141,0,17,0,0,0,161,32,0,5,0,0,0,36,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,13,8,7,6,3,0,29,693,116,169,29,27,22,1061
UCL115001,0,0,4,0,3,0,12,0,0,0,0,0,0,0,6,0,7,0,4,0,13,19,4,14,0,4,0,39,17,0,4,0,3,0,22,25,3,9,0,3,0,46,30,0,14,0,0,0,45,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,96,11,51,5,17,0,187
UCL115002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,3,0,0,0,4,6,0,0,0,0,0,7,4,4,0,0,0,0,8,13,0,0,0,0,0,14,14,0,0,0,0,0,15,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,14,7,3,3,0,63
UCL115003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,3,0,15,0,16,0,0,5,0,0,0,4,3,0,9,0,4,0,19,15,0,12,0,0,0,25,22,0,5,0,0,0,27,4,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,32,0,30,0,118
UCL115004,0,4,7,7,9,0,30,0,0,0,3,0,0,3,10,10,6,5,3,0,26,19,7,19,3,5,0,53,3,0,9,0,3,0,19,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,9,28,25,54,11,30,0,151
UCL115005,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,3,0,0,0,3,0,3,9,0,0,0,9,9,3,6,0,0,0,21,32,0,7,0,3,0,39,29,0,8,0,0,0,39,13,0,5,0,0,0,17,3,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,7,96,8,42,0,4,3,156
UCL115006,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,10,0,18,3,0,0,0,5,0,12,8,0,0,0,0,0,9,19,0,0,0,0,0,20,44,0,11,0,0,0,60,15,0,7,0,0,0,20,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,96,3,29,3,25,0,157
UCL115007,0,0,7,0,11,0,17,0,0,4,0,0,0,4,12,0,15,0,0,0,31,17,0,15,0,0,0,35,19,0,6,0,0,0,26,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,52,0,63,0,14,3,135
UCL115008,0,0,3,0,0,0,9,0,0,0,3,0,0,4,0,0,4,0,3,0,9,26,0,12,0,6,0,34,14,0,10,0,3,0,31,23,0,7,0,4,0,33,23,0,6,0,0,0,27,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,99,0,47,3,17,0,170
UCL115009,0,0,0,0,0,4,7,4,3,3,0,0,0,9,6,3,12,0,3,0,27,29,0,19,0,0,0,50,13,0,6,0,0,0,21,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,59,7,55,3,7,7,132
UCL115010,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,12,0,6,0,0,0,21,31,0,6,0,0,0,36,14,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,0,26,0,7,0,94
UCL115011,0,0,3,0,5,0,9,0,0,0,3,0,0,8,3,4,12,0,0,0,24,8,4,12,0,4,0,32,0,3,4,0,0,0,4,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,25,15,38,3,10,3,95
UCL115012,0,3,9,0,0,3,18,0,13,0,3,0,0,16,4,41,3,7,0,4,56,18,32,12,0,0,0,63,24,7,14,3,0,0,51,52,14,14,3,3,0,88,137,12,36,3,0,0,196,54,0,7,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,0,0,0,23,292,139,97,20,7,14,576
UCL115013,0,0,10,0,3,5,13,0,0,0,0,0,0,0,0,15,0,3,0,0,20,4,4,11,3,0,0,22,0,0,3,4,0,0,9,8,0,14,3,0,0,29,56,5,39,3,0,3,109,68,0,49,0,0,0,122,14,0,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,167,27,125,21,6,5,354
UCL115014,0,0,3,0,0,5,15,0,0,0,0,3,0,3,4,11,6,0,0,0,18,7,0,5,0,0,0,13,9,0,18,0,0,0,26,22,3,11,0,0,0,37,35,3,7,0,0,0,46,4,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,13,60,3,9,9,170
