UCL_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
UCL122123,93,0,0,3,0,102,21,0,6,0,0,29,3,0,0,0,0,6,123,0,7,4,0,137
UCL122124,85,0,0,0,0,89,11,0,0,0,0,11,5,0,0,0,0,5,103,0,0,0,0,105
UCL122125,101,0,0,3,0,107,10,0,0,0,0,9,4,0,0,0,0,4,113,0,0,3,0,115
UCL122126,123,0,0,0,0,123,5,0,0,0,0,5,3,0,0,0,0,3,127,0,0,0,0,131
UCL122127,87,0,0,0,0,87,19,0,0,0,0,19,0,0,0,0,0,0,102,0,0,0,0,102
UCL122128,95,0,0,11,0,107,15,0,0,0,0,15,3,0,0,0,0,3,113,0,0,11,0,118
UCL122129,127,0,5,0,0,135,12,0,0,0,0,11,4,0,0,0,0,4,146,0,5,0,0,154
UCL122130,80,0,0,0,0,80,11,0,0,0,0,11,3,0,0,0,0,8,98,0,0,0,0,98
UCL122131,132,0,0,0,0,134,9,0,0,0,0,9,4,0,0,0,0,4,143,0,0,0,0,140
UCL122132,63,0,0,3,0,65,16,0,0,0,0,20,0,0,0,0,0,0,84,0,0,3,0,86
UCL122133,61,5,0,0,0,65,9,0,0,0,0,9,3,0,0,0,0,3,74,3,0,0,0,75
UCL122134,61,0,0,0,0,71,26,0,0,0,0,26,0,0,0,0,0,0,89,0,0,0,0,92
UCL122135,104,0,0,0,0,104,7,0,0,0,0,7,0,0,0,0,0,0,109,0,0,0,0,109
UCL122136,79,3,0,0,0,82,25,0,0,0,0,30,6,0,0,0,0,5,109,3,0,0,3,118
UCL122137,49,0,0,3,0,54,24,0,0,0,0,23,0,0,0,0,0,0,72,0,0,4,0,78
UCL122138,87,0,0,0,0,89,12,0,0,0,0,12,6,0,0,0,0,7,105,0,0,0,0,107
UCL122139,58,0,0,0,0,58,13,0,0,0,0,13,3,0,0,0,0,3,79,0,0,0,0,77
UCL122140,0,0,0,0,66,66,0,0,0,0,9,9,0,0,31,0,13,39,0,0,31,0,81,115
UCL122141,88,0,0,4,0,96,49,0,4,0,0,51,3,0,0,0,0,3,146,0,3,4,0,151
UCL122142,31,0,0,48,4,79,5,0,0,47,0,50,0,0,0,0,0,3,36,0,0,94,0,130
UCL122143,125,0,0,0,0,121,9,0,0,0,0,9,3,0,0,0,0,3,133,0,0,0,0,138
UCL122144,36,0,3,4,0,41,12,0,4,0,0,18,0,0,0,3,0,3,54,0,4,3,0,63
UCL122145,14,0,0,0,0,14,38,0,0,0,0,38,0,0,0,0,0,0,46,0,0,0,0,46
UCL122146,92,0,0,0,0,92,43,0,0,0,0,43,3,0,0,0,0,4,142,0,0,0,0,142
UCL122147,97,0,3,0,0,101,55,0,4,0,0,60,4,0,0,0,0,7,157,0,10,3,0,167
UCL122148,83,0,0,0,0,83,20,0,0,0,0,20,0,0,0,0,0,0,104,0,0,0,0,103
UCL122149,55,0,3,0,0,58,23,0,0,0,0,23,5,0,0,0,0,5,86,0,3,0,0,87
UCL122150,107,0,0,0,0,109,14,0,0,0,0,14,0,0,0,0,0,3,130,0,0,0,3,131
UCL122151,65,0,0,0,0,68,18,0,0,0,0,18,3,0,0,0,0,3,87,0,0,0,0,90
UCL122152,53,0,0,3,0,54,11,0,0,0,0,11,0,0,0,0,0,0,68,0,0,3,0,73
UCL122153,106,3,0,3,0,120,34,10,0,3,0,55,0,3,0,0,0,3,147,16,0,7,0,171
UCL122154,79,0,0,0,0,81,34,0,3,0,0,36,3,0,0,0,0,6,115,0,3,0,0,125
UCL122155,62,0,0,0,0,62,29,0,3,0,0,39,3,0,0,0,0,3,100,0,3,0,0,102
UCL122156,42,0,0,3,0,41,35,0,0,0,0,39,0,0,0,0,0,0,78,0,0,3,0,83
UCL122157,64,0,0,4,0,66,28,0,0,0,0,28,0,0,0,0,0,0,91,0,0,4,0,98
UCL122158,141,0,7,0,0,144,9,0,0,0,0,12,5,0,0,0,0,5,154,0,7,0,0,163
UCL122159,79,0,0,0,0,79,51,0,0,0,0,48,7,0,0,0,0,7,131,0,0,0,0,132
UCL122160,133,3,0,0,0,136,28,0,0,0,0,28,4,0,0,0,0,4,171,3,0,0,0,172
UCL122161,99,0,0,0,0,104,33,0,0,0,0,30,11,0,0,0,0,11,137,0,0,0,0,140
UCL122162,83,0,0,0,0,86,31,0,0,0,0,33,10,0,0,0,0,10,123,3,0,0,0,131
UCL122163,71,0,0,0,9,81,46,0,0,0,3,52,7,0,0,0,0,7,123,0,0,0,18,139
UCL122164,98,8,0,28,3,138,31,4,3,11,0,48,6,0,0,0,0,11,140,14,4,41,3,192
UCL122165,97,0,0,4,0,104,17,0,0,0,0,19,7,0,0,0,0,7,124,0,0,9,0,132
UCL122166,134,3,0,0,0,142,7,0,0,0,0,7,9,0,0,0,0,9,153,3,0,0,0,156
UCL122167,113,0,0,0,0,113,3,0,0,0,0,3,3,0,0,0,0,3,117,0,0,0,0,117
UCL122168,66,0,0,0,0,66,35,0,0,0,0,36,7,0,0,0,0,7,110,0,0,0,0,109
UCL131777,143455,827,439,1999,1490,148206,28465,220,138,1033,393,30245,4435,33,27,242,211,4960,176355,1079,605,3279,2096,183411
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL199994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL201001,845759,218577,194116,4167,3195,1265821,109487,33610,28621,1238,523,173475,23231,7147,7146,331,690,38542,978483,259326,229883,5735,4412,1477840
UCL203001,40102,5403,1490,290,129,47415,7992,2007,586,97,24,10703,1274,271,106,14,19,1681,49368,7684,2189,399,170,59805
UCL211001,9369,946,191,27,15,10539,1588,463,126,11,5,2193,250,74,18,3,3,340,11197,1478,329,44,24,13075
UCL211002,23968,3855,795,51,95,28763,4430,1332,335,5,29,6134,720,172,54,6,28,981,29115,5361,1187,59,154,35872
UCL211003,25372,2034,341,87,78,27918,4782,1004,151,43,32,6009,753,161,37,13,9,972,30907,3196,529,138,124,34897
UCL211004,13212,1712,40,12,29,15016,1954,540,27,3,3,2526,475,85,4,0,5,568,15639,2342,70,19,38,18101
UCL212001,7779,1000,478,32,38,9331,1803,590,425,23,6,2855,314,85,69,6,8,475,9891,1678,979,66,53,12667
UCL212002,11377,1232,62,43,20,12731,2447,650,63,42,3,3199,451,121,21,10,6,603,14275,1993,142,96,29,16531
UCL212003,9479,347,588,5,7,10423,916,127,205,0,3,1258,197,25,29,0,4,259,10598,504,814,5,18,11937
UCL212004,6948,347,420,47,18,7779,1158,160,226,12,10,1561,189,26,35,7,13,269,8295,528,677,61,46,9605
UCL212005,7715,982,324,15,42,9067,1532,490,242,9,8,2287,226,56,76,0,3,360,9474,1530,643,23,54,11713
UCL213001,4565,500,22,19,6,5124,638,179,41,8,0,865,123,31,0,0,14,168,5324,713,71,29,17,6161
UCL213002,3372,156,61,14,18,3621,941,141,37,9,3,1133,150,18,3,3,47,216,4469,312,101,21,65,4969
UCL213003,2986,249,9,22,6,3272,888,229,11,10,3,1141,119,25,0,3,3,158,3996,501,23,34,9,4569
UCL213004,3156,137,115,35,7,3448,545,69,80,35,0,732,97,10,7,7,0,117,3793,214,201,77,8,4294
UCL213005,3755,103,28,4,20,3904,625,80,20,0,3,728,101,5,4,0,0,119,4477,196,52,5,22,4746
UCL213006,3233,387,18,8,11,3661,770,245,19,5,3,1046,144,45,3,0,0,194,4147,679,42,20,15,4900
UCL213007,4179,223,218,6,13,4642,1066,208,160,3,8,1440,143,19,19,0,3,178,5389,446,392,9,27,6265
UCL213008,3587,394,19,0,3,3997,411,95,4,0,0,514,83,17,0,0,0,101,4079,500,26,0,4,4610
UCL213009,3495,204,0,3,0,3706,399,89,0,0,0,488,57,12,0,0,0,73,3949,306,4,3,3,4268
UCL213010,3891,404,120,10,8,4436,1113,351,128,17,3,1605,172,56,16,0,0,245,5181,806,262,26,13,6290
UCL213011,3415,161,242,3,14,3832,1129,174,174,0,0,1479,157,12,37,0,0,215,4702,346,454,10,14,5524
UCL213012,5242,436,41,17,25,5761,552,116,10,0,0,681,87,17,4,0,0,111,5889,569,51,25,29,6558
UCL213013,2713,101,116,17,18,2961,673,70,96,4,4,850,104,10,11,0,0,134,3493,192,225,28,19,3942
UCL213014,3596,253,199,28,9,4080,705,186,98,15,5,1006,110,31,13,0,0,155,4411,466,312,43,10,5243
UCL213015,2420,149,206,17,36,2828,694,91,128,14,6,936,112,10,25,0,10,161,3229,259,362,26,52,3924
UCL213016,4651,456,36,5,10,5149,387,72,16,0,4,482,90,12,0,0,0,105,5129,539,46,6,15,5740
UCL213017,4831,591,33,17,11,5483,1230,410,27,11,3,1677,222,58,4,3,3,285,6278,1054,64,28,20,7442
UCL213018,3825,171,307,17,13,4336,570,136,182,17,3,904,112,17,22,3,3,154,4506,325,510,37,16,5397
UCL214001,1858,49,56,19,4,1994,624,61,39,13,5,743,88,4,10,3,3,108,2569,118,108,38,13,2841
UCL214002,2571,38,194,14,16,2837,782,21,152,7,4,970,108,5,24,3,0,141,3471,61,372,23,24,3948
UCL214003,2795,130,19,5,30,2976,635,98,10,3,3,751,92,13,3,0,3,110,3519,244,28,11,35,3832
UCL214004,1304,68,43,9,4,1424,450,37,68,0,0,555,84,12,8,0,3,108,1841,112,120,9,4,2088
UCL214005,276,0,39,0,3,316,61,0,9,0,0,67,10,0,4,0,0,14,342,0,46,0,3,392
UCL214006,2593,271,5,0,4,2877,177,77,3,0,0,255,58,13,0,0,0,68,2833,362,6,0,9,3202
UCL214007,2532,82,52,15,12,2695,745,52,42,5,3,851,91,10,7,0,0,100,3373,140,96,20,17,3648
UCL214008,2372,227,10,33,5,2648,397,65,3,13,0,482,66,14,0,3,0,83,2832,308,13,47,10,3212
UCL214009,1477,108,25,0,10,1616,291,57,12,0,0,351,48,3,0,0,0,45,1809,166,32,0,6,2020
UCL214010,1725,151,24,16,12,1931,259,59,17,9,0,348,48,13,5,0,4,59,2028,225,44,31,9,2342
UCL214011,1461,31,144,11,5,1648,437,19,138,5,0,601,53,3,12,0,0,66,1959,46,291,17,9,2321
UCL214012,1518,62,36,37,23,1685,507,41,29,27,4,614,75,8,3,5,7,102,2106,114,66,78,33,2400
UCL214013,1366,59,79,0,0,1507,332,21,66,0,3,421,55,4,6,0,0,59,1751,84,151,5,4,1991
UCL214014,1905,143,21,23,9,2106,801,131,21,20,3,978,108,18,7,3,0,134,2821,292,45,48,13,3215
UCL214015,1979,127,71,3,12,2190,554,42,35,0,0,640,90,4,7,0,4,110,2628,178,110,7,17,2940
UCL214016,1491,15,95,18,8,1620,453,14,102,3,0,573,74,4,16,0,0,93,2024,34,215,23,8,2290
UCL214017,1497,16,71,8,11,1598,505,29,70,7,6,616,53,6,8,0,0,70,2053,49,147,9,16,2289
UCL214018,2233,98,32,0,4,2371,213,30,12,0,3,257,47,3,0,0,0,53,2491,138,40,0,5,2672
UCL214019,2164,56,15,39,6,2281,722,74,14,54,0,867,95,8,3,0,4,118,2986,142,30,91,11,3262
UCL214020,1958,47,80,9,34,2125,526,49,89,0,28,691,75,0,19,0,4,97,2557,100,191,4,61,2914
UCL215001,372,0,4,0,0,381,33,0,0,3,0,39,8,0,0,0,0,8,417,0,4,4,0,431
UCL215002,630,47,7,22,0,710,164,35,12,12,0,226,34,19,3,9,0,67,837,98,17,45,0,1000
UCL215003,782,17,21,5,3,827,100,4,19,6,0,131,22,0,0,0,0,21,908,27,37,11,3,984
UCL215004,334,28,21,10,3,399,83,20,8,3,0,111,15,0,0,0,0,12,433,50,27,16,3,526
UCL215005,612,10,29,3,0,657,147,5,21,0,0,167,28,0,9,7,0,42,781,17,49,11,0,863
UCL215006,738,7,0,0,0,748,77,0,0,0,0,83,19,0,0,0,0,16,833,7,0,0,0,842
UCL215007,1375,0,3,0,0,1381,133,0,0,0,0,133,30,0,0,0,0,34,1538,3,3,0,3,1552
UCL215008,514,10,0,0,0,520,27,0,0,0,0,27,9,0,0,0,0,9,547,10,0,0,0,556
UCL215009,231,0,0,9,0,243,109,0,5,0,0,113,12,0,0,0,0,11,350,0,8,7,0,373
UCL215010,581,0,0,0,3,589,30,0,0,0,0,30,12,0,0,0,0,12,626,0,0,0,9,632
UCL215011,295,0,0,6,0,299,151,0,13,3,0,165,12,0,3,0,0,19,458,0,16,6,3,482
UCL215012,849,26,39,4,12,930,163,20,28,4,0,214,27,0,3,0,0,32,1043,48,70,11,13,1176
UCL215013,474,0,0,0,0,477,43,0,0,0,0,43,15,0,0,0,0,15,532,0,0,0,0,529
UCL215014,372,0,0,0,0,374,42,0,0,0,0,42,16,0,0,0,0,16,428,0,0,0,0,423
UCL215015,635,36,38,3,3,719,119,16,18,0,3,158,27,3,3,0,0,31,782,53,63,3,4,912
UCL215016,1038,20,26,0,0,1089,237,13,29,0,3,284,22,0,5,0,0,25,1298,36,62,0,5,1400
UCL215017,465,41,7,0,0,520,68,22,14,0,0,110,13,0,3,0,0,12,548,60,29,0,0,643
UCL215018,791,38,14,3,0,847,268,38,9,0,0,314,45,4,5,0,0,50,1100,79,26,3,0,1207
UCL215019,532,8,4,0,3,549,82,0,0,0,0,84,14,0,0,0,0,14,630,8,7,0,4,646
UCL215020,352,0,9,3,0,363,191,6,3,0,0,194,28,5,0,0,0,33,573,8,9,5,0,593
UCL215021,339,3,12,12,5,371,76,0,11,5,3,96,16,0,3,0,0,14,431,4,22,21,9,485
UCL215022,1331,10,21,0,3,1365,223,3,14,0,0,247,40,0,0,0,17,58,1590,9,45,0,25,1666
UCL215023,391,9,10,4,3,413,147,17,12,3,0,175,17,3,0,0,4,24,554,26,21,7,8,609
UCL215024,502,0,7,0,0,512,229,3,21,0,0,263,20,0,3,3,0,24,753,4,31,8,0,794
UCL215025,297,0,3,3,0,302,134,0,10,0,0,146,17,0,4,0,0,19,447,0,12,3,0,470
UCL215026,1326,172,60,4,9,1571,233,99,28,0,0,361,46,22,5,0,0,72,1608,296,83,6,15,2008
UCL215027,553,9,0,192,23,774,139,28,0,37,9,217,21,30,0,4,0,62,714,69,0,239,33,1051
UCL215028,1073,30,10,4,16,1138,259,13,17,8,3,294,49,0,3,0,0,56,1384,49,30,7,17,1488
UCL215029,666,9,3,0,3,680,96,0,0,0,0,96,19,0,0,0,0,19,778,8,8,0,3,792
UCL215030,379,4,3,0,3,389,165,4,11,0,7,182,18,0,0,0,0,22,562,11,13,0,9,595
UCL215031,354,7,7,3,0,368,123,10,11,3,0,149,22,3,8,0,0,33,501,16,21,9,0,554
UCL215032,830,40,25,3,4,896,240,44,20,5,0,310,35,8,7,0,3,53,1106,90,49,13,3,1255
UCL215033,740,44,0,0,0,780,23,3,0,0,0,25,9,3,0,0,0,11,772,51,0,0,0,816
UCL215034,312,25,19,0,3,355,112,15,16,12,0,152,19,0,0,0,0,19,434,31,40,13,3,523
UCL215035,331,3,12,0,3,351,57,0,3,0,0,63,10,0,0,0,0,10,402,0,13,0,3,418
UCL215036,335,0,0,0,0,334,27,0,0,0,0,27,10,0,0,0,0,10,369,0,0,0,0,365
UCL215037,482,0,6,11,3,513,195,3,8,5,3,214,41,0,0,3,0,46,726,4,15,23,5,769
UCL215038,416,3,0,3,0,423,164,3,3,0,0,178,14,3,0,0,0,16,598,14,5,3,0,615
UCL215039,319,3,12,4,3,337,151,0,16,0,0,169,15,0,3,0,0,22,486,0,34,7,3,529
UCL215040,970,0,20,12,0,1003,362,0,32,3,0,400,54,0,5,0,0,59,1380,0,57,18,0,1461
UCL215041,592,8,0,0,0,597,156,20,0,0,0,182,19,3,0,0,0,19,771,26,0,0,0,797
UCL215042,456,13,0,8,0,471,92,4,0,3,0,97,18,0,0,0,0,18,565,18,0,10,0,587
UCL215043,958,52,12,3,0,1030,271,50,6,6,0,339,36,9,0,0,0,46,1270,113,20,10,3,1408
UCL215044,1254,85,43,20,3,1408,285,61,30,6,0,384,31,7,3,0,0,42,1579,155,71,27,4,1832
UCL215045,437,9,0,0,9,453,83,7,0,0,3,90,10,0,0,0,0,10,529,16,0,0,6,556
UCL215046,329,3,0,3,0,333,71,10,0,0,0,84,15,0,0,0,0,15,413,13,0,3,0,433
UCL215047,402,15,4,3,0,424,91,3,3,0,0,101,7,0,0,0,0,12,497,18,8,3,4,529
UCL215048,246,9,28,7,13,304,51,4,4,0,0,57,4,0,0,0,0,9,304,17,30,7,9,365
UCL215049,855,0,0,10,0,869,55,0,0,7,0,66,21,0,0,3,0,23,933,0,0,22,0,959
UCL215050,1196,7,22,11,7,1238,356,11,28,4,3,398,46,0,3,0,0,42,1590,19,52,14,13,1680
UCL215051,463,5,9,6,0,484,114,3,16,0,0,132,11,0,0,0,0,15,583,7,22,9,0,627
UCL215052,975,22,4,8,0,1011,220,20,12,4,0,254,52,0,4,4,3,64,1243,41,19,22,5,1326
UCL215053,477,14,11,4,3,511,201,3,13,7,0,231,39,0,3,0,0,40,712,17,32,11,3,780
UCL215054,460,0,0,0,0,460,140,0,0,0,0,143,23,0,0,0,0,23,624,0,0,0,0,631
UCL215055,473,0,7,0,3,487,85,0,21,0,0,105,13,0,0,0,0,9,561,4,29,0,3,600
UCL215056,289,8,0,8,0,296,139,4,0,0,0,142,10,0,0,0,0,10,438,7,0,10,0,457
UCL215057,550,0,16,0,22,585,106,0,9,0,5,118,12,0,0,0,0,12,672,0,19,0,30,721
UCL215058,746,26,0,13,8,788,253,34,0,6,0,290,43,3,0,0,0,45,1038,61,0,11,8,1126
UCL215059,453,8,23,10,0,498,166,15,24,10,0,211,18,3,3,0,0,23,641,20,45,27,3,736
UCL215060,361,3,12,11,0,387,132,3,30,7,0,171,18,0,3,0,0,26,516,8,41,21,0,588
UCL215061,484,0,22,0,3,509,174,0,23,0,0,196,17,0,3,0,0,19,670,0,47,0,3,726
UCL215062,920,49,57,8,0,1043,315,44,61,6,0,426,40,5,5,0,0,55,1274,107,126,17,3,1530
UCL215063,496,0,14,3,3,523,254,0,30,3,0,285,31,0,9,0,0,36,780,0,55,6,3,848
UCL215064,254,0,0,0,0,258,129,0,15,0,0,146,16,0,0,0,0,12,401,0,15,0,3,417
UCL215065,957,98,44,19,9,1128,178,43,13,19,0,256,40,7,4,0,0,49,1175,148,64,33,10,1428
UCL215066,1173,93,22,13,5,1306,170,16,12,0,0,197,25,4,0,0,0,32,1367,110,32,13,10,1526
UCL215067,826,38,13,12,13,903,197,22,6,3,0,225,33,3,0,0,0,34,1057,59,18,15,13,1164
UCL215068,694,5,28,7,0,735,254,7,29,3,3,297,46,0,7,0,0,52,995,7,68,10,5,1084
UCL215069,926,46,0,0,0,972,60,11,0,0,0,72,12,3,0,0,0,14,1002,56,0,0,4,1059
UCL215070,356,3,8,13,0,379,207,6,14,15,3,249,36,3,5,3,0,53,600,19,26,35,3,683
UCL215071,727,8,15,9,0,754,255,19,30,11,0,314,28,4,0,3,0,37,1003,28,51,25,0,1110
UCL215072,1050,20,49,10,0,1131,101,14,18,0,0,137,20,0,0,0,0,23,1172,38,65,9,0,1290
UCL215073,360,0,0,6,6,365,96,0,0,0,0,99,13,0,0,0,0,18,469,0,0,6,3,481
UCL215074,599,14,31,5,0,650,152,10,37,0,0,200,12,0,3,0,0,19,763,19,74,6,0,871
UCL215075,325,42,14,0,4,390,69,13,4,0,0,90,6,0,0,0,0,10,401,56,25,0,3,485
UCL215076,537,0,0,0,3,541,48,0,0,0,0,48,11,0,0,0,0,11,598,0,0,0,3,602
UCL215077,590,17,4,8,0,624,270,16,9,0,0,291,24,0,0,0,0,27,881,32,16,10,4,938
UCL215078,558,0,0,3,0,566,110,0,0,3,0,118,13,0,0,0,0,13,688,0,0,3,3,692
UCL215079,1027,77,11,10,3,1127,257,53,6,4,0,324,38,3,3,0,0,48,1326,135,23,9,3,1498
UCL215080,495,0,29,3,11,536,150,0,30,3,0,189,29,0,12,0,0,37,672,0,65,8,13,756
UCL215081,302,0,27,15,4,342,100,4,19,5,0,127,15,0,3,0,0,22,418,6,48,17,4,494
UCL215082,281,4,0,5,0,293,38,0,0,10,0,46,11,0,0,3,0,10,325,3,0,20,0,352
UCL215083,969,25,21,0,3,1018,186,24,16,0,0,228,17,4,3,0,0,27,1178,57,41,0,3,1270
UCL215084,452,0,0,3,0,452,46,0,0,5,0,52,18,0,0,0,0,18,511,0,0,9,0,520
UCL215085,576,12,10,16,3,617,112,0,4,18,3,143,21,0,0,0,0,24,712,16,14,36,5,783
UCL215086,600,0,12,7,16,634,244,0,24,3,3,273,31,0,0,0,3,32,870,0,35,11,21,934
UCL215087,972,62,27,0,0,1062,224,38,11,0,0,266,36,11,3,0,0,50,1234,105,33,0,0,1375
UCL215088,426,0,0,0,3,433,139,0,4,0,0,148,22,0,0,0,0,24,589,0,6,3,3,601
UCL215089,445,0,0,0,0,447,15,0,0,0,0,15,3,0,0,0,0,3,464,0,0,0,0,466
UCL215090,1122,45,4,4,3,1180,136,20,0,3,0,156,28,5,0,0,0,27,1285,65,4,4,3,1370
UCL215091,1218,6,0,0,3,1224,180,0,0,0,0,180,39,0,0,0,0,39,1430,6,0,0,3,1442
UCL215092,316,0,0,0,0,316,102,0,0,0,0,102,13,0,0,0,0,13,438,0,0,0,0,438
UCL215093,650,27,0,0,4,685,71,7,0,0,0,85,13,0,0,0,0,17,739,38,0,3,3,782
UCL215094,824,13,21,7,0,865,172,11,3,0,0,187,25,0,3,0,0,30,1022,26,22,10,0,1082
UCL215095,339,7,0,0,0,342,73,5,0,0,0,79,16,0,0,0,0,21,423,15,0,0,3,440
UCL215096,457,23,6,9,0,496,180,15,3,17,0,220,20,3,0,0,0,28,667,42,9,22,0,742
UCL215097,309,11,14,10,4,342,101,3,12,7,0,130,20,0,3,0,0,26,431,14,27,18,4,492
UCL221001,190,0,0,0,0,197,39,0,0,0,0,39,3,0,0,0,0,3,238,0,0,0,0,238
UCL221002,252,0,0,3,0,254,53,0,0,0,0,53,20,0,0,0,0,20,320,3,0,3,0,325
UCL221003,267,0,0,4,4,280,126,0,0,0,0,131,12,0,0,0,0,12,409,0,0,4,4,422
UCL221004,150,0,0,0,0,152,31,0,0,0,0,31,7,0,0,0,0,7,186,0,0,0,0,191
UCL221005,193,0,0,0,0,193,14,0,0,0,0,13,0,0,0,0,0,0,215,0,0,0,0,212
UCL221006,185,0,6,3,3,195,57,0,10,0,0,68,10,0,3,0,0,13,250,0,18,3,3,273
UCL221007,165,0,0,0,0,165,38,0,0,0,0,38,6,0,0,0,0,7,214,0,0,0,3,215
UCL221008,181,8,0,0,0,187,26,4,0,0,0,32,6,0,0,0,0,6,212,12,0,0,0,223
UCL221009,198,0,3,3,0,203,83,0,10,0,0,88,12,0,0,0,0,14,284,0,17,4,0,309
UCL221010,192,0,0,0,0,192,37,0,0,0,0,38,4,0,0,0,0,4,234,0,0,0,0,238
UCL221011,157,10,0,5,3,172,44,3,0,0,0,47,8,0,0,0,0,8,209,11,0,5,3,225
UCL221012,147,0,0,0,0,153,15,0,0,0,0,15,3,0,0,0,0,3,170,0,0,0,0,166
UCL221013,134,0,0,0,0,139,10,0,0,3,0,14,0,0,0,0,0,0,145,0,0,4,0,149
UCL221014,182,0,0,0,0,182,21,0,0,0,0,21,6,0,0,0,0,6,208,0,0,0,0,208
UCL221015,267,9,0,0,0,281,54,0,0,3,0,61,11,0,0,0,0,14,329,14,0,8,0,352
UCL221016,163,0,0,0,0,163,20,0,0,0,0,20,3,0,0,0,0,3,179,0,0,0,0,181
UCL221017,238,3,0,10,0,250,58,5,4,0,0,72,9,0,0,0,0,9,304,14,6,7,0,328
UCL221018,284,5,4,3,0,290,122,7,0,0,0,136,9,3,0,0,0,10,418,14,3,3,0,438
UCL221019,422,0,5,11,0,438,126,0,3,7,0,137,25,0,3,0,0,25,566,0,9,17,0,601
UCL221020,230,7,0,3,8,245,104,0,0,0,12,119,19,0,0,0,0,18,351,7,0,3,21,377
UCL221021,236,0,0,0,0,233,50,0,0,0,0,50,4,0,0,0,0,4,289,0,0,0,0,289
UCL221022,270,0,0,0,0,271,93,0,0,0,0,93,10,0,0,0,0,9,376,0,4,0,0,374
UCL221023,137,3,0,4,6,150,27,5,0,0,3,37,3,0,0,0,0,7,163,9,0,4,10,193
UCL221024,187,4,6,17,0,209,73,0,15,8,3,98,9,0,4,0,0,17,267,4,22,25,3,325
UCL221025,258,0,0,0,0,265,62,0,0,0,0,66,0,0,0,0,0,0,327,0,0,3,0,331
UCL221026,264,0,0,4,0,265,80,0,0,0,0,81,9,0,0,0,0,9,355,0,0,4,0,359
UCL221027,187,7,3,3,0,202,83,13,7,0,0,107,4,3,0,0,0,9,278,17,10,6,0,310
UCL221028,175,0,0,0,3,181,79,3,0,0,0,84,16,7,0,11,0,31,273,12,0,12,3,292
UCL221029,171,0,0,14,0,184,87,0,3,5,0,96,15,0,0,8,0,19,279,0,3,21,0,300
UCL221030,210,0,3,4,0,222,21,0,0,0,0,16,0,0,0,0,0,0,230,0,3,3,0,238
UCL221031,202,0,0,0,0,202,25,0,0,0,0,25,4,0,0,0,0,4,228,0,0,0,0,228
UCL221032,286,0,3,26,0,315,87,0,0,20,0,107,14,0,0,0,0,16,384,0,3,43,0,437
UCL221033,177,0,0,0,0,177,27,0,0,0,0,27,0,0,0,0,0,0,208,0,0,0,0,208
UCL221034,157,0,0,3,3,159,27,0,0,0,0,27,5,0,0,0,0,5,186,0,0,3,3,189
UCL221035,156,0,3,0,0,159,64,0,3,0,0,65,5,0,0,0,0,5,222,0,4,0,0,229
UCL221036,207,0,0,0,0,210,11,0,0,0,0,15,8,0,0,0,0,8,225,0,0,0,0,225
UCL221037,162,0,0,5,4,166,101,0,3,4,0,112,13,0,4,0,0,18,269,0,6,14,4,293
UCL221038,203,3,0,0,0,205,36,0,0,0,0,33,4,0,0,0,0,4,238,5,0,0,0,248
UCL221039,183,0,3,5,0,186,64,0,4,0,0,70,7,0,0,0,0,7,251,0,3,5,0,263
UCL221040,338,0,3,0,0,348,40,0,6,0,0,44,7,0,0,0,0,8,390,0,3,3,0,403
UCL221041,233,0,0,3,0,235,23,0,0,0,0,25,11,0,0,0,0,11,268,0,0,3,0,268
UCL221042,217,0,0,0,0,213,60,0,0,0,0,62,6,0,0,0,0,6,280,0,0,0,0,280
UCL221043,183,0,0,0,3,191,37,0,0,0,0,37,11,0,0,0,0,11,234,0,0,0,3,238
UCL221044,157,0,0,0,0,162,23,0,0,0,0,24,3,0,0,0,0,3,189,0,3,0,0,193
UCL221045,273,0,0,3,0,272,97,0,0,0,0,98,20,0,0,0,0,20,387,0,4,3,0,395
UCL221046,310,11,0,4,0,333,88,14,0,3,0,105,9,0,0,0,0,10,412,25,0,7,0,445
UCL221047,210,0,0,5,0,219,26,0,0,0,0,26,8,0,0,0,0,8,238,0,0,5,0,250
UCL221048,257,0,0,12,0,267,26,0,0,0,0,23,6,0,0,0,0,7,286,0,0,15,0,295
UCL221049,148,0,0,3,0,152,19,0,0,0,0,19,0,0,0,0,0,0,169,0,0,3,0,168
UCL221050,418,5,0,3,4,429,45,0,0,0,0,45,11,0,0,0,3,12,476,7,3,5,10,495
