UCL_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
UCL213002,4,10,0,0,3,0,0,0,0,16,4,10,0,4,0,3,3,3,0,28,54,43,249,9,21,26,53,73,8,527,47,5,117,4,3,6,19,29,3,243,22,5,17,9,0,11,3,12,0,78,6,46,7,16,0,0,0,0,0,81,11,36,4,7,5,4,0,4,0,72,41,39,13,11,21,14,12,19,3,164,7,22,4,29,5,4,4,3,0,77,0,3,4,3,0,3,3,5,0,25,15,0,42,4,3,9,3,14,0,97,0,0,0,0,0,0,0,0,0,0,3,9,0,6,0,0,0,7,0,30,10,0,20,0,3,11,9,20,8,80,220,236,483,97,65,99,109,184,25,1524,3,11,0,0,0,0,0,3,0,24,0,0,0,5,3,0,0,0,0,14,3,0,5,3,0,3,0,3,0,18,0,3,3,0,8,0,0,0,0,14,3,5,3,3,10,0,0,3,0,26
UCL213003,3,3,3,0,0,0,0,5,0,15,3,7,6,0,0,3,0,8,0,28,52,21,215,4,13,18,71,96,6,504,45,3,126,4,3,5,19,28,7,232,27,10,19,3,3,7,24,17,0,109,6,44,4,4,3,0,3,0,0,72,7,47,3,5,3,0,3,0,0,67,43,44,8,6,20,17,15,20,0,172,6,18,5,42,3,4,3,12,0,94,3,12,5,3,0,7,0,12,0,40,10,0,36,5,0,5,10,37,0,106,0,0,0,0,0,0,0,0,0,3,3,6,3,3,3,0,3,6,5,25,13,3,14,0,0,0,10,28,8,82,219,206,450,90,62,70,166,264,26,1553,0,3,3,3,3,4,0,0,0,18,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,10,0,14,0,34,0,0,0,0,0,3,0,0,0,6,4,7,0,4,3,3,0,7,0,29
UCL213004,3,13,0,3,0,0,0,3,0,27,14,11,9,0,3,4,0,0,0,46,71,40,272,12,12,20,94,68,7,593,37,3,167,3,5,9,23,43,3,290,12,9,26,3,6,7,20,24,0,103,5,26,4,16,3,0,0,3,0,52,16,57,4,3,3,0,3,0,0,86,53,33,9,9,15,23,16,6,0,159,13,29,4,27,7,5,3,5,0,86,3,11,11,0,3,0,3,0,0,30,6,0,29,3,0,0,7,8,0,57,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,5,3,24,10,0,20,3,0,4,8,7,3,64,231,239,570,79,58,63,180,178,20,1621,3,12,4,0,3,3,0,0,0,25,0,3,0,0,3,0,0,0,0,6,3,4,0,0,0,3,7,9,0,28,0,0,4,3,0,7,0,0,0,13,0,3,3,5,6,3,3,11,0,33
UCL213005,6,8,4,3,3,0,3,0,0,34,5,19,17,0,0,8,0,3,0,52,53,47,257,24,19,8,57,50,11,533,34,9,222,12,9,4,16,28,8,333,15,12,27,0,0,3,4,9,0,69,3,47,4,13,3,0,3,4,0,79,10,55,6,4,5,3,6,3,0,84,63,57,8,18,19,20,13,16,0,217,12,27,12,40,10,4,6,14,0,124,3,9,7,3,0,3,3,3,0,42,5,6,50,9,5,3,13,11,0,103,0,0,0,0,0,0,0,0,0,3,3,3,10,0,3,0,7,0,0,24,12,4,19,0,3,3,7,5,4,62,213,289,643,131,79,65,136,149,38,1757,0,19,5,0,11,0,0,3,0,41,0,0,3,0,3,3,0,0,0,13,0,7,3,3,0,6,0,3,0,26,0,3,0,0,0,3,0,0,0,11,5,3,0,3,8,3,0,7,0,27
UCL213006,6,8,3,0,0,0,0,0,0,23,4,7,8,0,0,0,4,3,0,26,85,34,291,15,12,19,55,69,3,577,42,5,147,8,0,12,16,35,3,271,21,15,30,9,0,16,18,18,0,117,4,57,0,13,0,0,0,0,0,79,14,70,3,10,0,0,4,0,0,107,58,50,3,16,19,33,10,9,0,192,11,19,5,27,3,3,4,9,0,92,0,6,3,3,0,4,0,4,0,18,16,3,48,7,0,5,13,24,3,122,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,3,0,0,11,6,4,14,0,0,9,7,20,10,61,277,276,551,107,38,98,131,199,31,1708,5,15,3,0,0,3,0,0,0,29,0,0,0,3,3,0,0,0,0,10,0,0,8,0,3,0,3,7,0,18,0,5,4,0,0,0,0,0,0,10,4,10,4,6,3,0,0,0,0,22
UCL213007,4,17,4,0,3,0,3,0,0,37,10,16,10,0,0,3,3,3,5,47,74,44,298,11,22,30,72,45,3,599,77,3,180,3,5,12,26,30,4,334,62,46,30,4,10,10,17,20,3,203,12,81,0,41,0,0,0,0,0,131,12,84,13,6,0,3,3,0,0,124,97,65,9,13,28,39,16,10,3,278,10,40,3,48,6,4,7,14,3,140,4,7,6,0,0,3,0,3,0,26,13,3,67,14,5,9,10,14,0,137,0,0,0,0,0,0,0,0,0,3,4,4,3,5,0,3,3,3,3,30,5,3,22,7,3,9,9,14,15,80,387,418,648,147,85,119,164,158,40,2161,3,18,7,4,6,0,0,0,0,45,0,0,0,0,0,0,0,0,0,6,0,4,6,0,0,0,0,0,0,21,0,4,0,3,0,3,0,0,0,12,7,9,3,5,8,5,0,5,0,46
UCL213008,6,18,10,3,3,4,4,3,0,51,30,55,9,3,0,3,3,7,0,114,83,85,373,38,18,21,86,76,17,797,28,8,173,7,11,6,24,55,7,316,12,6,20,4,0,0,5,8,0,61,16,36,8,18,4,5,8,3,0,90,7,36,9,7,3,0,3,0,3,68,86,76,13,21,39,28,29,19,3,304,15,17,9,54,6,7,8,3,3,122,0,14,5,4,5,0,0,4,0,42,7,0,30,11,12,7,19,9,5,97,0,0,0,0,0,0,0,0,0,4,4,7,5,14,0,0,15,4,0,47,3,3,18,4,3,0,9,7,14,68,293,371,682,186,100,80,212,203,48,2180,4,29,11,6,8,4,0,4,0,64,0,12,3,3,5,0,0,0,0,30,0,11,8,7,12,3,3,3,0,44,3,4,3,0,3,3,0,0,0,19,0,3,5,3,8,7,0,5,0,34
UCL213009,3,13,3,3,0,0,0,4,0,27,10,28,11,0,0,0,3,4,0,62,64,53,268,19,19,14,62,68,10,579,40,3,220,6,3,3,29,44,0,355,14,3,21,0,3,3,3,6,0,58,5,37,5,16,6,7,3,4,0,89,3,56,0,6,3,3,3,0,0,82,80,49,13,22,33,23,13,14,3,246,11,23,12,41,16,6,6,0,3,116,3,10,6,3,3,10,0,5,0,38,6,0,41,11,3,3,9,14,0,96,0,0,0,0,0,0,0,0,0,0,4,3,7,3,0,0,4,8,3,35,3,3,17,0,3,5,4,4,5,64,249,279,630,146,95,74,152,187,31,1840,3,19,11,7,7,3,0,0,0,45,0,3,0,0,0,0,0,0,0,4,3,0,0,3,5,7,0,5,0,24,0,0,6,0,3,5,0,0,0,17,0,0,0,4,0,0,0,3,0,11
UCL213010,0,4,3,0,0,3,3,0,0,15,4,15,13,0,8,3,0,4,0,46,45,40,433,20,26,18,80,76,12,754,16,3,160,4,3,10,27,54,5,290,5,5,24,0,3,0,7,16,0,58,0,18,3,17,0,0,0,0,0,46,12,38,6,3,3,0,3,3,0,70,32,35,16,6,23,15,4,6,0,137,3,20,3,63,9,0,4,10,3,111,3,7,10,3,5,3,0,3,0,31,0,0,35,8,3,3,10,16,0,74,0,0,0,0,0,0,0,0,0,3,4,0,6,3,0,0,0,0,0,20,3,3,24,8,3,6,14,17,12,86,138,185,735,133,76,64,159,211,46,1748,0,7,3,3,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,9,0,0,9,0,13,0,0,5,0,27,0,3,4,0,4,6,0,0,0,19,4,0,0,0,3,0,0,0,0,15
UCL213011,6,8,0,0,3,0,0,0,0,13,8,16,10,0,7,4,3,0,0,50,41,35,292,13,18,14,79,57,15,559,21,4,96,3,3,6,30,37,0,210,0,0,12,0,0,0,8,4,0,23,3,36,4,13,3,0,0,0,0,65,3,25,5,3,0,0,0,0,0,44,27,24,3,11,26,14,20,14,0,132,7,20,3,40,7,4,7,5,0,99,3,5,0,7,3,11,0,0,0,24,8,0,36,3,3,3,9,10,0,68,0,0,0,0,0,0,0,0,0,4,3,4,3,7,0,3,4,0,0,29,7,3,18,3,4,5,18,24,11,84,139,173,477,101,81,63,180,163,34,1404,3,9,3,0,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,3,3,0,4,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,9
UCL213012,17,65,11,3,6,3,7,8,3,117,20,38,7,3,3,0,4,0,0,74,89,117,329,20,15,24,31,46,10,683,121,30,356,23,7,15,17,33,9,601,17,24,58,4,9,7,13,15,3,160,15,144,7,35,4,3,3,10,3,215,34,159,9,17,10,6,3,6,0,250,153,134,36,22,42,56,14,8,4,470,43,86,17,60,7,11,3,13,3,246,6,43,13,3,0,6,3,5,0,79,8,3,55,8,3,13,3,4,0,103,0,0,0,0,0,0,0,0,0,0,7,14,13,11,3,4,0,0,0,45,18,4,22,8,3,0,0,4,10,65,532,869,925,214,114,153,99,164,45,3117,12,43,14,9,14,0,0,0,0,90,0,3,0,0,4,0,0,0,0,10,4,14,3,3,4,4,0,9,0,38,9,24,5,4,10,3,0,0,0,49,4,7,9,0,11,4,0,0,0,50
UCL213013,3,10,0,0,0,0,3,3,0,15,3,4,5,0,3,0,0,0,0,16,42,41,270,3,11,10,85,56,6,518,21,7,87,3,3,0,43,27,3,194,16,4,15,4,0,0,14,6,0,61,6,37,5,13,0,0,6,3,0,66,4,46,0,0,3,0,5,0,0,63,29,24,5,3,10,4,9,17,4,108,10,17,0,20,3,0,0,0,0,55,3,3,4,0,0,0,0,5,0,18,6,3,31,3,3,3,13,6,0,63,0,0,0,0,0,0,0,5,0,7,0,3,5,0,0,0,3,0,0,9,6,5,16,3,0,0,21,13,3,72,145,199,436,58,47,21,205,142,26,1268,0,6,0,0,0,3,0,0,0,8,0,0,3,0,3,0,0,0,0,9,3,0,0,0,0,3,4,6,0,24,0,0,0,0,0,0,0,0,0,4,5,3,0,3,0,0,3,5,0,14
UCL213014,6,19,0,3,0,0,0,0,0,35,11,15,15,0,0,3,3,3,3,56,78,107,331,23,22,15,43,35,13,657,27,3,136,3,11,12,23,46,4,256,11,5,25,5,4,5,9,14,0,70,9,75,5,18,0,0,3,0,0,118,22,65,3,12,4,3,4,4,0,115,76,67,15,15,20,29,10,16,0,247,22,40,3,51,3,7,4,9,0,135,3,16,6,0,0,0,3,3,0,38,19,3,67,4,0,3,9,16,3,121,0,0,0,0,0,0,0,0,0,3,11,4,5,4,0,0,0,3,3,29,5,0,10,4,0,4,10,11,7,56,305,423,621,140,73,69,119,160,31,1937,8,9,3,5,0,6,0,3,0,29,0,0,0,0,6,0,0,3,0,13,0,14,3,0,0,0,3,0,3,27,0,3,3,0,3,0,0,0,0,8,3,3,5,0,3,0,3,3,0,22
UCL213015,6,0,0,0,0,0,0,0,0,10,4,3,6,3,0,0,0,4,0,24,51,18,216,3,11,19,43,38,9,413,56,3,92,3,0,3,9,17,3,190,28,30,25,3,3,8,20,28,4,144,5,40,3,17,3,0,0,3,0,77,11,72,3,3,0,0,0,0,0,89,56,54,0,8,17,21,3,9,0,175,9,17,0,26,3,4,6,3,4,77,4,5,6,0,0,4,0,0,0,19,9,0,41,0,3,7,3,19,5,78,0,0,0,0,0,0,0,0,0,3,9,0,3,0,0,0,0,0,0,13,9,3,11,3,3,0,6,24,10,74,254,249,402,74,51,72,101,145,32,1383,0,10,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,12,0,0,0,0,0,0,0,0,0,3,5,3,7,3,7,0,0,3,0,31
UCL213016,19,43,7,4,3,6,3,13,0,109,16,48,4,3,7,3,0,0,3,90,104,126,258,32,15,20,35,47,9,644,115,35,342,9,9,17,13,52,6,605,28,19,43,9,9,5,9,10,0,120,31,126,10,33,3,3,0,8,0,212,29,159,10,21,6,6,3,8,0,233,196,149,28,26,42,42,10,18,4,530,33,69,15,49,22,15,7,11,0,220,21,69,15,7,3,9,8,6,3,145,12,3,55,6,0,5,3,10,0,99,0,0,0,0,0,0,0,0,0,0,8,11,10,8,3,8,3,0,3,51,9,6,13,3,0,3,3,10,13,59,632,866,804,220,129,137,93,186,57,3118,6,45,10,11,13,0,0,0,3,92,4,9,0,0,4,0,0,0,0,18,8,16,3,3,6,4,0,3,0,40,6,17,12,3,8,10,0,0,0,57,0,14,8,3,3,0,0,0,0,31
UCL213017,6,26,4,6,3,4,3,3,0,59,12,15,15,0,3,6,0,3,0,56,78,45,318,12,25,33,79,70,10,678,77,7,226,18,7,11,28,42,4,418,28,22,30,4,5,10,9,19,3,134,13,122,6,35,4,4,3,10,0,198,21,93,7,16,4,8,3,9,0,155,88,67,16,11,37,36,13,16,3,293,16,40,10,66,6,9,10,14,0,167,8,11,9,0,0,7,3,7,0,37,16,0,67,9,0,16,10,21,0,149,0,0,0,0,0,0,0,5,0,5,4,5,4,6,3,0,4,8,0,34,10,3,19,0,3,4,25,11,10,92,370,449,736,190,108,149,202,238,38,2472,3,24,9,3,3,3,0,5,0,48,0,3,0,0,4,3,0,0,0,11,6,0,5,3,5,3,3,5,0,33,6,3,3,0,0,4,0,0,0,21,4,8,0,0,8,5,0,3,0,29
UCL213018,7,15,0,3,6,3,0,3,0,42,8,26,15,0,0,3,3,3,0,60,91,64,314,8,20,25,67,63,3,647,54,0,177,3,3,3,17,40,9,306,32,17,26,9,4,0,11,29,0,123,3,70,3,14,0,0,0,6,0,101,24,102,11,10,6,4,0,4,3,162,79,97,20,7,38,18,12,16,4,286,12,50,12,55,6,6,6,9,0,150,5,11,5,3,0,3,3,5,3,39,7,3,40,4,0,7,6,11,0,74,0,0,0,0,0,0,0,0,0,3,4,0,3,5,3,0,4,3,3,29,8,3,10,10,3,9,8,13,9,60,332,460,628,136,96,74,134,192,34,2079,8,9,3,11,11,0,0,3,0,47,3,3,7,0,3,0,0,0,0,18,7,0,3,0,4,3,0,5,0,25,3,3,3,0,0,3,0,3,0,13,10,9,11,3,3,3,0,4,0,46
UCL214001,0,3,3,0,0,0,0,0,0,12,0,3,9,0,0,3,0,0,0,12,29,18,102,26,0,7,27,32,3,244,15,3,40,20,0,0,13,8,0,97,5,7,19,3,3,3,4,16,0,53,8,24,3,10,0,0,0,0,0,49,3,22,0,7,0,0,0,0,0,35,25,9,8,9,5,13,8,11,0,91,6,19,0,60,0,0,8,10,3,101,0,7,0,0,0,0,0,0,0,9,3,0,17,12,0,0,3,8,0,53,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,4,7,5,15,5,4,6,6,0,3,10,15,0,53,102,113,207,150,19,34,68,124,13,830,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,10,0,17,0,0,0,0,0,0,0,0,0,3,0,4,3,0,5,0,0,3,0,18
UCL214002,4,3,0,0,0,0,0,0,0,13,3,3,4,3,3,0,0,5,0,21,44,44,191,10,17,7,39,31,7,389,43,3,87,3,4,3,17,10,3,172,16,11,25,3,3,6,7,3,0,68,4,39,0,5,0,0,0,3,0,57,4,37,0,3,0,0,0,0,0,53,32,8,6,6,16,10,6,3,0,99,3,16,3,21,3,3,6,4,0,56,3,3,3,0,0,3,0,3,0,16,5,3,32,5,0,7,7,14,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12,8,0,17,7,0,0,19,16,7,80,168,168,376,73,57,50,101,97,15,1101,0,8,5,0,3,0,0,0,0,16,0,0,0,0,6,3,0,0,0,11,0,7,0,0,3,0,5,4,0,24,0,0,4,0,0,0,0,0,0,10,0,5,0,0,3,3,0,6,0,22
UCL214003,7,22,6,0,0,3,3,3,0,44,7,18,4,0,3,0,0,5,0,40,36,28,135,10,10,6,32,25,9,291,33,20,63,0,4,3,3,14,0,142,8,6,16,6,3,3,0,3,0,44,3,46,8,12,3,0,0,4,0,75,17,49,6,10,3,5,0,5,0,96,40,26,3,9,10,12,6,5,3,121,12,73,11,36,7,3,3,8,0,163,8,50,15,8,7,3,0,14,0,95,4,6,14,3,0,3,9,6,0,40,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,5,0,21,11,3,4,0,3,3,4,8,3,46,195,362,279,102,51,36,67,111,14,1226,9,13,5,3,3,4,0,3,0,36,0,4,0,0,0,0,0,0,0,13,3,0,3,0,0,0,0,0,0,13,0,12,3,0,0,3,0,0,0,23,3,9,3,8,3,0,0,0,0,25
UCL214004,3,3,0,0,0,0,0,3,0,11,3,4,3,0,0,0,0,0,0,10,14,11,97,3,0,6,28,40,0,207,9,0,35,0,3,0,10,14,0,73,20,7,6,0,3,0,7,5,0,49,0,20,0,3,0,0,0,3,0,31,4,5,0,0,0,0,0,0,0,11,11,9,3,7,0,7,7,5,0,50,0,0,3,4,3,3,0,7,0,23,0,0,5,0,0,0,0,0,0,5,7,0,18,3,0,3,3,12,0,48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,9,4,3,0,0,0,3,5,11,4,41,83,74,169,20,16,24,58,111,10,567,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,8,0,3,0,0,0,0,0,0,0,3,4,0,0,3,3,0,0,4,0,13
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,3,0,3,6,5,0,53,3,0,9,0,0,0,3,3,0,24,0,0,3,0,0,0,0,4,0,11,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,5,0,0,3,0,3,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,14,8,52,7,3,5,13,31,3,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL214006,10,19,3,4,3,3,0,0,0,41,11,27,4,0,3,0,0,0,0,54,92,89,222,16,29,16,38,36,4,553,35,9,193,8,8,7,12,20,0,291,6,4,21,0,5,0,3,4,0,43,7,38,6,9,0,0,0,3,0,59,16,59,0,5,7,0,0,0,0,92,107,76,15,10,36,30,9,9,7,304,15,36,4,38,7,4,7,3,0,115,6,17,9,5,0,5,0,3,0,48,7,3,23,3,0,4,3,3,0,58,0,0,0,0,0,0,0,0,0,0,3,14,0,14,3,3,3,0,0,38,11,0,7,3,0,3,3,6,0,37,335,392,508,118,105,73,87,96,14,1731,10,24,5,5,7,0,0,0,0,53,0,8,0,0,3,0,0,0,0,12,3,12,5,0,5,3,0,0,0,29,3,4,7,0,3,4,0,0,0,22,3,0,3,3,5,0,0,3,0,23
UCL214007,5,13,5,0,0,0,0,6,0,30,7,9,9,0,0,5,3,3,0,30,46,17,178,3,9,19,52,43,0,362,48,9,103,0,0,5,7,17,0,186,27,17,28,4,4,14,7,13,0,120,5,48,7,15,3,0,3,3,0,83,10,50,6,7,5,0,0,0,3,75,50,29,4,3,18,10,10,4,0,122,9,26,7,23,3,3,0,8,0,77,3,9,0,0,0,0,0,0,0,19,9,3,38,3,3,8,3,8,0,70,0,0,0,0,0,0,0,0,0,0,3,4,7,3,0,0,0,0,0,16,5,3,13,8,0,3,8,7,5,47,220,220,385,76,48,67,92,108,16,1245,3,8,0,0,0,3,0,0,0,21,0,0,0,0,3,0,0,0,0,3,0,0,3,4,3,0,0,3,0,10,0,3,0,0,0,0,0,0,0,3,3,5,10,3,0,5,0,3,0,35
UCL214008,9,29,0,0,0,0,0,3,0,52,3,12,6,0,3,0,0,3,0,29,44,30,146,9,13,12,42,50,9,350,35,5,168,3,0,3,12,23,3,256,18,11,32,9,0,4,5,23,5,105,3,22,0,8,0,0,0,4,0,44,6,31,3,3,0,4,0,3,0,50,25,23,12,10,10,11,5,7,0,102,6,16,4,14,3,4,5,4,0,59,9,21,4,5,0,0,0,9,0,46,6,0,54,0,0,3,3,4,0,78,0,0,0,0,0,0,3,0,0,0,3,3,3,3,0,0,0,3,0,22,6,0,12,3,0,5,14,7,14,57,170,199,438,68,39,46,96,142,34,1248,11,16,14,3,4,0,0,0,0,49,0,0,0,0,3,0,0,4,0,9,3,0,4,0,0,3,0,3,0,17,3,0,3,3,0,0,0,0,0,10,0,3,9,3,3,4,0,4,0,39
UCL214009,5,6,0,0,0,0,0,0,0,18,0,6,0,0,0,0,0,0,0,4,35,23,68,0,8,4,10,21,0,168,27,4,61,0,3,7,7,15,6,125,5,13,9,0,0,3,8,3,0,42,8,23,0,12,0,0,0,0,0,37,13,39,3,0,3,0,0,0,0,61,28,23,5,3,0,7,3,4,0,68,11,18,3,16,8,0,0,0,0,47,4,7,6,0,0,0,0,0,0,25,3,0,29,3,0,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,3,0,3,0,0,3,4,3,11,29,140,161,192,43,27,31,29,55,18,677,0,4,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,4,4,4,0,0,0,0,4,0,17
