UCL_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL122133,0,3,7,5,3,3,0,0,0,21,0,0,0,3,0,3,0,0,0,7,0,0,7,6,7,5,0,0,0,23,0,0,0,3,3,0,0,0,0,8,0,0,4,6,18,3,0,0,0,32,0,0,0,0,4,3,3,0,0,9,3,0,0,0,6,3,0,0,0,13,20,10,21,34,46,27,20,4,0,188
UCL122134,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,3,0,0,11,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,12,3,0,29,3,9,14,9,18,56,60,17,4,191
UCL122135,0,0,0,0,8,8,3,0,0,22,0,0,0,3,4,11,3,0,0,18,0,0,3,7,11,8,0,0,0,20,0,0,3,3,3,3,0,0,0,10,0,0,0,5,3,11,0,0,0,13,0,0,0,0,8,4,0,0,0,15,3,0,0,0,3,3,3,0,0,15,25,19,16,21,53,75,37,12,3,265
UCL122136,0,0,0,3,5,3,3,0,0,14,0,0,0,3,6,3,0,0,0,9,0,0,0,3,3,3,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8,9,9,10,6,42,24,9,23,36,53,36,56,20,14,275
UCL122137,0,0,4,3,4,0,0,0,0,12,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,6,3,0,31,12,17,23,14,33,26,28,15,3,174
UCL122138,0,0,0,6,9,5,3,0,0,27,0,0,3,4,0,3,0,0,0,13,0,0,0,0,3,3,0,0,0,10,0,0,0,0,5,0,0,0,0,10,0,0,0,4,0,5,3,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,5,3,0,17,21,11,13,25,53,47,57,15,4,244
UCL122139,0,0,0,3,3,3,0,0,0,12,0,0,3,0,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,10,0,0,25,7,11,19,33,27,43,29,0,6,165
UCL122140,0,4,14,9,8,7,3,3,0,43,0,0,5,6,7,9,0,0,0,26,0,0,3,4,9,8,0,0,0,22,0,0,0,0,0,0,0,0,0,5,0,0,4,8,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,3,7,11,23,18,25,10,6,0,0,98,5,36,80,71,73,50,17,4,3,347
UCL122141,0,0,0,3,0,4,3,0,0,10,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,7,4,5,9,14,12,5,0,8,64,38,21,30,45,46,89,50,38,13,378
UCL122142,0,0,0,3,7,9,3,0,0,23,0,0,0,0,3,0,0,0,0,5,0,0,3,3,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,3,8,14,16,8,0,0,52,16,7,28,25,53,67,59,11,9,262
UCL122143,0,0,9,9,8,10,3,0,0,31,0,0,0,0,4,0,0,0,0,7,0,0,0,6,4,0,0,0,0,8,0,0,0,6,3,0,0,0,0,12,0,0,5,4,11,3,0,0,0,19,0,0,3,0,0,0,0,0,0,8,3,0,6,0,0,3,0,0,0,13,23,8,46,50,59,57,40,9,0,299
UCL122144,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,5,3,9,0,28,7,13,27,10,21,29,21,29,6,154
UCL122145,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,22,19,25,24,21,11,7,4,0,126
UCL122146,0,0,0,0,5,3,3,3,0,23,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,7,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,4,0,0,0,12,0,0,9,3,3,8,16,11,6,50,6,9,31,28,38,53,57,54,11,291
UCL122147,0,0,3,3,0,7,3,3,3,23,0,0,4,0,3,0,0,0,0,10,0,0,0,0,3,11,0,0,0,12,0,0,0,3,4,0,0,0,0,6,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,3,0,0,9,15,7,9,6,56,19,16,38,35,59,80,55,29,19,348
UCL122148,0,0,0,0,6,0,0,0,0,11,0,0,0,0,6,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,3,0,21,15,9,18,14,52,61,42,12,3,225
UCL122149,0,0,3,3,0,0,3,0,0,9,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,3,3,3,24,8,4,25,17,26,39,30,17,11,183
UCL122150,0,0,6,3,4,3,3,0,0,23,0,0,3,3,3,0,0,0,0,13,0,0,4,0,5,3,0,0,0,11,0,0,3,0,3,0,0,0,0,7,0,0,0,3,8,3,0,0,0,12,0,0,0,0,0,3,0,0,0,4,0,0,7,7,3,4,0,0,0,25,18,13,45,42,63,69,25,12,5,294
UCL122151,0,0,0,6,7,4,3,0,0,16,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,0,16,27,18,12,35,44,39,17,14,0,209
UCL122152,0,0,3,0,3,3,3,0,0,12,0,0,0,3,0,3,0,0,0,9,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,3,24,8,6,9,18,28,41,27,4,6,155
UCL122153,0,0,3,0,5,9,0,0,0,16,0,0,3,0,4,3,0,0,0,12,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,4,6,11,6,0,0,28,29,16,29,28,71,70,62,36,27,375
UCL122154,0,0,3,5,0,4,0,0,0,9,0,0,3,0,0,4,0,0,0,8,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,6,0,0,0,3,7,3,5,4,28,16,15,18,27,28,60,32,27,10,242
UCL122155,0,0,3,5,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,10,13,6,11,11,8,72,22,13,15,20,48,54,48,30,11,257
UCL122156,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,12,7,4,49,12,3,14,21,22,46,38,24,13,190
UCL122157,0,0,0,0,6,0,0,0,0,7,0,0,3,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,21,9,5,13,14,40,46,39,20,3,185
UCL122158,0,0,6,13,4,6,0,3,0,37,0,0,13,3,7,5,3,0,0,35,0,0,5,4,0,3,0,0,0,20,0,0,0,4,3,4,0,0,0,10,0,0,0,15,6,4,0,0,0,27,0,0,0,3,3,0,0,0,0,7,3,0,0,0,3,6,0,0,0,12,33,19,46,81,63,64,39,20,3,373
UCL122159,0,0,3,3,9,4,0,0,0,17,0,0,3,3,7,6,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,3,6,5,12,8,0,49,27,21,26,33,69,47,42,22,3,290
UCL122160,0,0,11,0,6,6,0,0,0,24,0,0,0,5,8,5,0,0,0,17,0,0,3,3,4,3,0,0,0,16,0,0,3,8,3,3,0,0,0,13,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,3,0,0,0,3,0,0,3,6,4,7,4,0,3,33,24,24,52,60,73,55,49,30,10,385
UCL122161,0,0,3,4,11,8,0,0,0,28,0,0,4,0,0,4,0,0,0,12,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,7,3,4,4,3,3,9,3,3,38,30,19,39,39,52,63,45,11,6,309
UCL122162,0,0,0,0,3,3,0,0,0,12,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,5,4,3,3,24,9,10,21,35,31,54,42,28,12,239
UCL122163,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,6,6,4,0,4,0,27,18,10,15,23,43,66,76,27,5,270
UCL122164,0,0,5,3,0,5,4,0,0,22,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,4,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,9,3,3,0,26,11,11,25,29,47,94,103,40,7,370
UCL122165,0,0,0,3,4,3,3,0,0,14,0,0,0,4,3,0,0,0,0,15,0,0,3,4,11,4,0,0,0,19,0,0,0,0,7,0,0,0,0,7,0,0,0,6,4,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,5,0,0,18,23,16,15,42,59,64,42,18,3,288
UCL122166,0,0,3,3,7,16,3,0,0,34,0,0,0,0,3,4,0,0,0,13,0,0,0,3,3,3,0,0,0,11,0,0,0,0,4,5,0,0,0,10,0,0,0,5,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,4,7,0,3,8,3,7,4,3,0,43,26,17,32,51,58,108,39,14,0,350
UCL122167,0,0,3,3,9,4,0,0,0,28,0,3,6,3,5,4,0,0,0,19,0,0,0,13,13,3,0,0,0,26,0,0,0,5,0,4,0,0,0,16,0,0,0,14,10,3,0,0,0,31,0,0,0,11,3,0,0,0,0,17,7,0,3,3,3,0,3,0,0,16,54,33,29,61,87,46,13,5,3,332
UCL122168,0,0,0,0,0,4,0,0,0,9,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,3,6,3,6,5,0,41,19,21,23,33,29,36,41,31,27,247
UCL131777,188,1927,5342,6192,8372,7857,3791,931,228,34832,66,821,3623,4502,5822,4985,1925,464,102,22299,21,388,2649,4419,5609,4292,1469,305,90,19251,15,154,1544,3152,4078,3157,950,199,64,13306,15,127,1865,4675,6058,4191,1327,330,70,18650,46,85,652,2515,3930,3122,1325,405,108,12189,5400,2997,5555,6851,9141,9737,8120,3997,1468,53266,35753,25135,46857,63585,86576,90948,67180,26179,7371,449576
UCL179997,0,0,0,3,4,3,0,0,0,10,0,0,3,0,3,3,0,0,0,14,0,0,3,4,0,7,0,0,0,17,0,0,0,3,3,0,0,0,0,3,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,4,0,10,17,25,11,4,78,12,9,32,34,50,74,108,42,10,374
UCL199994,3,61,179,89,80,80,34,6,0,533,0,23,95,63,45,31,16,4,0,277,5,9,77,47,37,30,6,3,0,219,0,7,61,25,27,15,4,0,0,136,0,0,64,75,34,15,3,5,0,210,0,0,19,49,20,5,12,0,0,111,110,265,641,427,392,338,220,74,24,2494,517,1358,2703,1900,1798,1722,1196,282,78,11545
UCL201001,713,18959,93128,61898,55990,40556,15872,5067,2171,294352,207,7030,67560,49570,41561,27756,9277,2470,1083,206516,174,2736,49286,46738,38460,24597,7100,1910,853,171858,79,1137,27891,35270,28772,17826,4702,1262,557,117486,148,985,35957,58800,45838,25911,7001,1913,844,177385,238,754,11175,38178,38229,20624,7286,2345,1092,119921,20217,23788,53910,41334,37572,31704,28718,23442,17656,278332,249943,316127,695698,601145,545587,439174,317529,185177,85254,3435626
UCL203001,17,722,2787,2149,2090,1685,641,233,121,10446,9,238,2105,1608,1417,1064,290,77,40,6842,11,101,1428,1434,1310,885,188,58,17,5433,3,42,752,1064,978,662,139,27,22,3684,6,17,781,1424,1366,866,182,43,24,4704,9,33,239,698,776,486,162,62,24,2492,916,876,1495,1337,1480,1384,1456,1276,1049,11269,9959,11931,21680,19552,19884,18465,14388,8763,4593,129222
UCL211001,10,201,699,531,531,412,150,34,15,2562,3,76,497,433,391,276,96,16,14,1810,3,30,256,309,311,203,44,14,0,1165,0,7,151,215,243,144,24,6,3,790,0,8,123,220,243,147,29,5,0,776,0,3,24,73,88,51,24,5,0,275,250,209,392,326,313,354,295,237,126,2502,2319,2338,4981,4343,4448,4184,3099,1585,617,27901
UCL211002,14,408,1612,1271,1284,1021,388,117,59,6166,7,138,1109,944,937,608,167,67,21,3984,0,40,708,859,757,530,109,29,4,3037,0,20,371,541,572,396,63,22,10,1994,0,11,374,619,688,474,94,21,9,2285,8,14,109,342,392,266,95,48,19,1296,592,580,913,819,853,825,918,753,462,6715,6043,7197,12497,11372,11630,10873,8887,5178,2325,76000
UCL211003,13,434,1588,1161,1240,1014,379,145,70,6048,7,179,1103,914,899,645,183,37,21,3982,0,53,681,798,755,550,128,28,15,3004,0,20,368,506,533,345,81,21,11,1880,3,19,379,639,646,409,81,46,14,2229,9,18,101,272,279,222,81,41,11,1029,633,497,947,771,854,919,941,837,705,7109,5858,6868,12284,11009,11183,11080,8624,5174,2494,74584
UCL211004,11,241,1173,907,720,562,127,27,10,3783,3,98,671,679,499,334,68,5,0,2371,0,35,374,423,335,242,53,0,3,1473,0,9,204,282,243,149,14,3,0,908,0,10,198,288,224,162,29,4,3,922,4,11,62,64,77,50,19,4,0,287,355,359,788,626,543,549,443,240,70,3977,3446,3698,8561,7563,6370,5977,4142,1485,517,41769
UCL212001,0,107,528,379,422,349,133,39,23,1973,3,51,300,340,262,194,63,18,9,1242,0,21,208,227,236,163,25,9,3,893,0,11,91,158,157,128,17,5,0,558,0,7,75,145,167,124,25,10,4,548,8,11,41,78,69,66,36,15,9,329,262,267,494,343,381,430,458,354,186,3181,2119,2177,4604,3862,3995,3984,3422,2092,923,27176
UCL212002,5,189,717,631,650,540,185,74,32,3022,3,64,523,396,417,284,76,21,9,1800,0,32,287,325,333,251,56,12,7,1298,0,10,137,188,220,170,26,14,3,771,3,13,117,243,262,186,54,12,13,895,7,12,54,102,130,101,40,18,5,479,349,260,603,535,586,551,562,429,259,4129,3125,2753,6127,5643,5846,5300,4254,2584,1171,36801
UCL212003,12,207,657,580,644,500,155,31,16,2789,4,75,482,468,484,305,60,13,3,1896,0,24,301,377,415,238,37,8,0,1411,0,5,165,258,299,193,14,0,0,940,0,20,188,362,382,240,40,7,7,1245,0,7,41,138,162,108,17,10,0,481,188,152,251,280,283,278,249,148,82,1910,2395,2338,4343,4665,5027,4227,2702,1334,594,27628
UCL212004,3,145,484,297,322,224,103,32,7,1613,0,61,336,273,232,165,48,8,0,1131,0,35,216,253,208,177,21,6,0,919,0,13,142,204,197,139,24,7,3,734,0,15,184,253,269,231,37,6,0,998,0,3,82,102,171,84,23,6,6,485,180,159,293,232,289,317,278,252,171,2176,1492,1623,3573,3108,3236,3080,2337,1426,609,20483
UCL212005,3,136,514,399,506,385,137,33,19,2127,0,41,293,276,289,238,69,17,10,1235,0,18,163,238,270,199,55,11,4,953,0,5,107,158,196,129,26,6,3,632,0,8,89,188,202,130,34,13,4,676,3,3,38,84,118,80,38,18,7,400,207,162,273,256,339,354,350,306,218,2457,2010,2014,3743,3530,4037,3911,3141,1916,952,25264
UCL213001,4,66,324,229,281,182,64,25,3,1182,0,22,232,234,206,154,41,5,4,890,0,14,142,184,187,99,19,0,0,655,0,5,87,170,120,80,9,0,0,478,0,7,86,175,161,111,12,0,0,557,3,0,21,52,66,30,8,3,0,192,95,66,130,171,163,145,174,114,77,1138,1111,1035,2200,2329,2349,2034,1613,726,305,13703
UCL213002,8,48,188,134,145,136,65,38,10,777,0,17,95,85,82,93,24,8,3,416,0,3,65,69,81,67,11,4,3,311,0,0,27,33,43,29,15,4,0,151,0,0,30,39,49,44,8,6,4,175,3,3,16,17,30,29,10,5,0,117,114,95,170,146,153,191,223,222,178,1490,719,734,1461,1328,1473,1653,1637,1115,542,10661
UCL213003,3,68,200,155,181,148,42,23,20,844,0,15,96,115,97,78,37,5,3,452,0,7,44,59,75,57,11,5,0,270,0,3,23,55,39,51,10,3,3,184,0,0,26,40,45,38,13,3,0,168,0,0,16,15,30,15,10,7,3,96,76,66,114,86,128,159,133,130,65,957,693,736,1410,1271,1449,1541,1284,905,453,9737
UCL213004,0,46,183,132,166,120,51,16,8,731,0,21,144,96,99,77,28,11,0,465,0,9,107,79,81,53,11,0,0,346,0,5,60,51,49,47,7,0,0,219,0,0,44,63,60,43,7,0,0,223,3,0,14,16,26,19,15,3,7,109,67,48,103,122,151,120,130,133,94,975,680,627,1503,1309,1404,1425,1349,820,332,9459
UCL213005,0,39,164,186,187,171,52,11,19,833,0,11,130,112,122,111,33,5,0,517,0,11,53,101,111,72,18,3,0,369,0,0,35,72,86,44,7,6,0,246,0,0,30,79,81,68,12,4,0,271,0,0,10,17,40,25,18,8,3,128,72,33,73,87,101,110,140,125,92,836,732,590,1206,1428,1594,1780,1562,989,353,10230
UCL213006,0,58,208,157,203,165,54,25,11,875,0,3,112,109,113,92,23,7,0,461,0,6,57,84,121,77,11,9,0,370,0,4,40,66,73,41,13,0,3,245,0,3,42,68,71,41,12,4,4,244,3,0,14,39,29,30,11,10,6,149,97,67,126,107,137,140,195,191,155,1213,788,665,1436,1416,1625,1692,1526,1004,446,10605
UCL213007,0,90,270,192,227,201,64,18,11,1066,0,20,186,138,145,109,47,12,4,665,0,8,86,107,103,93,26,15,5,437,0,0,49,60,79,79,13,8,3,296,0,0,54,74,103,63,19,16,4,324,3,3,21,41,38,50,8,6,4,181,86,58,139,116,128,160,165,137,80,1074,913,955,1966,1705,1865,2004,1620,1123,525,12681
UCL213008,3,60,295,253,198,133,39,11,0,992,0,24,190,213,168,101,16,0,0,717,0,13,147,153,149,94,13,0,0,568,0,5,83,119,109,72,9,0,0,386,0,4,75,172,160,66,16,3,0,499,0,3,12,49,50,34,3,0,3,152,53,43,95,122,89,89,74,40,25,643,891,784,1824,1993,1770,1412,1049,494,228,10440
UCL213009,3,51,253,194,189,148,38,10,0,891,0,13,190,157,140,55,23,4,0,585,0,3,127,121,118,63,11,3,0,453,0,0,58,78,87,38,8,0,0,264,0,0,60,74,82,46,12,0,0,274,0,0,10,25,19,18,7,6,5,91,66,37,70,83,75,93,107,77,28,630,779,630,1707,1507,1471,1311,1155,653,255,9461
UCL213010,7,64,155,150,133,136,49,29,5,719,0,23,100,82,108,73,25,3,6,415,0,13,73,68,95,74,13,0,0,338,0,6,39,45,65,54,12,3,0,224,0,6,45,74,91,91,17,3,0,324,3,3,18,17,60,43,10,4,3,170,127,105,152,136,176,211,235,192,158,1503,892,1023,1706,1567,1910,2149,1782,1092,521,12650
UCL213011,0,41,169,93,136,123,33,17,3,623,0,6,90,81,90,51,19,4,0,342,0,9,62,48,56,66,13,3,0,266,0,3,35,39,43,49,13,5,0,185,0,4,31,38,95,68,11,3,0,266,4,9,17,24,38,31,7,0,3,125,111,113,215,155,210,219,198,164,55,1445,749,900,1651,1409,1738,1827,1502,986,443,11213
UCL213012,3,41,205,278,270,275,132,37,6,1257,0,21,180,231,212,145,67,11,4,874,0,4,162,252,230,175,55,11,5,895,0,3,79,186,155,131,29,10,3,595,0,0,78,225,188,170,43,12,9,730,0,0,28,135,121,77,43,14,4,429,63,47,80,122,128,144,186,89,50,908,981,712,1618,2567,2382,2605,2150,905,418,14333
UCL213013,3,39,108,101,136,108,33,11,6,551,0,15,71,78,100,78,16,3,0,356,0,12,53,53,97,75,16,6,0,308,0,3,28,53,74,65,8,0,0,231,0,4,37,81,114,55,5,3,0,303,0,0,5,15,25,27,13,9,4,92,72,69,86,105,126,166,146,126,65,950,611,537,982,1174,1388,1521,1116,672,329,8336
UCL213014,0,57,199,143,151,162,69,29,14,827,0,19,158,123,104,95,32,8,4,547,0,21,113,102,114,61,25,6,5,439,0,3,62,81,73,62,15,0,0,298,0,3,106,118,122,80,19,3,6,452,0,3,39,81,104,60,10,3,3,303,80,73,152,134,150,164,136,143,90,1122,794,765,1753,1576,1712,1701,1345,866,445,10969
UCL213015,4,69,183,134,148,117,27,18,11,703,0,16,127,75,102,54,15,14,4,405,0,3,76,58,80,66,13,3,3,303,0,0,29,40,36,29,3,7,0,138,0,0,30,56,52,34,9,3,0,180,0,0,17,20,23,22,7,3,3,102,115,81,147,140,138,152,169,135,68,1149,674,659,1398,1227,1256,1204,1019,782,380,8603
UCL213016,0,38,271,251,250,196,101,24,11,1131,0,10,234,263,187,134,49,9,7,896,0,9,164,253,221,122,33,10,0,813,0,0,88,196,158,94,23,5,3,567,0,0,111,334,242,117,32,7,3,840,0,0,43,171,175,87,32,3,4,510,82,65,103,153,160,130,131,86,71,986,952,664,1919,2701,2353,1973,1530,680,261,13025
UCL213017,4,60,256,250,263,243,80,28,23,1211,0,15,172,161,192,127,32,15,3,719,0,8,99,138,139,98,22,5,3,520,0,3,37,73,95,82,20,8,0,311,0,3,44,74,110,62,14,5,0,319,0,3,17,39,47,33,17,8,7,170,133,77,143,160,163,208,236,259,300,1689,1086,948,1970,2120,2342,2388,2082,1435,852,15223
UCL213018,3,43,220,176,167,173,78,30,8,903,0,24,151,117,138,106,33,11,3,577,0,7,89,88,123,114,22,3,0,444,0,3,59,60,114,76,25,5,3,341,0,0,49,96,147,86,24,8,3,423,0,3,17,45,76,54,19,3,3,226,78,67,109,123,126,132,177,117,63,986,943,776,1614,1551,1845,1817,1727,995,411,11683
UCL214001,7,15,73,74,116,83,29,10,4,418,0,9,50,66,83,32,18,8,3,265,0,3,25,50,58,43,7,0,0,192,0,0,22,19,52,24,3,0,0,114,0,0,18,19,33,22,3,6,0,103,0,3,10,5,11,8,6,7,0,51,51,34,50,60,45,62,76,69,43,485,422,384,734,717,939,944,876,537,279,5826
UCL214002,5,50,89,89,122,90,46,29,15,525,3,13,65,56,89,64,18,5,0,319,0,7,32,46,61,57,15,3,3,226,0,3,23,36,53,28,9,5,3,159,0,0,19,27,37,46,9,3,0,145,0,0,6,14,17,19,9,8,3,76,69,47,83,68,100,117,139,130,72,818,517,473,866,871,1163,1320,1297,876,470,7848
UCL214003,0,17,82,98,144,121,66,28,8,572,0,12,40,62,79,91,31,7,3,328,0,0,42,73,68,70,10,11,0,285,0,6,21,44,48,41,7,0,3,165,0,0,23,60,62,32,18,8,0,194,0,3,8,18,34,23,20,8,5,113,79,87,325,274,232,194,140,128,111,1570,471,415,1015,1222,1405,1431,1271,795,376,8408
UCL214004,0,21,66,60,74,53,23,8,0,308,0,9,28,46,45,28,8,7,0,180,0,3,26,22,34,25,11,0,3,124,0,0,20,31,39,19,3,0,0,113,0,0,8,22,13,13,3,3,0,70,0,0,5,6,16,12,7,4,3,47,46,22,68,54,51,69,108,82,26,522,312,267,577,559,634,644,730,526,191,4437
UCL214005,0,4,6,27,15,13,3,3,0,69,0,0,8,8,18,8,4,0,0,39,0,0,3,7,10,3,3,0,0,26,0,0,0,11,3,6,0,0,0,17,0,0,0,9,6,4,0,0,0,26,0,0,0,0,0,4,0,0,0,10,12,4,0,6,7,16,17,9,0,71,90,59,75,130,135,137,158,58,17,856
UCL214006,0,34,135,166,158,67,63,13,3,645,0,15,105,122,115,62,28,3,3,450,0,7,111,135,117,87,15,4,3,479,0,8,45,109,81,48,6,3,0,299,0,3,90,182,159,92,22,3,0,558,0,0,24,103,95,54,11,0,0,289,40,24,59,85,93,70,85,60,62,586,661,474,994,1497,1388,1003,882,382,198,7483
